"wv/wv0,Andren95,SGS",z/h
3.30E-18,0.973988439
3.30E-17,0.989884393
0.001455604,0.962427746
0.00727802,0.940751445
0.010189229,0.917630058
0.018922853,0.897398844
0.018922853,0.875722543
0.021834061,0.856936416
0.029112082,0.839595376
0.029112082,0.822254335
0.030567686,0.797687861
0.03202329,0.783236994
0.03202329,0.755780347
0.036390102,0.723988439
0.036390102,0.702312139
0.03930131,0.637283237
0.040756914,0.680635838
0.040756914,0.653179191
0.040756914,0.592485549
0.042212518,0.615606936
0.043668122,0.565028902
0.043668122,0.543352601
0.048034934,0.515895954
0.049490539,0.494219653
0.049490539,0.472543353
0.052401747,0.453757225
0.052401747,0.432080925
0.053857351,0.404624277
0.058224163,0.39017341
0.059679767,0.37283237
0.064046579,0.351156069
0.064046579,0.339595376
0.065502183,0.320809249
0.069868996,0.312138728
0.072780204,0.289017341
0.075691412,0.260115607
0.087336245,0.244219653
0.091703057,0.222543353
0.100436681,0.202312139
0.109170306,0.179190751
0.11790393,0.160404624
0.128093159,0.150289017
0.141193595,0.130057803
0.158660844,0.11849711
0.171761281,0.108381503
0.192139738,0.093930636
0.219796215,0.083815029
0.244541485,0.075144509
0.263464338,0.065028902
0.286754003,0.059248555
0.312954876,0.053468208
0.340611354,0.049132948
0.365356623,0.046242775
0.394468705,0.040462428
0.420669578,0.037572254
0.446870451,0.037572254
0.470160116,0.033236994
0.50363901,0.031791908
0.519650655,0.028901734
0.554585153,0.027456647
0.576419214,0.026011561
0.604075691,0.021676301
0.62154294,0.021676301
0.647743814,0.01734104
