"80^3,u2/u2*,SGS part",zf/u*
0.025613661,0.348362573
0.025613661,0.340584795
0.025613661,0.334853801
0.025613661,0.298421053
0.034151547,0.327894737
0.034151547,0.320116959
0.034151547,0.312339181
0.034151547,0.291052632
0.034151547,0.284093567
0.034151547,0.277134503
0.034151547,0.273040936
0.034151547,0.268538012
0.034151547,0.261988304
0.034151547,0.252982456
0.034151547,0.23251462
0.042689434,0.305789474
0.042689434,0.225964912
0.042689434,0.206725146
0.051227321,0.219415205
0.051227321,0.000409357
0.059765208,0.245204678
0.059765208,0.239064327
0.059765208,0.198538012
0.059765208,0.189122807
0.059765208,0.179707602
0.068303095,0.212046784
0.068303095,0.171520468
0.068303095,0.162923977
0.076840982,0.154736842
0.076840982,0.145730994
0.102454642,0.138362573
0.102454642,0.130994152
0.110992529,0.125672515
0.110992529,0.11625731
0.110992529,0.11994152
0.119530416,0.102339181
0.128068303,0.108888889
0.13660619,0.095380117
0.13660619,0.090877193
0.13660619,0.085964912
0.170757737,0.079415205
0.179295624,0.07122807
0.204909285,0.065906433
0.204909285,0.060175439
0.204909285,0.054444444
0.247598719,0.045847953
0.298826041,0.038070175
0.324439701,0.031929825
0.375667022,0.028245614
0.452508004,0.02497076
0.452508004,0.00122807
0.537886873,0.020877193
0.589114194,0.019239766
0.674493063,0.017192982
0.725720384,0.002046784
0.776947705,0.013918129
0.922091782,0.012280702
0.964781217,0.001637427
1.041622199,0.011871345
1.152614728,0.011052632
1.169690502,0.001637427
1.272145144,0.010233918
1.323372465,0.00245614
1.39167556,0.00245614
1.425827108,0.009005848
1.468516542,0.002046784
1.570971185,0.00245614
1.605122732,0.008187135
1.66488794,0.002865497
1.707577375,0.007777778
1.810032017,0.002865497
1.818569904,0.006549708
1.878335112,0.003274854
1.955176094,0.005730994
2.006403415,0.004093567
2.023479189,0.004502924
2.143009605,0.004502924
