"60^3,u2/u2*,resolved part",zf/u*
0.017486339,-0.000831354
0.271038251,0.327969121
0.271038251,0.322980998
0.279781421,0.349168646
0.279781421,0.331710214
0.279781421,0.320071259
0.306010929,0.333372922
0.306010929,0.315083135
0.314754098,0.346258907
0.314754098,0.31175772
0.314754098,0.30760095
0.332240437,0.342517815
0.332240437,0.304275534
0.340983607,0.299703088
0.358469945,0.340023753
0.358469945,0.295961995
0.393442623,0.291389549
0.393442623,0.285985748
0.419672131,0.281413302
0.445901639,0.278087886
0.472131148,0.273515439
0.472131148,0.270190024
0.515846995,0.264786223
0.515846995,-1.58E-17
0.533333333,0.258966746
0.550819672,0.256057007
0.58579235,0.253147268
0.612021858,0.248574822
0.638251366,0.244833729
0.664480874,0.24067696
0.664480874,0.237351544
0.673224044,0.234857482
0.699453552,0.230285036
0.743169399,0.225296912
0.760655738,0.221971496
0.786885246,0.219061758
0.821857923,0.213657957
0.839344262,0.209085511
0.856830601,0.204513064
0.891803279,-0.000415677
0.900546448,0.198693587
0.926775956,0.193705463
0.961748634,0.190380048
0.996721311,0.185807601
1.031693989,0.179572447
1.049180328,-1.58E-17
1.075409836,0.173337292
1.119125683,0.169180523
1.136612022,0.164608076
1.136612022,-1.58E-17
1.189071038,0.16128266
1.215300546,0.156294537
1.250273224,0.15172209
1.276502732,0.147565321
1.30273224,0.145071259
1.328961749,0.000415677
1.372677596,0.140083135
1.398907104,0.135926366
1.425136612,0.131353919
1.468852459,0.12719715
1.495081967,0.122624703
1.495081967,0.001662708
1.547540984,0.116805226
1.591256831,0.001662708
1.608743169,0.110985748
1.678688525,0.105166271
1.678688525,0.001662708
1.757377049,0.100593824
1.818579235,0.097684086
1.836065574,0.001662708
1.879781421,0.093942993
1.923497268,0.002078385
1.949726776,0.087707838
2.028415301,0.002078385
2.03715847,0.082719715
2.098360656,0.078978622
2.142076503,0.001247031
2.168306011,0.073990499
2.194535519,0.001247031
2.264480874,0.069002375
2.273224044,0.002078385
2.351912568,0.065261283
2.351912568,0.002494062
2.439344262,0.001662708
2.491803279,0.060273159
2.535519126,0.05736342
2.561748634,0.002494062
2.649180328,0.002494062
2.666666667,0.053622328
2.701639344,0.002494062
2.754098361,0.002494062
2.771584699,0.05195962
2.859016393,0.002494062
2.876502732,0.048218527
2.998907104,0.044477435
3.016393443,0.002494062
3.068852459,0.043230404
3.095081967,0.002494062
3.191256831,0.040320665
3.208743169,0.002909739
3.313661202,0.037826603
3.322404372,0.003325416
3.409836066,0.036163895
3.444808743,0.003325416
3.48852459,0.034085511
3.49726776,0.003741093
3.584699454,0.002909739
3.610928962,0.033254157
3.715846995,0.031591449
3.724590164,0.003741093
3.768306011,0.029928741
3.812021858,0.003741093
3.855737705,0.004572447
3.881967213,0.027434679
3.93442623,0.004572447
3.969398907,0.005819477
4.021857923,0.027019002
4.07431694,0.006235154
4.135519126,0.025771971
4.161748634,0.006235154
4.275409836,0.024109264
4.327868852,0.006650831
4.371584699,0.007482185
4.389071038,0.021615202
4.397814208,0.007482185
4.537704918,0.006650831
4.555191257,0.020368171
4.607650273,0.008313539
4.668852459,0.018705463
4.695081967,0.00956057
4.8,0.017042755
4.843715847,0.009144893
4.93989071,0.015795724
4.93989071,0.00956057
5.053551913,0.014133017
5.08852459,0.010807601
5.123497268,0.014133017
5.228415301,0.012470309
