"80^3,uw/u2*,SGS part",zf/u*
0.000377562,0.304738155
0.000539374,0.339650873
0.000539374,0.334164589
0.000539374,0.327680798
0.000539374,0.319201995
0.002696872,0.354114713
0.002696872,0.346633416
0.002696872,0.295261845
0.002696872,0.277306733
0.002696872,0.267830424
0.002696872,0.257855362
0.002696872,0.247381546
0.002696872,0.235411471
0.002696872,0.201995012
0.002696872,0.195012469
0.002696872,0.181047382
0.004854369,0.312718204
0.004854369,0.284289277
0.007011866,0.223441397
0.007011866,0.156608479
0.007011866,0.149625935
0.007011866,0.136658354
0.007011866,0.112219451
0.009169364,0.210972569
0.009169364,0.172568579
0.009169364,0.166583541
0.009169364,0.12967581
0.009169364,0.122194514
0.011326861,0.096259352
0.013484358,0.106234414
0.015641855,0.090274314
0.022114347,0.078802993
0.028586839,0.069825436
0.028586839,0.061845387
0.028586839,0.055860349
0.039374326,0.04638404
0.04368932,0.039401496
0.05231931,0.034413965
0.07605178,0.032917706
0.086839266,0.031421446
0.127831715,0.027431421
0.15587918,0.024438903
0.194714132,0.024937656
0.209816613,0.021945137
0.240021575,0.019451372
0.278856526,0.019451372
0.296116505,0.016957606
0.337108954,0.016957606
0.350053937,0.015461347
0.395361381,0.016957606
0.40399137,0.013965087
0.43635383,0.013965087
0.453613808,0.011970075
0.492448759,0.011970075
0.526968716,0.011471322
0.5399137,0.011471322
0.561488673,0.009476309
0.604638619,0.009975062
0.617583603,0.010972569
0.632686084,0.008977556
0.656418554,0.007481297
0.686623517,0.006982544
0.710355987,0.006483791
0.734088457,0.005985037
0.768608414,0.004488778
0.798813376,0.003990025
0.831175836,0.002493766
0.848435814,0.002493766
0.887270766,0.002493766
0.906688242,0.001496259
0.928263215,0.000997506
