"80^3,u2/u2*,total variance",zf/u*
0.042689434,0.000409357
0.221985059,0.34877193
0.221985059,0.000409357
0.230522946,0.336900585
0.230522946,0.333216374
0.239060832,0.346725146
0.239060832,0.331169591
0.247598719,0.344269006
0.247598719,0.341403509
0.256136606,0.319298246
0.264674493,0.325847953
0.264674493,0.323391813
0.27321238,0.315204678
0.281750267,0.310292398
0.298826041,0.304152047
0.332977588,0.298011696
0.341515475,0.000409357
0.375667022,0.291871345
0.401280683,0.286140351
0.426894344,0.280409357
0.469583778,0.273450292
0.486659552,0.266081871
0.512273212,0.260760234
0.563500534,0.00122807
0.57203842,0.25380117
0.589114194,0.246842105
0.640341515,0.241111111
0.691568837,0.234152047
0.742796158,0.229239766
0.776947705,0.221871345
0.811099253,0.216549708
0.870864461,0.210409357
0.896478122,0.205087719
0.930629669,0.200175439
0.973319104,0.194444444
0.990394877,0.189532164
1.033084312,0.182982456
1.084311633,0.177251462
1.144076841,0.00122807
1.161152615,0.170292398
1.212379936,0.164152047
1.246531483,0.158830409
1.297758805,0.152690058
1.331910352,0.147368421
1.39167556,0.14245614
1.442902882,0.136725146
1.50266809,0.131812865
1.545357524,0.127309942
1.622198506,0.121988304
1.622198506,0.00245614
1.699039488,0.114210526
1.784418356,0.108070175
1.869797225,0.103157895
1.93810032,0.00122807
1.946638207,0.098654971
1.997865528,0.09251462
2.091782284,0.087602339
2.185699039,0.082280702
2.236926361,0.00245614
2.245464248,0.078187135
2.330843116,0.073684211
2.424759872,0.069181287
2.501600854,0.002046784
2.518676628,0.064269006
2.629669157,0.059766082
2.75773746,0.054853801
2.75773746,0.002046784
2.843116329,0.051578947
2.919957311,0.049532164
2.988260406,0.002865497
3.03094984,0.04625731
3.150480256,0.042163743
3.176093917,0.002865497
3.278548559,0.039298246
3.423692636,0.036432749
3.423692636,0.002865497
3.560298826,0.033976608
3.620064034,0.003684211
3.722518677,0.031111111
3.824973319,0.003684211
3.85058698,0.028654971
4.029882604,0.003684211
4.046958378,0.025789474
4.192102455,0.024561404
4.26040555,0.003684211
4.311632871,0.022105263
4.4226254,0.020877193
4.550693703,0.003274854
4.601921025,0.02005848
4.772678762,0.004502924
4.806830309,0.018011696
4.943436499,0.018011696
4.96905016,0.004093567
5.071504803,0.017602339
5.139807898,0.004093567
5.259338314,0.015964912
5.259338314,0.004502924
5.37886873,0.007368421
5.430096051,0.014736842
5.430096051,0.009005848
5.498399146,0.009415205
5.558164354,0.013508772
5.592315902,0.011461988
5.669156884,0.013508772
