"w?/w?0,FOAM,SGS",z/h
0.026397516,0.994152047
0.026397516,0.980994152
0.029503106,0.966374269
0.029503106,0.948830409
0.032608696,0.929824561
0.032608696,0.907894737
0.037267081,0.850877193
0.038819876,0.828947368
0.040372671,0.883040936
0.040372671,0.866959064
0.040372671,0.808479532
0.041925466,0.786549708
0.045031056,0.774853801
0.045031056,0.755847953
0.046583851,0.733918129
0.052795031,0.722222222
0.055900621,0.695906433
0.057453416,0.678362573
0.059006211,0.656432749
0.063664596,0.641812865
0.065217391,0.624269006
0.072981366,0.58625731
0.072981366,0.565789474
0.074534161,0.597953216
0.074534161,0.546783626
0.079192547,0.527777778
0.083850932,0.50877193
0.090062112,0.498538012
0.094720497,0.485380117
0.099378882,0.478070175
0.108695652,0.461988304
0.114906832,0.445906433
0.127329193,0.43128655
0.138198758,0.419590643
0.156832298,0.402046784
0.169254658,0.387426901
0.184782609,0.375730994
0.208074534,0.362573099
0.229813665,0.355263158
0.248447205,0.342105263
0.260869565,0.337719298
0.279503106,0.330409357
0.296583851,0.323099415
0.319875776,0.315789474
0.343167702,0.308479532
0.366459627,0.299707602
0.386645963,0.292397661
0.403726708,0.283625731
0.430124224,0.276315789
0.459627329,0.266081871
0.47515528,0.261695906
0.49689441,0.252923977
0.527950311,0.244152047
0.552795031,0.233918129
0.572981366,0.225146199
0.602484472,0.219298246
0.630434783,0.209064327
0.652173913,0.195906433
0.673913043,0.185672515
0.697204969,0.178362573
0.718944099,0.16374269
0.739130435,0.15497076
0.75621118,0.141812865
0.779503106,0.135964912
0.790372671,0.127192982
0.810559006,0.119883041
0.821428571,0.109649123
0.836956522,0.096491228
0.846273292,0.089181287
0.866459627,0.080409357
0.875776398,0.070175439
0.891304348,0.05994152
0.908385093,0.049707602
0.923913043,0.039473684
0.928571429,0.036549708
0.945652174,0.026315789
0.953416149,0.021929825
0.965838509,0.013157895
0.97826087,0.00877193
0.989130435,0.002923977
