"80^3,w2/u2*,SGS part",zf/u*
0.019047619,0.350964187
0.019047619,0.001101928
0.023809524,0.355922865
0.023809524,0.345454545
0.023809524,0.341046832
0.023809524,0.330027548
0.023809524,0.321212121
0.028571429,0.314049587
0.028571429,0.307988981
0.028571429,0.296969697
0.028571429,0.287052342
0.028571429,0.278236915
0.033333333,0.266666667
0.033333333,0.253443526
0.042857143,0.241322314
0.042857143,0.227548209
0.052380952,0.219834711
0.052380952,0.209366391
0.057142857,0.181267218
0.061904762,0.2
0.061904762,0.191735537
0.071428571,0.171900826
0.071428571,0.15922865
0.076190476,0.144352617
0.09047619,0.133333333
0.1,0.12231405
0.10952381,0.112396694
0.119047619,0.103030303
0.133333333,0.091460055
0.133333333,0.084297521
0.161904762,0.076584022
0.176190476,0.067768595
0.2,0.056749311
0.233333333,0.048484848
0.257142857,0.042424242
0.3,0.03415978
0.347619048,0.029201102
0.366666667,0.001652893
0.442857143,0.024793388
0.528571429,0.021487603
0.561904762,0.001652893
0.623809524,0.018181818
0.680952381,-4.16E-17
0.733333333,0.015426997
0.819047619,0.012672176
0.833333333,0.001101928
0.928571429,0.012121212
0.961904762,0.001101928
1.038095238,0.011570248
1.066666667,0.002203857
1.166666667,0.011570248
1.195238095,0.002203857
1.280952381,0.009917355
1.280952381,0.002203857
1.366666667,0.009917355
1.39047619,0.002203857
1.49047619,0.009366391
1.59047619,0.009366391
1.59047619,0.002754821
1.695238095,0.007162534
1.733333333,0.003856749
1.761904762,0.00661157
1.780952381,0.003305785
1.857142857,0.00661157
1.928571429,0.004407713
1.976190476,0.00661157
2.061904762,0.004958678
2.071428571,0.004407713
2.128571429,0.004407713
