"60^3,uw/u2*,resolved part",zf/u*
0.001079914,0.349
0.009719222,0.3435
0.018358531,0.33
0.020518359,0.3345
0.020518359,0.326
0.035637149,0.319
0.042116631,0.3105
0.044276458,0.001
0.055075594,0.301
0.063714903,0.0015
0.06587473,0.294
0.083153348,0.282
0.089632829,0.275
0.100431965,0.0015
0.106911447,0.2665
0.122030238,0.257
0.134989201,0.0015
0.137149028,0.2475
0.156587473,0.0015
0.1587473,0.239
0.176025918,0.2285
0.193304536,0.22
0.195464363,0.003
0.219222462,0.2075
0.234341253,0.0035
0.238660907,0.197
0.260259179,0.0045
0.264578834,0.188
0.279697624,0.1835
0.296976242,0.1745
0.301295896,0.006
0.307775378,0.169
0.322894168,0.1655
0.338012959,0.16
0.340172786,0.006
0.359611231,0.1525
0.374730022,0.1465
0.385529158,0.0075
0.398488121,0.14
0.415766739,0.008
0.426565875,0.1335
0.437365011,0.1295
0.456803456,0.1235
0.46112311,0.009
0.474082073,0.1175
0.493520518,0.1115
0.495680346,0.0105
0.51511879,0.1065
0.523758099,0.0105
0.534557235,0.1
0.558315335,0.0945
0.564794816,0.011
0.57775378,0.0905
0.603671706,0.0845
0.603671706,0.0825
0.603671706,0.0115
0.63174946,0.078
0.63174946,0.014
0.640388769,0.0735
0.657667387,0.015
0.668466523,0.0665
0.677105832,0.0635
0.677105832,0.0175
0.696544276,0.059
0.70950324,0.057
0.713822894,0.021
0.72462203,0.0515
0.735421166,0.023
0.744060475,0.0455
0.752699784,0.0415
0.761339093,0.0265
0.767818575,0.0375
0.769978402,0.031
