"60^3,v2/u2*,resolved part",zf/u*
0.023837902,-0.000551724
0.143027414,0.000551724
0.266984505,0.350344828
0.276519666,0.333241379
0.276519666,0.328275862
0.281287247,0.343172414
0.281287247,0.340413793
0.281287247,0.334896552
0.290822408,0.322758621
0.300357569,0.340413793
0.309892729,0.000551724
0.31466031,0.317793103
0.324195471,0.311724138
0.343265793,0.308413793
0.362336114,0.304
0.381406436,0.298482759
0.410011919,0.291310345
0.42431466,0.002206897
0.433849821,0.288
0.462455304,0.282482759
0.462455304,0.280275862
0.471990465,0.275862069
0.495828367,0.271448276
0.514898689,0.26537931
0.538736591,0.002206897
0.543504172,0.259862069
0.567342074,0.253793103
0.586412396,0.248827586
0.615017878,0.244413793
0.657926103,0.238344828
0.662693683,0.003862069
0.686531585,0.222344828
0.691299166,0.23062069
0.715137068,0.21737931
0.719904648,0.206344828
0.719904648,0.197517241
0.753277712,0.188689655
0.781883194,0.180965517
0.791418355,0.003310345
0.815256257,0.172137931
0.862932062,0.164965517
0.862932062,0.003310345
0.910607867,0.156689655
0.94398093,0.003310345
0.94874851,0.15062069
0.963051251,0.143448276
0.996424315,0.139034483
1.020262217,0.132413793
1.025029797,0.005517241
1.05363528,0.126896552
1.072705602,0.120827586
1.106078665,0.113655172
1.106078665,0.006068966
1.129916567,0.108689655
1.163289631,0.10262069
1.177592372,0.008275862
1.215733015,0.097655172
1.239570918,0.00937931
1.277711561,0.090482759
1.315852205,0.085517241
1.320619785,0.009931034
1.353992849,0.078344828
1.37306317,0.07337931
1.382598331,0.011586207
1.396901073,0.012137931
1.406436234,0.066206897
1.435041716,0.014344828
1.439809297,0.060689655
1.458879619,0.05462069
1.468414779,0.016551724
1.492252682,0.019862069
1.501787843,0.049655172
1.501787843,0.02262069
1.530393325,0.025931034
1.539928486,0.044137931
1.573301549,0.030344828
1.57806913,0.039172414
1.57806913,0.034206897
