"60^3,u2/u2*,SGS part",zf/u*
0.008743169,0.347090261
0.008743169,0.34043943
0.008743169,0.334619952
0.008743169,0.327553444
0.008743169,0.319655582
0.008743169,0.313004751
0.017486339,0.280166271
0.017486339,0.275593824
0.026229508,0.303859857
0.026229508,0.298871734
0.026229508,0.293467933
0.026229508,0.288064133
0.026229508,0.262292162
0.026229508,0.256472684
0.026229508,0.249821853
0.026229508,-1.58E-17
0.034972678,0.270190024
0.034972678,0.223634204
0.043715847,0.243586698
0.043715847,0.237767221
0.043715847,0.218646081
0.043715847,0.210332542
0.052459016,0.230285036
0.052459016,0.183729216
0.061202186,0.206175772
0.061202186,0.197862233
0.061202186,0.175831354
0.078688525,0.168349169
0.087431694,0.189548694
0.087431694,0.162529691
0.087431694,0.155047506
0.087431694,0.147565321
0.087431694,0.140498812
0.096174863,0.134263658
0.104918033,0.125118765
0.122404372,0.117220903
0.122404372,0.108907363
0.122404372,0.100178147
0.13989071,0.095190024
0.157377049,0.087707838
0.157377049,0.081057007
0.166120219,0.077315914
0.201092896,0.069002375
0.209836066,0.062767221
0.236065574,0.058194774
0.262295082,0.052375297
0.28852459,0.04780285
0.28852459,0.043230404
0.28852459,-1.58E-17
0.340983607,0.037826603
0.358469945,0.032422803
0.445901639,0.028266033
0.445901639,-1.58E-17
0.550819672,0.02327791
0.629508197,0.000415677
0.655737705,0.01912114
0.778142077,0.017458432
0.778142077,0.000415677
0.891803279,0.000831354
0.900546448,0.014133017
1.049180328,0.012054632
1.136612022,0.000831354
1.180327869,0.011638955
1.224043716,0.000831354
1.285245902,0.009976247
1.337704918,0.001662708
1.416393443,0.009144893
1.45136612,0.002078385
1.521311475,0.009144893
1.608743169,0.001662708
1.713661202,0.002494062
1.74863388,0.007897862
1.844808743,0.002494062
1.914754098,0.006235154
2.045901639,0.001662708
2.098360656,0.0054038
2.17704918,0.002078385
2.220765027,0.004988124
2.308196721,0.002078385
2.316939891,0.004572447
2.413114754,0.003325416
2.483060109,0.002909739
2.509289617,0.003325416
