"40^3,?m",zf/u*
1.006637168,0.000255428
1.039823009,0.001149425
1.07300885,0.001787995
1.10619469,0.002681992
1.14159292,0.003065134
1.148230088,0.003703704
1.17699115,0.004342273
1.194690265,0.005108557
1.232300885,0.00587484
1.258849558,0.006768838
1.278761062,0.007535121
1.309734513,0.008429119
1.318584071,0.099489144
1.325221239,0.097701149
1.327433628,0.067943806
1.327433628,0.065900383
1.327433628,0.06385696
1.327433628,0.061685824
1.327433628,0.059770115
1.327433628,0.058748404
1.334070796,0.096040868
1.334070796,0.057471264
1.336283186,0.09412516
1.336283186,0.069220945
1.338495575,0.071392082
1.342920354,0.091698595
1.345132743,0.089272031
1.345132743,0.072541507
1.347345133,0.087228608
1.351769912,0.009195402
1.353982301,0.055427842
1.35619469,0.084546616
1.35619469,0.082503193
1.35619469,0.080715198
1.35619469,0.074329502
1.360619469,0.079182631
1.360619469,0.075734355
1.365044248,0.077394636
1.365044248,0.053767561
1.378318584,0.010727969
1.387168142,0.051724138
1.402654867,0.011366539
1.404867257,0.049553001
1.413716814,0.047765006
1.431415929,0.045849298
1.435840708,0.012643678
1.451327434,0.043422733
1.462389381,0.040996169
1.469026549,0.013282248
1.482300885,0.038697318
1.484513274,0.014687101
1.497787611,0.015836526
1.504424779,0.036270754
1.515486726,0.017752235
1.519911504,0.034738186
1.530973451,0.03256705
1.53539823,0.031545338
1.542035398,0.019795658
1.544247788,0.029118774
1.553097345,0.021328225
1.557522124,0.026564496
1.564159292,0.024010217
1.575221239,0.022733078
