"80^3,?m",zf/u*
1.011061947,0.000255428
1.046460177,0.000766284
1.050884956,0.001277139
1.068584071,0.041634738
1.075221239,0.039719029
1.079646018,0.044827586
1.084070796,0.045849298
1.084070796,0.037675607
1.088495575,0.001277139
1.090707965,0.036015326
1.092920354,0.046743295
1.099557522,0.034610473
1.103982301,0.048275862
1.112831858,0.001404853
1.115044248,0.033077905
1.117256637,0.049680715
1.121681416,0.051340996
1.123893805,0.032183908
1.126106195,0.001404853
1.14159292,0.031162197
1.14380531,0.052873563
1.152654867,0.055172414
1.152654867,0.054916986
1.152654867,0.001915709
1.157079646,0.057471264
1.161504425,0.002043423
1.163716814,0.030012771
1.172566372,0.059259259
1.17920354,0.002681992
1.185840708,0.02183908
1.192477876,0.06155811
1.192477876,0.023371648
1.194690265,0.002681992
1.196902655,0.02605364
1.196902655,0.025031928
1.199115044,0.062196679
1.199115044,0.029374202
1.203539823,0.003192848
1.207964602,0.062835249
1.207964602,0.029118774
1.207964602,0.027841635
1.21460177,0.064240102
1.216814159,0.020945083
1.225663717,0.065389527
1.234513274,0.067049808
1.234513274,0.003320562
1.241150442,0.020178799
1.245575221,0.067688378
1.254424779,0.069220945
1.258849558,0.019667944
1.261061947,0.00357599
1.263274336,0.070498084
1.274336283,0.071136654
1.278761062,0.018646232
1.280973451,0.072541507
1.280973451,0.004086845
1.287610619,0.073690932
1.294247788,0.004086845
1.298672566,0.017879949
1.300884956,0.084546616
1.300884956,0.078671775
1.300884956,0.076628352
1.300884956,0.075478927
1.305309735,0.083014049
1.305309735,0.080076628
1.305309735,0.017496807
1.307522124,0.004980843
1.307522124,0.004342273
1.314159292,0.0899106
1.314159292,0.08697318
1.32300885,0.091826309
1.325221239,0.094380587
1.325221239,0.006768838
1.325221239,0.006641124
1.325221239,0.006002554
1.329646018,0.007407407
1.331858407,0.096807152
1.331858407,0.016219668
1.342920354,0.098978289
1.342920354,0.008173691
1.345132743,0.015581098
1.347345133,0.099744572
1.349557522,0.008556833
1.353982301,0.008939974
1.35840708,0.009323116
1.360619469,0.009833972
1.365044248,0.014687101
1.367256637,0.010983397
1.376106195,0.011749681
1.380530973,0.014431673
1.384955752,0.014048531
1.39380531,0.013409962
1.39380531,0.013282248
