"80^3,w2/u2*,resolved part",zf/u*
0.014285714,0.352066116
0.019047619,0.001652893
0.038095238,0.348760331
0.061904762,0.34600551
0.076190476,0.339393939
0.076190476,0.333884298
0.080952381,0.344352617
0.085714286,0.330578512
0.119047619,0.328374656
0.128571429,0.001652893
0.138095238,0.322865014
0.138095238,0.319559229
0.157142857,0.31184573
0.166666667,0.305785124
0.180952381,0.299173554
0.2,0.29476584
0.2,0.002203857
0.214285714,0.289256198
0.223809524,0.002203857
0.242857143,0.2815427
0.257142857,0.277134986
0.271428571,0.269421488
0.271428571,0.003856749
0.276190476,0.263911846
0.319047619,0.257300275
0.333333333,0.250688705
0.333333333,0.004407713
0.352380952,0.244628099
0.361904762,0.238016529
0.385714286,0.232506887
0.4,0.225895317
0.4,0.007713499
0.423809524,0.218732782
0.442857143,0.211019284
0.457142857,0.203856749
0.476190476,0.196694215
0.480952381,0.012672176
0.49047619,0.18953168
0.50952381,0.182369146
0.542857143,0.014876033
0.547619048,0.173002755
0.580952381,0.01707989
0.585714286,0.166942149
0.59047619,0.160881543
0.604761905,0.154820937
0.623809524,0.018732782
0.638095238,0.148760331
0.671428571,0.14214876
0.704761905,0.136088154
0.70952381,0.019283747
0.733333333,0.126721763
0.738095238,0.020385675
0.752380952,0.119008264
0.776190476,0.11184573
0.780952381,0.020936639
0.814285714,0.10523416
0.833333333,0.022038567
0.842857143,0.096969697
0.885714286,0.092011019
0.885714286,0.026446281
0.914285714,0.082644628
0.928571429,0.029752066
0.938095238,0.078787879
0.971428571,0.073829201
0.980952381,0.034710744
1.004761905,0.065013774
1.004761905,0.037465565
1.033333333,0.058953168
1.038095238,0.052341598
1.042857143,0.047933884
1.042857143,0.042975207
