"80^3,v2/u2*,SGS part",zf/u*
0.009535161,0.355983494
0.009535161,0.351031637
0.014302741,0.342228336
0.014302741,0.334525447
0.014302741,0.325171939
0.019070322,0.318019257
0.023837902,0.3130674
0.023837902,0.306464924
0.023837902,0.299312242
0.023837902,0.291059147
0.023837902,0.283356259
0.023837902,0.273452545
0.023837902,0.262998624
0.023837902,0.002200825
0.038140644,0.254195323
0.038140644,0.244841816
0.038140644,0.233837689
0.038140644,0.225034388
0.038140644,0.216231087
0.057210965,0.206327373
0.057210965,0.197524072
0.057210965,0.186519945
0.061978546,0.170013755
0.061978546,0.159009629
0.071513707,0.149656121
0.090584029,0.137551582
0.090584029,0.125447043
0.10965435,0.114442916
0.119189511,0.104539202
0.133492253,0.089133425
0.138259833,0.080330124
0.171632896,0.069325997
0.185935638,0.060522696
0.21454112,0.052819807
0.238379023,0.045116919
0.286054827,0.036313618
0.338498212,0.029160935
0.357568534,0.002200825
0.405244338,0.026409904
0.491060787,0.023658872
0.562574493,0.021458047
0.572109654,0.002751032
0.662693683,0.019257221
0.743742551,0.015955983
0.758045292,0.002200825
0.83909416,0.012654746
0.915375447,0.003851444
0.967818832,0.012654746
1.005959476,0.003851444
1.0488677,0.004401651
1.05363528,0.012654746
1.144219309,0.011554333
1.25864124,0.012104539
1.306317044,0.003301238
1.349225268,0.009353508
1.415971395,0.002751032
1.444576877,0.008253095
1.511323004,0.008253095
1.539928486,0.003851444
1.592371871,0.008253095
1.640047676,0.004401651
1.6829559,0.008253095
1.749702026,0.004951857
1.754469607,0.008253095
1.816448153,0.007152682
1.845053635,0.004401651
1.89272944,0.007152682
1.959475566,0.006602476
1.964243147,0.004401651
2.040524434,0.003851444
2.059594756,0.004951857
2.112038141,0.004951857
