"80^3,v2/u2*,resolved part",zf/u*
0.019070322,0.002200825
0.185935638,0.354332875
0.20977354,0.351031637
0.233611442,0.346629986
0.252681764,0.340577717
0.266984505,0.336726272
0.281287247,0.330123796
0.305125149,0.324071527
0.309892729,0.002200825
0.31466031,0.31911967
0.324195471,0.314718019
0.348033373,0.310316369
0.362336114,0.305364512
0.395709178,0.298762036
0.410011919,0.291609354
0.443384982,0.287207703
0.443384982,0.002200825
0.467222884,0.282806052
0.481525626,0.278404402
0.510131108,0.271251719
0.543504172,0.003301238
0.553039333,0.267400275
0.557806913,0.262998624
0.586412396,0.255295736
0.605482718,0.249793673
0.619785459,0.003301238
0.62932062,0.244841816
0.638855781,0.238789546
0.681764005,0.231086657
0.681764005,0.003301238
0.705601907,0.223383769
0.729439809,0.217881706
0.753277712,0.003851444
0.762812872,0.210729023
0.781883194,0.204126547
0.800953516,0.195323246
0.820023838,0.004401651
0.829558999,0.189821183
0.862932062,0.183218707
0.877234803,0.173314993
0.891537545,0.16781293
0.901072706,0.004401651
0.905840286,0.160660248
0.920143027,0.005502063
0.939213349,0.154057772
0.963051251,0.147455296
0.982121573,0.141403026
0.991656734,0.005502063
0.996424315,0.137001376
1.025029797,0.133149931
1.025029797,0.127647868
1.044100119,0.005502063
1.0488677,0.123246217
1.063170441,0.117744154
1.072705602,0.114442916
1.082240763,0.005502063
1.106078665,0.10784044
1.129916567,0.10343879
1.15852205,0.004951857
1.172824791,0.096836314
1.215733015,0.089683631
1.225268176,0.006602476
1.249106079,0.085832187
1.26340882,0.007152682
1.272943981,0.081430536
1.315852205,0.075928473
1.358760429,0.072077029
1.37306317,0.007152682
1.401668653,0.067675378
1.430274136,0.062723521
1.439809297,0.008803301
1.482717521,0.058872077
1.530393325,0.052819807
1.530393325,0.008803301
1.568533969,0.048968363
1.592371871,0.009903714
1.620977354,0.044016506
1.625744934,0.01045392
1.640047676,0.041815681
1.678188319,0.035213205
1.697258641,0.028610729
1.697258641,0.012104539
1.711561383,0.024209078
1.749702026,0.020357634
1.754469607,0.012654746
1.78784267,0.018156809
1.797377831,0.013204952
1.816448153,0.015405777
1.840286055,0.013755158
