"w?/w?0,FOAM,total",z/h
0.01242236,0.995614035
0.01552795,0.980994152
0.020186335,0.967836257
0.026397516,0.950292398
0.031055901,0.926900585
0.037267081,0.90497076
0.045031056,0.884502924
0.046583851,0.861111111
0.054347826,0.839181287
0.063664596,0.814327485
0.066770186,0.798245614
0.074534161,0.779239766
0.082298137,0.764619883
0.090062112,0.74122807
0.096273292,0.722222222
0.104037267,0.703216374
0.116459627,0.679824561
0.127329193,0.660818713
0.133540373,0.649122807
0.144409938,0.630116959
0.155279503,0.609649123
0.158385093,0.59502924
0.170807453,0.581871345
0.177018634,0.570175439
0.184782609,0.554093567
0.189440994,0.545321637
0.203416149,0.532163743
0.214285714,0.51754386
0.223602484,0.502923977
0.23757764,0.492690058
0.248447205,0.479532164
0.267080745,0.467836257
0.282608696,0.459064327
0.287267081,0.445906433
0.302795031,0.432748538
0.321428571,0.421052632
0.330745342,0.412280702
0.343167702,0.40497076
0.355590062,0.393274854
0.368012422,0.384502924
0.385093168,0.372807018
0.402173913,0.365497076
0.420807453,0.355263158
0.439440994,0.343567251
0.458074534,0.330409357
0.47515528,0.320175439
0.49689441,0.311403509
0.510869565,0.302631579
0.532608696,0.292397661
0.549689441,0.282163743
0.566770186,0.273391813
0.590062112,0.260233918
0.607142857,0.248538012
0.630434783,0.24122807
0.652173913,0.228070175
0.673913043,0.216374269
0.695652174,0.206140351
0.712732919,0.188596491
0.739130435,0.179824561
0.748447205,0.169590643
0.763975155,0.156432749
0.785714286,0.14619883
0.804347826,0.130116959
0.819875776,0.115497076
0.833850932,0.105263158
0.849378882,0.096491228
0.868012422,0.08625731
0.878881988,0.073099415
0.900621118,0.05994152
0.917701863,0.043859649
0.939440994,0.035087719
0.961180124,0.020467836
0.979813665,0.011695906
0.995341615,0.002923977
