"60^3,?m",zf/u*
1.004424779,0.067305236
1.004424779,0.065261814
1.011061947,0.068710089
1.011061947,0.064367816
1.011061947,0.000383142
1.013274336,0.062452107
1.017699115,0.070625798
1.019911504,0.072413793
1.022123894,0.060536398
1.026548673,0.074968072
1.028761062,0.058237548
1.037610619,0.077394636
1.039823009,0.055683269
1.039823009,0.053639847
1.039823009,0.001277139
1.042035398,0.079310345
1.044247788,0.05146871
1.057522124,0.048914432
1.059734513,0.082247765
1.061946903,0.084546616
1.061946903,0.047509579
1.07300885,0.044699872
1.077433628,0.04265645
1.077433628,0.001532567
1.081858407,0.086206897
1.086283186,0.040868455
1.095132743,0.087484036
1.095132743,0.03908046
1.097345133,0.002043423
1.101769912,0.037292465
1.103982301,0.089782886
1.110619469,0.036526181
1.112831858,0.091315453
1.119469027,0.092975734
1.121681416,0.035121328
1.123893805,0.002043423
1.134955752,0.095146871
1.134955752,0.002298851
1.14159292,0.096168582
1.14380531,0.032822478
1.154867257,0.002809706
1.157079646,0.097701149
1.157079646,0.031034483
1.163716814,0.098595147
1.172566372,0.099616858
1.17699115,0.02962963
1.17920354,0.003448276
1.190265487,0.028607918
1.203539823,0.027075351
1.205752212,0.003320562
1.216814159,0.025670498
1.225663717,0.004086845
1.232300885,0.024010217
1.238938053,0.004214559
1.243362832,0.022349936
1.252212389,0.004597701
1.263274336,0.021583653
1.263274336,0.004980843
1.280973451,0.005619413
1.283185841,0.020178799
1.287610619,0.00651341
1.298672566,0.00715198
1.305309735,0.018773946
1.318584071,0.008301405
1.331858407,0.008812261
1.340707965,0.01660281
1.351769912,0.00945083
1.35840708,0.010217114
1.369469027,0.011366539
1.371681416,0.01532567
1.373893805,0.012260536
1.378318584,0.014687101
1.39380531,0.013409962
1.39380531,0.013282248
