"80^3,w2/u2*,total variance",zf/u*
0.019047619,0.356473829
0.019047619,0.001101928
0.038095238,0.353168044
0.052380952,0.349311295
0.080952381,0.347107438
0.095238095,0.343801653
0.095238095,0.339944904
0.095238095,0.334986226
0.114285714,0.331129477
0.142857143,0.325619835
0.152380952,0.319559229
0.166666667,0.312947658
0.204761905,0.306887052
0.214285714,0.298071625
0.223809524,0.293663912
0.242857143,0.287052342
0.266666667,0.279338843
0.271428571,0.001101928
0.29047619,0.271625344
0.319047619,0.266115702
0.338095238,0.257300275
0.366666667,0.248484848
0.4,0.240220386
0.423809524,0.231404959
0.452380952,0.223140496
0.471428571,0.213774105
0.50952381,0.207162534
0.519047619,0.198898072
0.538095238,0.001652893
0.547619048,0.191735537
0.561904762,0.185123967
0.59047619,0.177961433
0.619047619,0.171349862
0.647619048,0.164187328
0.69047619,0.155922865
0.723809524,0.149862259
0.738095238,0.001101928
0.757142857,0.141597796
0.79047619,0.13553719
0.828571429,0.12892562
0.857142857,0.119559229
0.895238095,0.111294766
0.919047619,0.002203857
0.952380952,0.103030303
0.980952381,0.096418733
1.033333333,0.088705234
1.080952381,0.002203857
1.09047619,0.080440771
1.138095238,0.002754821
1.142857143,0.072176309
1.185714286,0.002754821
1.195238095,0.063911846
1.238095238,0.057300275
1.257142857,0.027548209
1.266666667,0.001101928
1.276190476,0.035261708
1.285714286,0.049586777
1.29047619,0.041873278
1.30952381,0.025895317
1.328571429,0.013774105
1.333333333,0.01707989
1.338095238,0.002754821
1.357142857,0.022038567
1.376190476,0.01322314
1.404761905,0.003305785
1.457142857,0.012121212
1.5,0.001652893
1.523809524,0.012672176
1.614285714,0.011570248
1.642857143,0.002754821
1.704761905,0.009917355
1.79047619,0.008815427
1.79047619,0.002203857
1.866666667,0.008815427
1.895238095,0.002754821
1.985714286,0.008815427
1.995238095,0.003305785
2.047619048,0.008815427
2.095238095,0.008264463
2.104761905,0.002754821
2.138095238,0.007162534
2.219047619,0.005509642
2.228571429,0.003856749
2.30952381,0.005509642
2.319047619,0.003856749
2.380952381,0.003856749
2.428571429,0.005509642
