"w?/w?0,FOAM,resolved scale",z/h
0.00310559,0.027777778
0.00310559,0.013157895
0.004658385,0.893274854
0.004658385,0.064327485
0.004658385,0.048245614
0.007763975,0.878654971
0.007763975,0.093567251
0.007763975,0.080409357
0.01242236,0.865497076
0.01242236,0.847953216
0.01242236,0.105263158
0.020186335,0.821637427
0.020186335,0.124269006
0.02484472,0.14619883
0.027950311,0.799707602
0.029503106,0.785087719
0.035714286,0.769005848
0.035714286,0.165204678
0.040372671,0.742690058
0.043478261,0.184210526
0.048136646,0.729532164
0.051242236,0.713450292
0.055900621,0.203216374
0.059006211,0.691520468
0.065217391,0.671052632
0.066770186,0.656432749
0.066770186,0.216374269
0.074534161,0.635964912
0.079192547,0.230994152
0.080745342,0.619883041
0.086956522,0.606725146
0.094720497,0.590643275
0.094720497,0.245614035
0.099378882,0.576023392
0.108695652,0.558479532
0.110248447,0.257309942
0.119565217,0.540935673
0.125776398,0.270467836
0.130434783,0.519005848
0.135093168,0.277777778
0.141304348,0.286549708
0.144409938,0.502923977
0.149068323,0.295321637
0.152173913,0.486842105
0.156832298,0.307017544
0.161490683,0.467836257
0.170807453,0.314327485
0.172360248,0.453216374
0.175465839,0.321637427
0.180124224,0.432748538
0.184782609,0.337719298
0.187888199,0.415204678
0.187888199,0.365497076
0.187888199,0.352339181
0.192546584,0.39619883
0.194099379,0.384502924
