"60^3,u2/u2*,total variance",zf/u*
0.008743169,-1.58E-17
0.13989071,-0.000415677
0.29726776,0.348337292
0.306010929,0.330463183
0.306010929,0.325059382
0.314754098,0.343764846
0.332240437,0.335451306
0.332240437,0.317577197
0.340983607,0.339608076
0.340983607,0.310926366
0.349726776,-0.000415677
0.358469945,0.305106888
0.393442623,0.29804038
0.419672131,0.292220903
0.445901639,0.285985748
0.472131148,0.280997625
0.498360656,0.27476247
0.524590164,0.269774347
0.568306011,0.261460808
0.620765027,0.25564133
0.629508197,0.25023753
0.664480874,0.245249406
0.690710383,-1.58E-17
0.716939891,0.237767221
0.751912568,0.233610451
0.795628415,0.227375297
0.830601093,0.221971496
0.856830601,0.216983373
0.900546448,0.211579572
0.926775956,0.206175772
0.970491803,0.199940618
1.01420765,0.194536817
1.049180328,0.190380048
1.066666667,0.185807601
1.119125683,0.17915677
1.154098361,0.172921615
1.206557377,0.166686461
1.250273224,0.160866983
1.276502732,-1.58E-17
1.30273224,0.156294537
1.346448087,0.150059382
1.398907104,0.145071259
1.442622951,0.139667458
1.521311475,0.134679335
1.565027322,0.128444181
1.617486339,0.124287411
1.626229508,0.000415677
1.652459016,0.119299287
1.722404372,0.114311164
1.792349727,0.108907363
1.862295082,0.10391924
1.940983607,0.100178147
2.03715847,0.095190024
2.054644809,0.000831354
2.089617486,0.089370546
2.18579235,0.085213777
2.246994536,0.080225653
2.32568306,0.076484561
2.33442623,0.000831354
2.421857923,0.072327791
2.518032787,0.069418052
2.579234973,0.000415677
2.587978142,0.064429929
2.666666667,0.062351544
2.745355191,0.059441805
2.867759563,0.054869359
2.867759563,0.000831354
2.963934426,0.053622328
3.033879781,0.001662708
3.095081967,0.050296912
3.217486339,0.047387173
3.261202186,0.001247031
3.357377049,0.044893112
3.453551913,0.001247031
3.462295082,0.041152019
3.575956284,0.039489311
3.602185792,0.002078385
3.707103825,0.036995249
3.742076503,0.002078385
3.829508197,0.035332542
3.92568306,0.002078385
3.93442623,0.033669834
4.039344262,0.032007126
4.196721311,0.029928741
4.205464481,0.002078385
4.389071038,0.029097387
4.51147541,0.002078385
4.520218579,0.026603325
4.721311475,0.001662708
4.747540984,0.024524941
4.922404372,0.022030879
4.93989071,0.002909739
5.079781421,0.021199525
5.158469945,0.002909739
5.307103825,0.019536817
5.333333333,0.002909739
5.473224044,0.017458432
5.52568306,0.003325416
5.639344262,0.003325416
5.66557377,0.016211401
5.787978142,0.003325416
5.857923497,0.014964371
5.910382514,0.003325416
6.050273224,0.013301663
6.067759563,0.002909739
6.146448087,0.002494062
6.163934426,0.012470309
6.207650273,0.003741093
6.268852459,0.007897862
6.295081967,0.012054632
