"60^3,w2/u2*,resolved part",zf/u*
0.009546539,0.347658402
0.009546539,0.000550964
0.033412888,0.343250689
0.062052506,0.338842975
0.076372315,0.33553719
0.076372315,0.330027548
0.081145585,0.001101928
0.085918854,0.326170799
0.109785203,0.323415978
0.133651551,0.321212121
0.133651551,0.319008264
0.133651551,0.315151515
0.133651551,0.312947658
0.133651551,0.003305785
0.1575179,0.306887052
0.176610979,0.303581267
0.176610979,0.300275482
0.176610979,0.296418733
0.186157518,0.005509642
0.190930788,0.292561983
0.214797136,0.289256198
0.229116945,0.283746556
0.233890215,0.2815427
0.248210024,0.275482094
0.248210024,0.009366391
0.272076372,0.268870523
0.286396181,0.01046832
0.295942721,0.263911846
0.30071599,0.259504132
0.324582339,0.255647383
0.338902148,0.248484848
0.362768496,0.013774105
0.372315036,0.239669421
0.405727924,0.230853994
0.429594272,0.01707989
0.439140811,0.222589532
0.46300716,0.214876033
0.491646778,0.019283747
0.496420048,0.207162534
0.525059666,0.198898072
0.534606205,0.020385675
0.558472554,0.191735537
0.577565632,0.185674931
0.601431981,0.179614325
0.62052506,0.16969697
0.625298329,0.022038567
0.644391408,0.160881543
0.649164678,0.022589532
0.658711217,0.158126722
0.673031026,0.152066116
0.701670644,0.145454545
0.701670644,0.025895317
0.730310263,0.139393939
0.744630072,0.028099174
0.749403341,0.130578512
0.782816229,0.12231405
0.787589499,0.030853994
0.811455847,0.114600551
0.821002387,0.109090909
0.821002387,0.032506887
0.825775656,0.10137741
0.849642005,0.095867769
0.868735084,0.087603306
0.878281623,0.036363636
0.892601432,0.080440771
0.892601432,0.039669421
0.92124105,0.072176309
0.92124105,0.044628099
0.930787589,0.067217631
0.935560859,0.049035813
0.954653938,0.060606061
0.954653938,0.05399449
