"60^3,v2/u2*,SGS part",zf/u*
0.019070322,0.349793103
0.019070322,0.340413793
0.019070322,0.331586207
0.023837902,0.310068966
0.023837902,0.301241379
0.023837902,0.292965517
0.023837902,0.284137931
0.023837902,0.001103448
0.028605483,0.320551724
0.033373063,0.274758621
0.033373063,0.26537931
0.033373063,0.257655172
0.033373063,0.248827586
0.047675805,0.241103448
0.052443385,0.236689655
0.052443385,0.229517241
0.052443385,0.219034483
0.066746126,0.211310345
0.066746126,0.202482759
0.066746126,0.196965517
0.076281287,0.187034483
0.076281287,0.180413793
0.076281287,0.173793103
0.076281287,0.167724138
0.081048868,0.160551724
0.095351609,0.151724138
0.10011919,0.144
0.10011919,0.132413793
0.10011919,0.122482759
0.123957092,0.115862069
0.123957092,0.109793103
0.143027414,0.100413793
0.152562574,0.092137931
0.162097735,0.084965517
0.190703218,0.07337931
0.195470799,0.067862069
0.243146603,0.057931034
0.266984505,0.048551724
0.295589988,0.045241379
0.328963051,0.038068966
0.381406436,0.032
0.429082241,0.028689655
0.491060787,0.026482759
0.548271752,0.024275862
0.638855781,0.001103448
0.643623361,0.019862069
0.729439809,0.018758621
0.815256257,0.017103448
0.867699642,0.000551724
0.901072706,0.015448276
0.972586412,0.001655172
1.010727056,0.012689655
1.063170441,0.001655172
1.129916567,0.011586207
1.15852205,0.002206897
1.225268176,0.011034483
1.253873659,0.001103448
1.339690107,0.00937931
1.353992849,0.002206897
1.449344458,0.002206897
1.458879619,0.010482759
1.535160906,0.00937931
1.568533969,0.002758621
1.649582837,0.008827586
1.697258641,0.002758621
1.744934446,0.008827586
1.821215733,0.007724138
1.825983313,0.002758621
1.921334923,0.002758621
1.940405244,0.007724138
2.016686532,0.006068966
2.021454112,0.003310345
2.078665077,0.003310345
2.10250298,0.005517241
2.169249106,0.006068966
2.259833135,0.005517241
2.269368296,0.003310345
2.321811681,0.005517241
2.379022646,0.003310345
2.388557807,0.004965517
2.441001192,0.003862069
2.460071514,0.004413793
2.531585221,0.003862069
