"60^3,w2/u2*,SGS part",zf/u*
0.009546539,0.346556474
0.014319809,0.338292011
0.014319809,0.331129477
0.019093079,0.001652893
0.023866348,0.322865014
0.023866348,0.309090909
0.023866348,0.29862259
0.023866348,0.291460055
0.023866348,0.282093664
0.033412888,0.272176309
0.033412888,0.258402204
0.042959427,0.228099174
0.042959427,0.21707989
0.047732697,0.246280992
0.047732697,0.235261708
0.062052506,0.202203857
0.066825776,0.193939394
0.066825776,0.18677686
0.071599045,0.173002755
0.081145585,0.166391185
0.095465394,0.156473829
0.095465394,0.147658402
0.114558473,0.125068871
0.114558473,0.112947658
0.119331742,0.133333333
0.133651551,0.104132231
0.14797136,0.093112948
0.176610979,0.080440771
0.205250597,0.070523416
0.214797136,0.061707989
0.248210024,0.05399449
0.281622912,0.046831956
0.324582339,0.039669421
0.334128878,0.000550964
0.377088305,0.033057851
0.45823389,0.028650138
0.525059666,0.026997245
0.544152745,0.001652893
0.596658711,0.02369146
0.658711217,0.020385675
0.77326969,0.018732782
0.782816229,0.001101928
0.892601432,0.016528926
0.940334129,0.002203857
0.988066826,0.014325069
1.069212411,0.01322314
1.102625298,0.001652893
1.169451074,0.011570248
1.221957041,0.011019284
1.241050119,0.002754821
1.336515513,0.011019284
1.360381862,0.002754821
1.436754177,0.011019284
1.484486874,0.011019284
1.489260143,0.002754821
1.551312649,0.002754821
1.575178998,0.011019284
1.637231504,0.008815427
1.68973747,0.002754821
1.718377088,0.009366391
1.756563246,0.002754821
1.804295943,0.007713499
1.914081146,0.002754821
1.923627685,0.007713499
1.966587112,0.002203857
1.990453461,0.00661157
2.062052506,0.002754821
2.105011933,0.006060606
2.124105012,0.004407713
2.210023866,0.005509642
2.291169451,0.003305785
2.329355609,0.005509642
2.334128878,0.003856749
2.381861575,0.005509642
2.410501193,0.002203857
2.424821002,0.005509642
2.486873508,0.004407713
