"80^3,v2/u2*,total variance",zf/u*
0.014302741,0.001650619
0.20977354,0.355433287
0.20977354,0.353782669
0.233611442,0.349931224
0.252681764,0.347730399
0.262216925,0.342228336
0.286054827,0.33562586
0.295589988,0.001650619
0.300357569,0.331774415
0.31466031,0.324621733
0.324195471,0.318569464
0.348033373,0.314167813
0.381406436,0.307565337
0.400476758,0.300412655
0.41954708,0.29656121
0.443384982,0.290508941
0.476758045,0.284456671
0.491060787,0.280605227
0.519666269,0.274552957
0.557806913,0.267400275
0.591179976,0.263548831
0.610250298,0.25914718
0.638855781,0.251994498
0.662693683,0.245392022
0.667461263,0.001100413
0.700834327,0.236038514
0.743742551,0.225034388
0.767580453,0.001100413
0.796185936,0.216231087
0.815256257,0.207977992
0.848629321,0.198624484
0.882002384,0.189270977
0.910607867,0.183218707
0.915375447,0.002200825
0.939213349,0.174415406
0.963051251,0.165612105
0.986889154,0.159559835
0.986889154,0.002200825
1.020262217,0.15130674
1.025029797,0.002751032
1.063170441,0.144154058
1.091775924,0.133700138
1.125148987,0.002751032
1.134684148,0.127647868
1.15375447,0.120495186
1.182359952,0.113342503
1.182359952,0.002200825
1.220500596,0.10784044
1.249106079,0.002200825
1.282479142,0.099587345
1.330154946,0.092984869
1.36829559,0.002200825
1.396901073,0.086382393
1.435041716,0.001650619
1.444576877,0.079229711
1.516090584,0.072627235
1.520858164,0.001650619
1.57806913,0.002200825
1.587604291,0.065474553
1.649582837,0.060522696
1.654350417,0.003851444
1.716328963,0.002200825
1.721096544,0.056121045
1.79261025,0.049518569
1.811680572,0.003301238
1.859356377,0.045116919
1.887961859,0.002751032
1.926102503,0.039064649
1.978545888,0.002751032
1.99761621,0.034112792
2.050059595,0.029711142
2.088200238,0.003301238
2.126340882,0.026409904
2.188319428,0.003851444
2.221692491,0.023658872
2.231227652,0.003851444
2.31227652,0.02090784
2.321811681,0.003851444
2.41716329,0.003851444
2.431466031,0.019257221
2.52205006,0.017056396
2.52205006,0.003851444
2.612634088,0.014855571
2.612634088,0.003851444
2.722288439,0.013204952
2.7318236,0.003851444
2.827175209,0.011004127
2.865315852,0.003851444
2.893921335,0.011004127
2.970202622,0.003851444
2.998808105,0.009353508
3.046483909,0.009353508
3.060786651,0.003851444
3.117997616,0.007152682
3.141835518,0.004951857
3.175208582,0.007702889
3.213349225,0.004951857
3.289630513,0.004951857
