"80^3,uw/u2*,resolved part",zf/u*
0.000539374,0.356608479
0.007011866,0.35361596
0.017799353,0.34563591
0.017799353,0.337157107
0.026429342,0.330174564
0.028586839,0.326184539
0.035059331,0.316708229
0.037216828,0.001995012
0.041531823,0.310224439
0.050161812,0.302743142
0.054476807,0.295760599
0.063106796,0.288778055
0.071736785,0.282294264
0.07605178,0.001995012
0.078209277,0.275810474
0.088996764,0.269825436
0.09978425,0.260349127
0.104099245,0.001995012
0.119201726,0.253366584
0.127831715,0.244389027
0.140776699,0.001995012
0.149406688,0.234912718
0.166666667,0.225935162
0.175296656,0.221945137
0.175296656,0.001995012
0.190399137,0.212468828
0.203344121,0.002493766
0.207659115,0.205985037
0.218446602,0.201995012
0.222761597,0.198004988
0.23570658,0.191022444
0.24433657,0.003990025
0.257281553,0.1840399
0.270226537,0.004987531
0.272384035,0.180548628
0.287486516,0.171571072
0.298274002,0.005486284
0.300431499,0.166583541
0.315533981,0.160598504
0.326321467,0.005486284
0.328478964,0.15361596
0.341423948,0.149625935
0.358683927,0.145137157
0.369471413,0.005486284
0.37162891,0.140648379
0.393203883,0.137157107
0.40399137,0.132169576
0.419093851,0.127182045
0.421251348,0.005486284
0.449298813,0.122194514
0.455771305,0.006483791
0.462243797,0.115710723
0.475188781,0.110723192
0.48381877,0.006982544
0.490291262,0.10723192
0.511866235,0.103740648
0.51618123,0.007481297
0.529126214,0.09925187
0.546386192,0.094264339
0.559331176,0.089276808
0.559331176,0.008977556
0.57227616,0.085286783
0.589536138,0.081795511
0.59600863,0.009476309
0.602481122,0.078304239
0.621898598,0.075311721
0.626213592,0.010972569
0.634843581,0.069825436
0.643473571,0.06882793
0.658576052,0.065835411
0.662891046,0.010972569
0.673678533,0.06234414
0.690938511,0.058852868
0.699568501,0.012468828
0.70819849,0.055860349
0.723300971,0.051870324
0.723300971,0.013466334
0.736245955,0.04638404
0.744875944,0.043890274
0.75566343,0.02244389
0.76429342,0.039401496
0.76429342,0.036408978
0.76429342,0.018952618
0.76429342,0.013466334
0.770765912,0.024438903
0.775080906,0.0159601
0.777238403,0.032418953
0.777238403,0.025935162
0.777238403,0.01446384
0.785868393,0.029426434
