,cm,cm
BurnNumber,Eff_Spacing,Eff_Depth
29,30.48,60.96
30,30.4382,32.0752
31,30.313,33.666
38,30.48,60.96
39,30.1047,65.7281
40,28.9882,70.3788
53,25.4,60.96
54,25.2609,63.615
55,25.2609,63.615
56,25.0873,64.9334
60,30.48,121.92
70,34.34832,131.1236
71,33.81957,132.9086
82,41.7673,140.516
100,34.3483,70.1636
101,34.34832,70.16361
102,33.81957,71.94864
105,32.48568,75.42356
115,22.63157,42.01136
117,21.99705,43.18
120,33.81957,132.9086
122,33.81957,132.9086
123,33.81957,132.9086
126,33.19812,134.6636
127,32.48568,136.3836
128,32.48568,136.3836
129,32.48568,136.3836
130,31.68419,138.0639
