,cm,cm
BurnNumber,Eff_Spacing,Eff_Depth
28,20.32,60.96
35,25.56268,138.5206
36,23.6874,49.6617
37,24.6588,48.3957
42,27.1579,74.7976
43,26.3965,76.2
45,22.6316,42.0114
47,23.2041,71.2911
48,23.7129,70.0625
52,25.0873,64.9334
58,19.3255,36.7592
59,20.0698,33.6587
61,29.44142,129.8088
62,29.81394,128.2571
66,29.81394,128.2571
67,29.44142,129.8088
68,32.48568,136.3836
69,33.19812,134.6636
72,33.19812,134.6636
73,32.48568,136.3836
74,37.12649,138.4498
75,37.12649,138.4498
77,37.94071,136.4841
78,37.94071,136.4841
81,37.12649,138.4498
84,39.59468,144.78
85,39.59468,144.78
86,38.34402,146.8209
88,38.34402,146.8209
89,37.94071,136.4841
90,36.21051,140.3702
91,33.81957,132.9086
92,34.34832,131.1236
93,34.34832,131.1236
96,34.78293,129.3133
98,32.48568,136.3836
99,34.3483,70.1636
106,32.48568,75.42356
107,31.68419,77.1039
108,31.68419,77.1039
110,30.79586,78.74
111,30.79586,78.74
112,30.79586,78.74
114,33.81957,132.9086
118,33.81957,132.9086
131,31.68419,138.0639
134,31.68419,138.0639
136,30.79586,139.7
137,30.79586,139.7
138,30.79586,139.7
140,31.68419,138.0639
