Time,T_top,T_bottom
s,C,C
0.0,13.8,13.3
0.4,13.8,13.3
0.8,13.8,13.3
1.2,13.8,13.3
1.6,13.8,13.3
2.0,13.8,13.3
2.4,13.8,13.3
2.8,13.8,13.3
3.2,13.8,13.3
3.6,13.8,13.3
4.0,13.8,13.3
4.4,13.8,13.3
4.8,13.8,13.3
5.2,13.8,13.3
5.6,13.8,13.3
6.0,13.8,13.3
6.4,13.8,13.3
6.8,13.8,13.3
7.2,13.8,13.3
7.6,13.8,13.3
8.0,13.8,13.3
8.4,13.8,13.3
8.8,13.8,13.3
9.2,13.8,13.3
9.6,13.8,13.3
10.0,13.8,13.3
10.4,13.8,13.3
10.8,13.8,13.3
11.2,13.8,13.3
11.6,13.8,13.3
12.0,13.8,13.3
12.4,13.8,13.3
12.8,13.8,13.3
13.2,13.8,13.3
13.6,13.8,13.3
14.0,13.8,13.3
14.4,13.8,13.3
14.8,13.8,13.3
15.2,13.8,13.2
15.6,13.8,13.2
16.0,13.8,13.2
16.4,13.8,13.2
16.8,13.8,13.2
17.2,13.8,13.3
17.6,13.8,13.2
18.0,13.8,13.2
18.4,13.8,13.2
18.8,13.8,13.2
19.2,13.8,13.2
19.6,13.8,13.2
20.0,13.8,13.2
20.4,13.8,13.2
20.8,13.7,13.2
21.2,13.7,13.2
21.6,13.7,13.2
22.0,13.8,13.2
22.4,13.7,13.2
22.8,13.7,13.2
23.2,13.7,13.2
23.6,13.7,13.2
24.0,13.7,13.2
24.4,13.7,13.2
24.8,13.7,13.2
25.2,13.7,13.2
25.6,13.7,13.2
26.0,13.7,13.2
26.4,13.7,13.2
26.8,13.7,13.2
27.2,13.7,13.2
27.6,13.7,13.2
28.0,13.7,13.2
28.4,13.7,13.2
28.8,13.7,13.2
29.2,13.7,13.2
29.6,13.7,13.2
30.0,13.7,13.2
30.4,13.7,13.2
30.8,13.7,13.2
31.2,13.7,13.2
31.6,13.7,13.2
32.0,13.7,13.2
32.4,13.7,13.2
32.8,13.7,13.2
33.2,13.7,13.2
33.6,13.7,13.2
34.0,13.7,13.2
34.4,13.7,13.2
34.8,13.7,13.2
35.2,13.7,13.2
35.6,13.7,13.2
36.0,13.7,13.2
36.4,13.7,13.2
36.8,13.7,13.2
37.2,13.7,13.2
37.6,13.7,13.2
38.0,13.7,13.2
38.4,13.7,13.2
38.8,13.7,13.2
39.2,13.7,13.2
39.6,13.7,13.2
40.0,13.8,14.0
40.4,14.3,14.1
40.8,14.5,14.4
41.2,14.7,14.7
41.6,15.0,15.1
42.0,15.3,15.4
42.4,15.7,15.8
42.8,16.1,16.2
43.2,16.5,16.7
43.6,16.8,17.1
44.0,17.3,17.5
44.4,17.7,18.0
44.8,18.2,18.5
45.2,18.6,19.0
45.6,19.1,19.6
46.0,19.7,20.1
46.4,20.2,20.7
46.8,20.7,21.3
47.2,21.3,21.9
47.6,21.9,22.5
48.0,22.5,23.2
48.4,23.2,23.9
48.8,23.9,24.6
49.2,24.6,25.3
49.6,25.3,26.0
50.0,26.0,26.8
50.4,26.7,27.6
50.8,27.5,28.4
51.2,28.3,29.2
51.6,29.1,30.1
52.0,29.9,31.0
52.4,30.8,31.8
52.8,31.7,32.7
53.2,32.5,33.6
53.6,33.4,34.6
54.0,34.3,35.5
54.4,35.3,36.5
54.8,36.2,37.5
55.2,37.2,38.5
55.6,38.1,39.5
56.0,39.1,40.5
56.4,40.2,41.6
