Time,T_top,T_bottom
s,C,C
0.0,19.1,19.2
1.1,19.5,19.7
2.3,20.0,20.1
3.4,20.5,20.6
4.6,21.0,21.1
5.7,21.5,21.6
6.9,22.0,22.1
8.0,22.5,22.5
9.2,23.2,23.2
10.3,24.5,24.6
11.5,27.0,27.3
12.6,31.1,31.7
13.8,36.3,37.1
14.9,41.9,42.8
16.0,47.5,48.3
17.2,53.1,53.6
18.3,58.6,58.7
19.5,64.1,63.6
20.6,69.5,68.5
21.8,74.6,73.1
22.9,79.2,77.7
24.1,83.2,82.6
25.2,87.4,87.6
26.4,91.5,92.6
27.5,95.5,97.9
28.7,99.1,103.3
29.8,102.2,108.7
30.9,103.7,114.2
32.1,104.8,119.6
33.2,106.6,125.0
34.4,108.0,130.4
35.5,110.5,135.8
36.7,114.7,141.1
37.8,121.1,146.3
39.0,130.8,151.5
40.1,141.6,156.7
41.3,148.3,161.8
42.4,154.8,166.9
43.5,161.1,171.9
44.7,166.8,176.8
45.8,172.6,181.7
47.0,178.1,186.5
48.1,183.5,191.3
49.3,188.7,196.1
50.4,193.6,200.8
51.6,198.8,205.4
52.7,203.7,209.9
53.9,208.4,214.4
55.0,213.0,218.9
56.2,217.6,223.3
57.3,222.1,227.7
58.4,226.6,232.0
59.6,230.9,236.3
60.7,235.1,240.5
61.9,239.3,244.7
63.0,243.5,248.8
64.2,247.7,252.8
65.3,251.8,256.8
66.5,255.8,260.8
67.6,259.8,264.7
68.8,263.6,268.5
69.9,267.4,272.3
71.1,271.1,276.0
72.2,274.8,279.7
73.3,278.5,283.3
74.5,282.1,286.9
75.6,285.7,290.5
76.8,289.2,294.0
77.9,292.6,297.4
79.1,296.1,300.9
80.2,299.4,304.3
81.4,302.8,307.6
82.5,306.2,310.9
83.7,309.4,314.1
84.8,312.5,317.3
86.0,315.7,320.4
87.1,318.8,323.5
88.2,321.8,326.6
89.4,324.9,329.6
90.5,327.8,332.6
91.7,330.8,335.5
92.8,333.7,338.5
94.0,336.6,341.3
95.1,339.4,344.2
96.3,342.2,346.9
97.4,344.9,349.7
98.6,347.6,352.4
99.7,350.3,355.1
100.8,352.9,357.7
102.0,355.6,360.3
103.1,358.1,362.9
104.3,360.7,365.4
105.4,363.1,367.9
106.6,365.5,370.4
107.7,367.9,372.8
108.9,370.2,375.2
110.0,372.4,377.5
111.2,374.7,379.8
112.3,376.9,382.1
113.5,379.2,384.4
114.6,381.3,386.5
115.7,383.4,388.7
116.9,385.5,390.8
118.0,387.5,392.9
119.2,389.5,395.0
120.3,391.6,397.1
121.5,393.5,399.1
122.6,395.5,401.1
123.8,397.3,403.0
124.9,399.1,405.0
126.1,400.9,406.8
127.2,402.8,408.7
128.4,404.4,410.6
129.5,406.2,412.4
130.6,407.9,414.2
131.8,409.7,416.0
132.9,411.4,417.7
134.1,413.1,419.4
135.2,414.7,421.0
136.4,416.3,422.6
137.5,417.9,424.3
138.7,419.5,425.9
139.8,421.1,427.5
141.0,422.7,429.0
142.1,424.1,430.6
143.3,425.6,432.1
144.4,427.0,433.6
145.5,428.5,435.0
146.7,430.0,436.5
147.8,431.2,437.8
149.0,432.6,439.2
150.1,434.0,440.5
151.3,435.4,441.8
152.4,436.8,443.2
153.6,438.2,444.5
154.7,439.2,445.7
155.9,440.5,447.0
157.0,441.7,448.2
158.1,442.9,449.3
159.3,444.1,450.5
160.4,445.3,451.6
161.6,446.4,452.7
162.7,447.5,453.9
163.9,448.5,454.9
165.0,449.6,455.9
166.2,450.7,456.9
167.3,451.8,457.9
168.5,452.7,458.9
169.6,453.7,459.9
170.8,454.7,460.8
171.9,455.8,461.7
173.0,456.6,462.7
174.2,457.5,463.7
175.3,458.4,464.6
176.5,459.3,465.5
177.6,460.0,466.5
178.8,460.7,467.5
179.9,461.6,468.4
181.1,462.4,469.2
182.2,463.2,470.1
183.4,464.1,471.1
184.5,465.0,472.0
185.7,465.8,472.7
186.8,466.6,473.4
187.9,467.4,474.2
189.1,468.0,474.9
190.2,468.8,475.6
191.4,469.4,476.3
192.5,470.0,477.0
193.7,470.7,477.8
194.8,471.5,478.6
196.0,472.1,479.4
197.1,472.7,480.1
198.3,473.2,480.8
199.4,473.9,481.6
200.6,474.7,482.2
201.7,475.4,482.8
202.8,476.0,483.3
204.0,476.7,483.9
205.1,477.5,484.5
206.3,478.1,485.1
207.4,478.6,485.7
208.6,479.2,486.3
209.7,479.9,486.8
210.9,480.4,487.4
212.0,481.1,487.9
213.2,481.7,488.5
214.3,482.3,489.0
215.4,483.0,489.6
216.6,483.6,490.0
217.7,484.2,490.6
218.9,484.5,491.0
220.0,484.8,491.5
221.2,485.2,492.0
222.3,485.6,492.5
223.5,486.2,493.0
224.6,486.9,493.5
225.8,487.4,493.9
226.9,487.8,494.4
228.1,488.1,494.8
229.2,488.4,495.1
230.3,488.7,495.6
231.5,489.3,496.1
232.6,489.7,496.4
233.8,489.9,496.7
234.9,490.3,497.1
236.1,490.6,497.6
237.2,491.0,498.0
238.4,491.1,498.4
239.5,491.4,498.8
240.7,491.7,499.3
241.8,491.7,499.8
243.0,491.8,500.0
244.1,492.1,500.3
245.2,492.5,500.6
246.4,493.0,500.9
247.5,493.4,501.2
248.7,493.7,501.6
249.8,493.9,501.9
251.0,494.2,502.2
252.1,494.2,502.5
253.3,494.3,502.8
254.4,494.8,503.2
255.6,495.2,503.6
256.7,495.8,504.0
257.9,496.4,504.2
259.0,496.7,504.5
260.1,497.1,504.9
261.3,497.3,505.3
262.4,497.5,505.6
263.6,497.6,506.0
264.7,497.6,506.3
265.9,497.7,506.4
267.0,497.8,506.4
268.2,498.0,506.5
269.3,498.2,506.6
270.5,498.5,506.7
271.6,498.8,506.9
272.7,498.9,507.0
273.9,499.2,507.2
275.0,499.4,507.2
276.2,499.5,507.4
277.3,499.8,507.7
278.5,499.9,507.9
279.6,500.1,508.2
280.8,500.2,508.4
281.9,500.5,508.6
283.1,500.4,508.8
284.2,500.6,509.1
285.4,500.7,509.3
286.5,500.8,509.5
287.6,500.8,509.5
288.8,501.0,509.7
289.9,501.3,509.9
291.1,501.7,510.1
292.2,502.0,510.4
293.4,502.0,510.6
294.5,502.3,510.8
295.7,502.5,511.1
296.8,502.4,511.4
298.0,502.8,511.5
299.1,502.9,511.7
300.3,503.1,511.8
301.4,503.4,511.9
302.5,503.4,512.1
303.7,503.5,512.2
304.8,503.6,512.4
306.0,503.8,512.6
307.1,504.3,512.9
308.3,504.5,513.2
309.4,504.8,513.4
310.6,505.1,513.7
311.7,505.6,514.0
312.9,505.7,514.2
314.0,505.9,514.4
315.2,506.0,514.6
316.3,506.0,514.9
317.4,506.0,515.1
318.6,505.9,515.2
319.7,505.9,515.3
320.9,505.8,515.5
322.0,505.8,515.6
323.2,506.0,515.7
324.3,506.1,515.9
325.5,506.3,515.9
326.6,506.5,516.0
327.8,506.6,516.0
328.9,506.9,516.1
330.0,506.9,516.1
331.2,507.1,516.1
332.3,507.2,516.3
333.5,507.3,516.3
334.6,507.3,516.4
335.8,507.5,516.5
336.9,507.4,516.7
338.1,507.4,516.8
339.2,507.8,516.9
340.4,507.8,517.0
341.5,508.1,517.1
342.7,508.1,517.2
343.8,508.0,517.2
344.9,508.2,517.3
346.1,508.3,517.4
347.2,508.6,517.4
348.4,508.5,517.5
349.5,508.8,517.6
350.7,508.9,517.7
351.8,508.8,517.8
353.0,508.8,517.8
354.1,508.7,517.9
355.3,508.6,518.0
356.4,508.5,518.1
357.6,508.5,518.1
358.7,508.6,518.2
359.8,508.7,518.2
361.0,508.8,518.2
362.1,508.9,518.3
363.3,509.1,518.4
364.4,509.2,518.5
365.6,509.4,518.6
366.7,509.3,518.6
367.9,509.3,518.7
369.0,509.3,518.8
370.2,509.4,518.8
371.3,509.2,518.9
372.5,509.3,519.0
373.6,509.4,519.1
374.7,509.6,519.2
375.9,509.6,519.3
377.0,509.6,519.3
378.2,509.6,519.5
379.3,509.7,519.4
380.5,509.8,519.5
381.6,510.0,519.6
382.8,510.3,519.7
383.9,510.1,519.8
385.1,510.1,519.8
386.2,510.4,519.8
387.3,510.4,519.8
388.5,510.6,520.0
389.6,510.7,520.1
390.8,510.8,520.3
391.9,510.5,520.4
393.1,510.5,520.4
394.2,510.6,520.5
395.4,510.6,520.5
396.5,510.5,520.5
397.7,510.9,520.5
398.8,510.9,520.6
400.0,511.0,520.6
401.1,510.9,520.6
402.2,511.0,520.7
403.4,511.1,520.7
404.5,511.3,520.8
405.7,511.2,520.8
406.8,511.3,520.8
408.0,511.3,520.8
409.1,511.3,520.9
410.3,511.3,520.9
411.4,511.3,520.8
412.6,511.4,520.8
413.7,511.4,520.8
414.9,511.2,520.8
416.0,511.0,520.9
417.1,510.9,521.0
418.3,511.0,520.9
419.4,511.1,520.8
420.6,511.0,520.8
421.7,511.1,520.8
422.9,511.2,520.8
424.0,511.1,520.8
425.2,511.2,520.8
426.3,511.2,520.7
427.5,511.1,520.7
428.6,511.2,520.7
429.8,511.5,520.8
430.9,511.5,520.9
432.0,511.4,521.0
433.2,511.7,521.1
434.3,511.7,521.3
435.5,511.8,521.5
436.6,511.9,521.4
437.8,512.0,521.5
438.9,512.0,521.5
440.1,511.8,521.4
441.2,511.7,521.5
442.4,511.6,521.4
443.5,511.7,521.4
444.6,511.5,521.2
445.8,511.5,521.2
446.9,511.5,521.2
448.1,511.6,521.0
449.2,511.8,521.1
450.4,511.8,521.1
451.5,511.8,521.2
452.7,511.8,521.2
453.8,511.8,521.1
455.0,511.7,521.0
456.1,512.0,520.9
457.3,511.9,520.9
458.4,511.8,521.0
459.5,511.9,521.0
460.7,512.0,521.0
461.8,512.0,520.9
463.0,511.8,520.9
464.1,511.8,520.8
465.3,511.9,520.9
466.4,511.8,520.9
467.6,511.8,520.9
468.7,511.7,520.8
469.9,511.7,520.8
471.0,511.9,520.8
472.2,511.8,520.9
473.3,511.7,520.9
474.4,511.8,521.0
475.6,511.7,521.0
476.7,511.7,521.1
477.9,511.7,521.1
479.0,511.7,521.2
480.2,511.7,521.5
481.3,512.0,521.7
482.5,511.9,521.6
483.6,512.0,521.8
484.8,512.2,521.8
485.9,512.1,521.8
487.1,512.1,521.8
488.2,511.9,521.6
489.3,512.1,521.5
490.5,512.1,521.4
491.6,512.1,521.3
492.8,512.0,521.3
493.9,512.0,521.2
495.1,511.9,521.1
496.2,512.0,521.1
497.4,512.0,521.1
498.5,512.0,521.2
499.7,511.9,521.2
500.8,512.0,521.3
501.9,512.0,521.3
503.1,512.0,521.3
504.2,512.1,521.4
505.4,512.2,521.4
506.5,512.3,521.4
507.7,512.3,521.4
508.8,512.3,521.4
510.0,512.4,521.5
511.1,512.2,521.5
512.3,512.1,521.4
513.4,512.2,521.5
514.6,512.1,521.4
515.7,512.0,521.4
516.8,511.9,521.2
518.0,511.9,521.2
519.1,511.6,521.2
520.3,511.7,521.2
521.4,511.6,521.2
522.6,511.6,521.2
523.7,511.6,521.1
524.9,511.6,521.0
526.0,511.5,520.9
527.2,511.5,520.8
528.3,511.7,520.8
529.5,512.0,520.9
530.6,512.1,521.0
531.7,512.0,521.1
532.9,511.9,521.0
534.0,511.9,521.0
535.2,512.0,521.0
536.3,511.9,520.9
537.5,512.0,521.1
538.6,512.0,521.2
539.8,512.1,521.2
540.9,512.1,521.2
542.1,511.9,521.1
543.2,511.8,521.2
544.4,511.8,521.1
545.5,512.0,521.2
546.6,511.9,521.3
547.8,511.6,521.2
548.9,511.5,521.1
550.1,511.4,520.9
551.2,511.2,520.8
552.4,511.4,520.8
553.5,511.2,520.8
554.7,511.2,520.8
555.8,511.1,520.6
557.0,511.1,520.6
558.1,511.0,520.4
559.2,511.0,520.4
560.4,510.9,520.3
561.5,510.8,520.3
562.7,510.9,520.4
563.8,510.8,520.4
