Time,T_bottom
s,C
0.0,12.9
0.4,12.9
0.8,12.9
1.2,12.9
1.6,12.9
2.0,12.9
2.4,12.9
2.8,12.9
3.2,12.9
3.6,12.9
4.0,12.9
4.4,12.9
4.8,12.9
5.2,12.9
5.6,12.9
6.0,12.9
6.4,12.9
6.8,12.9
7.2,12.8
7.6,12.9
8.0,12.8
8.4,12.8
8.8,12.8
9.2,12.8
9.6,12.8
10.0,12.8
10.4,12.8
10.8,12.8
11.2,12.8
11.6,12.8
12.0,12.8
12.4,12.8
12.8,12.8
13.2,12.8
13.6,12.8
14.0,12.8
14.4,12.8
14.8,12.8
15.2,12.8
15.6,12.8
16.0,12.8
16.4,12.8
16.8,12.8
17.2,12.8
17.6,12.8
18.0,12.8
18.4,12.8
18.8,12.8
19.2,12.8
19.6,12.8
20.0,12.7
20.4,12.7
20.8,12.8
21.2,12.8
21.6,12.7
22.0,12.7
22.4,12.7
22.8,12.7
23.2,12.7
23.6,12.7
24.0,12.7
24.4,12.7
24.8,12.7
25.2,12.7
25.6,12.7
26.0,12.7
26.4,12.7
26.8,12.7
27.2,12.7
27.6,12.7
28.0,12.7
28.4,12.7
28.8,12.7
29.2,12.7
29.6,12.7
30.0,12.7
30.4,12.7
30.8,12.7
31.2,12.7
31.6,12.7
32.0,12.7
32.4,12.7
32.8,12.7
33.2,13.2
33.6,14.2
34.0,15.2
34.4,16.5
34.8,17.9
35.2,19.6
35.6,21.0
36.0,22.3
36.4,23.3
36.8,24.4
37.2,26.1
37.6,27.9
38.0,29.4
38.4,30.9
38.8,32.3
39.2,33.9
39.6,34.3
40.0,36.4
40.4,38.2
40.8,39.7
41.2,41.2
41.6,42.6
42.0,44.3
42.4,46.0
42.8,47.8
43.2,49.5
43.6,51.6
44.0,52.1
44.4,54.0
44.8,55.8
45.2,57.6
45.6,59.3
46.0,61.0
46.4,62.7
46.8,64.4
47.2,66.0
47.6,67.7
48.0,69.4
48.4,68.6
48.8,71.1
49.2,73.1
49.6,74.9
50.0,76.5
50.4,78.1
50.8,79.8
51.2,81.5
51.6,83.1
52.0,85.0
52.4,86.7
52.8,85.2
53.2,87.8
53.6,89.6
54.0,91.0
54.4,92.2
54.8,93.6
55.2,95.0
55.6,96.0
56.0,97.3
56.4,98.3
56.8,99.0
57.2,96.2
57.6,98.8
58.0,100.6
58.4,101.6
58.8,102.0
59.2,102.5
59.6,103.0
60.0,103.9
60.4,104.6
60.8,105.3
61.2,105.3
61.6,105.8
62.0,104.6
62.4,104.9
62.8,104.6
63.2,104.5
63.6,104.4
64.0,104.3
64.4,104.8
64.8,105.0
65.2,105.4
65.6,105.7
66.0,105.7
66.4,106.3
66.8,104.9
67.2,106.5
67.6,105.5
68.0,105.4
68.4,105.2
68.8,105.5
69.2,105.8
69.6,106.1
70.0,106.4
70.4,106.6
70.8,106.8
71.2,107.2
71.6,107.4
72.0,106.2
72.4,104.8
72.8,104.4
73.2,104.9
73.6,105.6
74.0,106.1
74.4,106.7
74.8,107.3
75.2,108.0
75.6,108.2
76.0,108.5
76.4,109.5
76.8,110.3
77.2,106.2
77.6,107.9
78.0,110.0
78.4,114.0
78.8,118.9
79.2,122.8
79.6,127.0
80.0,131.4
80.4,136.3
80.8,144.5
81.2,149.0
81.6,153.6
82.0,127.1
82.4,137.5
82.8,143.7
83.2,148.5
83.6,152.9
84.0,159.3
84.4,163.6
84.8,167.4
85.2,171.2
85.6,174.8
86.0,178.4
86.4,181.8
86.8,185.2
87.2,178.1
87.6,181.6
88.0,184.9
88.4,188.2
88.8,191.1
89.2,194.4
89.6,197.3
90.0,200.1
90.4,202.8
90.8,205.7
91.2,208.6
91.6,211.8
92.0,214.7
92.4,187.7
92.8,200.0
93.2,206.0
93.6,209.8
94.0,213.3
94.4,216.6
94.8,219.7
95.2,222.9
95.6,227.7
96.0,231.0
96.4,234.3
96.8,237.5
97.2,240.7
97.6,243.5
98.0,212.2
98.4,227.5
98.8,232.0
99.2,237.3
99.6,241.0
100.0,244.2
100.4,247.4
100.8,250.7
101.2,253.8
101.6,257.1
102.0,260.3
102.4,263.4
102.8,266.2
103.2,269.2
103.6,233.8
104.0,252.8
104.4,257.7
104.8,261.7
105.2,265.3
105.6,269.5
106.0,275.8
106.4,279.1
106.8,282.2
107.2,285.2
107.6,288.2
108.0,291.0
108.4,293.7
108.8,296.4
109.2,298.9
109.6,257.7
110.0,286.3
110.4,291.1
110.8,294.0
111.2,297.0
111.6,299.9
112.0,303.3
112.4,305.9
112.8,308.4
113.2,315.5
113.6,318.1
114.0,320.7
114.4,323.2
114.8,325.8
115.2,328.1
115.6,308.3
116.0,315.8
116.4,320.9
116.8,323.7
117.2,326.2
117.6,329.3
118.0,331.8
118.4,339.5
118.8,342.1
119.2,344.6
119.6,346.5
120.0,348.6
120.4,350.5
120.8,352.5
121.2,354.6
121.6,320.7
122.0,335.8
122.4,336.1
122.8,341.4
123.2,354.8
