Time,T_top,T_bottom
s,C,C
0.0,12.9,12.7
0.4,12.9,12.7
0.8,12.9,12.7
1.2,12.9,12.7
1.6,12.9,12.7
2.0,12.9,12.7
2.4,12.9,12.6
2.8,12.9,12.6
3.2,12.9,12.6
3.6,12.9,12.6
4.0,12.9,12.6
4.4,12.9,12.6
4.8,12.9,12.6
5.2,12.9,12.6
5.6,12.9,12.6
6.0,12.9,12.6
6.4,12.9,12.6
6.8,12.9,12.6
7.2,12.8,12.6
7.6,12.9,12.6
8.0,12.8,12.6
8.4,12.8,12.6
8.8,12.8,12.6
9.2,12.8,12.6
9.6,12.8,12.6
10.0,12.8,12.6
10.4,12.8,12.6
10.8,12.8,12.6
11.2,12.8,12.6
11.6,12.8,12.6
12.0,12.8,12.6
12.4,12.8,12.6
12.8,12.8,12.6
13.2,12.8,12.6
13.6,12.8,12.6
14.0,12.8,12.6
14.4,12.8,12.6
14.8,12.8,12.6
15.2,12.8,12.6
15.6,12.8,12.6
16.0,12.8,12.6
16.4,12.8,12.6
16.8,12.8,12.6
17.2,12.8,12.6
17.6,12.8,12.6
18.0,12.8,12.6
18.4,12.8,12.5
18.8,12.8,12.5
19.2,12.8,12.5
19.6,12.8,12.6
20.0,12.7,12.5
20.4,12.7,12.5
20.8,12.8,12.5
21.2,12.8,12.5
21.6,12.7,12.5
22.0,12.7,12.5
22.4,12.7,12.5
22.8,12.7,12.5
23.2,12.7,12.5
23.6,12.7,12.5
24.0,12.7,12.5
24.4,12.7,12.5
24.8,12.7,12.5
25.2,12.7,12.5
25.6,12.7,12.5
26.0,12.7,12.5
26.4,12.7,12.5
26.8,12.7,12.5
27.2,12.7,12.5
27.6,12.7,12.5
28.0,12.7,12.5
28.4,12.7,12.5
28.8,12.7,12.5
29.2,12.7,12.5
29.6,12.7,12.5
30.0,12.7,12.5
30.4,12.7,12.5
30.8,12.7,12.5
31.2,12.7,12.5
31.6,12.7,12.5
32.0,12.7,12.5
32.4,12.7,12.5
32.8,12.7,12.7
33.2,13.2,14.0
33.6,14.2,14.9
34.0,15.2,16.2
34.4,16.5,17.7
34.8,17.9,19.3
35.2,19.6,22.0
35.6,21.0,23.9
36.0,22.3,25.6
36.4,23.3,27.3
36.8,24.4,28.4
37.2,26.1,30.8
37.6,27.9,33.0
38.0,29.4,34.7
38.4,30.9,36.4
38.8,32.3,37.8
39.2,33.9,39.8
39.6,34.3,41.6
40.0,36.4,43.8
40.4,38.2,45.6
40.8,39.7,47.6
41.2,41.2,49.6
41.6,42.6,51.9
42.0,44.3,54.4
42.4,46.0,56.2
42.8,47.8,58.4
43.2,49.5,60.8
43.6,51.6,62.8
44.0,52.1,64.6
44.4,54.0,66.6
44.8,55.8,68.4
45.2,57.6,70.3
45.6,59.3,72.2
46.0,61.0,74.3
46.4,62.7,76.3
46.8,64.4,78.0
47.2,66.0,80.3
47.6,67.7,82.8
