Time,T_top,T_bottom
s,C,C
0.0,188.6,194.8
0.4,190.2,196.4
0.8,191.4,197.5
1.2,192.5,198.8
1.6,193.8,199.8
2.0,195.1,200.7
2.4,196.3,201.2
2.8,197.7,201.9
3.2,198.9,202.6
3.6,200.2,203.3
4.0,201.5,204.6
4.4,202.9,205.4
4.8,204.2,206.3
5.2,205.4,207.3
5.6,206.6,208.6
6.0,207.7,209.6
6.4,208.7,210.9
6.8,210.1,211.7
7.2,211.5,212.6
7.6,212.7,213.2
8.0,214.0,214.0
8.4,215.2,214.5
8.8,216.5,215.6
9.2,217.7,216.8
9.6,219.0,218.0
10.0,220.0,218.9
10.4,221.1,220.0
10.8,222.3,221.1
11.2,223.4,222.2
11.6,224.5,223.1
12.0,225.7,223.8
12.4,226.7,225.0
12.8,227.9,226.1
13.2,229.1,227.1
13.6,230.4,228.2
14.0,231.6,229.4
14.4,232.8,230.4
14.8,234.0,231.6
15.2,235.2,232.5
15.6,236.1,233.5
16.0,237.2,234.9
16.4,238.3,235.8
16.8,239.4,236.5
17.2,240.3,236.3
17.6,241.4,237.7
18.0,242.4,238.9
18.4,243.5,239.7
18.8,244.7,240.3
19.2,245.7,241.6
19.6,246.7,242.6
20.0,247.8,243.5
20.4,248.8,244.6
20.8,249.8,245.8
21.2,250.8,246.8
21.6,251.9,247.9
22.0,252.9,248.8
22.4,253.8,249.9
22.8,254.8,251.2
23.2,255.8,252.2
23.6,256.6,253.3
24.0,257.6,254.0
24.4,258.4,254.8
24.8,259.2,256.2
25.2,260.2,257.0
25.6,261.2,257.8
26.0,262.2,259.2
26.4,263.1,260.2
26.8,264.2,261.4
27.2,265.2,262.4
27.6,266.1,263.4
28.0,267.1,264.4
28.4,268.0,265.5
28.8,269.0,266.6
29.2,270.0,267.0
29.6,270.8,268.1
30.0,271.6,268.8
30.4,272.7,269.6
30.8,273.5,270.1
31.2,274.4,271.2
31.6,275.2,272.1
32.0,276.1,272.9
32.4,276.9,274.1
32.8,277.8,275.0
33.2,279.1,275.9
33.6,280.4,276.8
34.0,281.8,277.8
34.4,283.0,279.2
34.8,284.1,280.2
35.2,285.1,281.1
35.6,285.8,282.3
36.0,286.9,283.3
36.4,287.9,284.4
36.8,288.9,285.5
37.2,289.8,286.4
37.6,290.7,287.4
38.0,291.6,288.6
38.4,292.3,288.5
38.8,293.1,289.0
39.2,293.8,290.1
39.6,294.7,290.8
40.0,295.3,291.7
40.4,296.1,292.3
40.8,296.9,293.0
41.2,297.6,294.2
41.6,298.4,294.9
42.0,299.2,296.1
42.4,300.0,296.8
42.8,300.6,297.5
43.2,301.7,298.5
43.6,302.4,299.4
44.0,303.3,300.6
44.4,304.1,301.3
44.8,305.0,302.3
45.2,305.9,303.4
45.6,306.6,304.2
46.0,307.5,305.2
46.4,308.2,306.0
46.8,308.9,307.3
47.2,309.7,308.0
47.6,310.4,308.9
48.0,311.1,309.6
48.4,311.8,310.7
48.8,312.7,311.8
49.2,313.5,312.6
49.6,314.1,313.4
50.0,314.9,314.2
50.4,315.6,315.6
50.8,316.4,316.2
51.2,317.1,317.2
51.6,317.7,318.2
52.0,318.6,319.3
52.4,319.3,320.4
52.8,317.0,320.8
53.2,317.5,321.4
53.6,319.1,321.9
54.0,320.3,322.3
54.4,321.3,323.2
54.8,322.3,323.7
55.2,323.3,323.9
55.6,324.1,324.4
56.0,324.8,324.9
56.4,325.5,325.7
56.8,326.3,326.7
57.2,327.1,327.4
57.6,328.0,327.9
58.0,328.8,328.9
58.4,329.6,329.7
58.8,330.2,330.3
59.2,330.9,331.2
59.6,331.5,331.9
60.0,332.2,332.8
60.4,332.9,333.4
60.8,333.8,334.4
61.2,334.2,335.4
61.6,333.3,335.5
62.0,334.4,336.0
62.4,335.3,336.6
62.8,336.2,336.9
63.2,336.8,337.6
63.6,337.5,338.0
64.0,338.2,338.5
64.4,338.8,339.6
64.8,339.6,340.4
65.2,340.3,341.0
65.6,339.5,340.9
66.0,340.8,341.1
66.4,341.5,341.5
66.8,342.2,342.2
67.2,342.8,342.8
67.6,343.6,343.1
68.0,344.2,343.6
68.4,345.0,344.1
68.8,344.5,344.3
69.2,342.1,344.0
69.6,344.9,344.2
70.0,345.6,345.0
70.4,346.5,345.0
70.8,347.2,345.5
71.2,347.9,346.1
71.6,348.8,346.6
72.0,349.4,347.1
72.4,350.1,347.5
72.8,351.0,348.4
73.2,351.6,349.0
73.6,352.3,349.5
74.0,353.0,350.5
74.4,353.5,350.4
74.8,353.9,350.6
75.2,354.5,351.1
75.6,355.1,351.7
76.0,355.8,352.2
76.4,356.3,352.6
76.8,356.9,353.3
77.2,357.6,353.6
77.6,358.0,354.1
78.0,358.5,354.5
78.4,359.1,355.2
78.8,351.7,355.0
79.2,352.3,354.9
79.6,355.8,355.2
80.0,357.3,355.8
80.4,358.6,356.3
80.8,359.7,356.8
81.2,360.5,357.4
81.6,361.4,357.8
82.0,362.3,358.4
82.4,362.9,358.9
82.8,362.5,357.6
83.2,363.6,355.8
83.6,364.6,356.8
84.0,365.1,357.6
84.4,365.6,358.3
84.8,366.3,359.2
85.2,366.9,359.8
85.6,367.2,360.7
86.0,367.8,361.4
86.4,368.3,361.9
86.8,369.0,361.9
87.2,369.0,361.9
87.6,369.5,362.2
88.0,369.8,362.7
88.4,370.2,363.1
88.8,370.6,363.7
89.2,370.9,364.3
89.6,371.2,364.9
90.0,371.8,365.2
90.4,372.3,365.7
90.8,367.2,364.9
91.2,369.4,364.0
91.6,370.3,364.1
92.0,371.0,365.0
92.4,371.9,365.6
92.8,372.7,366.4
93.2,373.5,367.1
93.6,373.0,367.0
94.0,373.0,367.4
94.4,373.8,367.8
94.8,374.3,368.0
95.2,375.1,368.3
95.6,375.7,368.9
96.0,376.4,369.3
96.4,376.4,364.6
96.8,374.1,363.8
97.2,375.2,365.4
97.6,376.1,366.6
98.0,376.8,367.7
98.4,377.5,368.9
98.8,378.2,369.7
99.2,377.5,369.4
99.6,378.4,369.4
100.0,378.9,369.4
100.4,379.2,370.0
100.8,379.7,370.6
101.2,380.3,371.2
101.6,380.8,371.8
102.0,381.5,372.7
102.4,381.8,369.3
102.8,381.9,370.1
103.2,378.2,371.3
103.6,381.4,371.9
104.0,381.9,372.8
104.4,382.4,373.5
104.8,383.0,374.3
105.2,381.2,374.7
105.6,381.7,372.5
106.0,382.1,372.9
106.4,382.7,373.7
106.8,383.3,374.8
107.2,384.1,375.5
107.6,384.7,376.3
108.0,377.8,375.9
108.4,382.0,376.5
108.8,383.3,376.9
109.2,384.0,377.4
109.6,384.7,378.0
110.0,385.5,378.8
110.4,386.1,378.4
110.8,384.4,378.1
111.2,384.8,378.4
111.6,385.5,378.7
112.0,386.3,379.2
112.4,387.1,379.8
112.8,387.9,379.9
113.2,388.2,380.0
113.6,387.7,379.3
