Time (sec),HRR (kW)
0,0
32.8517,18.0223
74.8148,23.9962
133.972,27.2341
194.64,37.6045
245.199,43.6349
270.483,40.9521
278.564,52.4013
306.275,172.242
330.014,203.737
344.173,202.405
367.404,236.746
384.061,272.468
396.7,273.976
411.331,313.958
421.446,311.176
438.081,372.539
445.146,389.679
448.179,391.123
468.815,505.219
486.445,586.532
505.618,636.515
512.199,628.012
520.759,670.803
532.86,712.193
537.894,739.292
541.947,729.347
559.615,765.076
565.711,730.928
569.823,649.758
574.493,505.914
580.197,335.011
586.377,199.724
595.563,97.2205
603.184,53.111
613.82,31.8134
