Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,HFG_TC_1,HFG_TC_2,HFG_TC_3,HFG_TC_4,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,BDVP_WINDOW_VEL_1,BDVP_WINDOW_VEL_2,HRR
(sec),(kW/m²),(kW/m²),(kW/m²),(kW/m²),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(kW)
0,0.9,0,-0.1,6.9,10.7,10.8,10.8,10.7,35.4,23.5,19.6,16.1,10,9,31.3,28.7,26.9,20.1,11.7,8.9,-1.31,-0.12,0.47,1.25,0.24,-0.76,-0.85,-0.26,0
10,30.7,6.7,12.8,83.2,10.7,10.8,10.9,10.8,491.5,331.1,307.4,203.6,48.5,34.4,401.8,367.6,343.6,241.5,66,28.7,-4.05,-1.51,0.57,1.11,0.77,-0.17,-1.09,-2.04,135.9
20,35.1,7.4,14.1,83,10.7,10.8,10.9,10.8,522.5,357.4,337.4,175.7,53.5,43.4,415.8,401.6,372.1,240.5,76.1,34.4,-4.28,-1.5,0.54,1.14,0.75,-0.11,-1.15,-2.17,441.8
30,35,8,14.7,81.9,10.7,10.8,10.9,10.8,563.5,377.4,343.6,166.7,61.3,53.9,446.7,431.7,406.7,267.1,85.9,42,-4.26,-1.51,0.47,1.12,0.81,-0.03,-1.16,-2.16,604.3
40,37.1,8.4,16.8,84.6,10.7,10.8,10.9,10.8,584.3,417.8,371.5,142,73.8,59.7,472.6,449.7,423.7,288.1,93.9,51.4,-4.37,-1.44,0.61,1.1,0.78,-0.01,-1.24,-2.22,662.8
50,38.5,9.2,17.9,82.6,10.7,10.8,10.9,10.8,578.4,453.2,411.5,144.3,80.1,64.8,479,455.9,424.6,261.1,101.8,60.1,-4.46,-1.34,0.56,1.17,0.75,-0.06,-1.45,-2.36,697.2
60,38.6,9.8,19.3,81.7,10.7,10.8,10.9,10.7,581.5,466.3,433.1,166.6,85.7,71.5,493.5,468.3,434.2,275.7,109.9,63.6,-4.54,-1.35,0.59,1.16,0.83,0.06,-1.34,-2.32,711.9
70,38.9,10,18.2,87.3,10.8,10.8,10.9,10.7,589.1,457.9,417.4,163.1,90.4,75.6,502.7,480.8,437.4,279.9,118.9,69.2,-4.56,-1.49,0.45,1.15,0.82,-0.01,-1.27,-2.36,725.9
80,44.9,10.1,18.5,83.9,10.8,10.8,11,10.8,620.8,488.1,393.6,174.2,102,83.7,499.4,480.3,443.9,262,125.8,78.6,-4.64,-1.5,0.42,1.12,0.88,-0.01,-1.23,-2.38,746.7
