Time (sec),HRR (kW)
0,0
15.1184,8.83714
30.2222,8.41751
43.5488,13.9124
51.1762,10.1324
60.6056,16.1031
70.1929,19.2058
79.9494,26.561
90.3576,35.261
101.431,53.8506
109.744,72.7772
115.637,101.97
122.354,138.184
126.289,161.919
131.229,204.047
137.483,255.986
142.582,296.671
144.373,299.301
148.336,340.125
151.798,372.464
152.704,329.621
157.456,356.104
159.619,388.601
162.22,389.708
166.981,421.888
167.984,440.283
172.711,451.101
176.672,490.5
179.78,504.365
183.517,505.333
187.856,476.315
191.184,424.631
194.804,351.545
198.087,271.378
200.291,226.952
201.702,195.443
202.864,210.97
205.097,185.058
