Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,HFG_TC_1,HFG_TC_2,HFG_TC_3,HFG_TC_4,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,HRR
(sec),(kW/m²),(kW/m²),(kW/m²),(kW/m²),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(kW)
0,3.2,0.4,1.5,-1,11.2,11.4,11.8,11.1,49.6,31.8,24.6,19.1,13.7,11.4,38.7,34,31.1,25.8,15.2,11.7,-1.5,-0.5,0.6,1.4,0.1,-0.8,0
10,80.5,22.2,48.4,-1,11.2,11.4,11.8,11.1,729.9,661.9,581.7,525.8,153.1,91.6,603.9,560.3,533,467.4,299.8,73.9,-5.5,-2.6,0,1.3,0.6,-0.2,177.5
20,86.8,26.3,50.8,-1,11.2,11.4,11.8,11.1,735.9,713.8,675,679.7,239.3,145.1,622.2,586.6,562.8,511.1,403.6,109.8,-5.7,-3,-0.8,1.4,0.7,0,709.5
30,86.5,30.2,59.5,-1,11.2,11.4,11.9,11.1,728.6,701.2,679.6,673.8,545.3,188.8,647,616,592.7,552.8,470.9,149.9,-6.1,-3.6,-1.1,1.5,0.8,0.5,1498.6
40,89.2,34.3,62.3,-0.9,11.2,11.4,12,11.1,733.7,707.1,691.7,677.2,676.9,227,659.9,632.5,613.5,583.3,532.4,195.6,-6.7,-3.9,-1.7,1.4,0.9,0.4,2417.8
50,94.5,38.5,67.2,-0.9,11.2,11.5,12.1,11.1,774.2,765.7,737.7,714.3,710.4,269.1,686.5,666.2,647.4,619.6,583.4,318.9,-7.2,-4.2,-2.2,1.6,1.1,0.7,3258.1
60,96.4,42.9,70.8,-0.8,11.2,11.5,12.3,11.1,818.4,829.9,802.7,772.6,747.1,294.9,708,691.7,674.6,648.9,618.9,440.5,-7.6,-4.4,-2.3,1.7,1.1,0.7,3978.4
70,100.5,45.2,77.1,-0.7,11.2,11.6,12.4,11.1,817.5,806.3,789.9,769.2,755.3,326.2,737.7,716.4,699.4,676.9,642.3,510,-7.8,-4.7,-2.7,1.7,1.2,0.9,4721.9
80,104.1,49.4,82.4,-0.6,11.2,11.7,12.6,11.2,836.4,816.1,799.8,774.6,758,352.4,757.4,742.1,722.3,698,671,552.7,-7.9,-4.9,-2.8,1.7,1.3,0.9,5135.4
90,95.3,50.7,81.9,-0.5,11.3,11.7,12.7,11.2,842.5,824.4,808.8,786,772,364.4,768.8,750.6,733,714.7,693.2,584.3,-8.1,-4.8,-2.7,1.8,1.3,1,5035
100,88.9,52.4,83.7,-0.4,11.3,11.8,12.9,11.2,820.7,801.5,790.4,774.9,789,380.6,768.6,748.1,733.7,723.7,705.8,586.1,-8.3,-5,-2.7,1.8,1.3,1.2,4690.5
110,98.7,56.2,87.3,-0.3,11.3,11.9,13,11.3,858.5,874.6,851.1,822.1,806.8,408.7,782.2,767.2,750.7,735.5,723,625.8,-8.6,-5.5,-3,1.8,1.4,1,4976.7
120,115.6,61.9,96.7,-0.1,11.4,11.9,13.2,11.3,920.6,953.7,930.6,899.3,868.1,522.2,818.4,809.4,791.4,770.9,750,663.4,-8.8,-5.7,-3.3,2.2,1.3,1.1,5012.9
130,113.9,63.8,97.1,0.1,11.4,12,13.4,11.3,968.6,982.9,965.4,938.1,903.2,655.3,848.2,845.6,826.5,806,782.4,696.2,-9,-5.5,-3.3,2.2,1.6,1.5,5334.5
140,118.2,62.9,95.1,0.2,11.4,12,13.5,11.3,977.4,984.7,958.1,926,894.7,593.3,855.8,854.6,837.7,816.5,793.6,709.6,-9.1,-5.8,-3.3,2.3,1.6,1.7,5541
150,130,56.7,83.1,0.3,11.4,12.1,13.5,11.3,980.8,975.4,964.2,925.4,900.3,601.8,846.2,852.3,841.4,824.1,804.4,731,-8.7,-5.5,-3.1,1.8,1.7,1.8,5491.3
160,140.9,55.6,84.6,0.4,11.4,12.1,13.6,11.3,963.4,938.5,922,901.5,865.7,519.6,847.9,835,822.1,803.2,784.7,710.1,-8.4,-5.2,-2.9,1.9,1.5,1.5,5468.5
170,136.6,55.1,84.4,0.4,11.4,12.1,13.6,11.3,967.1,932.2,914.2,891.7,737.8,477.8,841.8,824,810.1,786.6,757.7,685.6,-8.3,-5.2,-2.6,1.7,1.6,1.4,5286.9
180,133.6,54.5,82.4,0.4,11.4,12.1,13.6,11.3,970.3,926.2,907.4,878.4,634.9,460.5,842,826,812.2,785,747.7,646.4,-8,-5.1,-2.5,1.6,1.6,1.3,4635.3
190,131.5,53.5,82.3,0.4,11.5,12.1,13.6,11.3,967.8,921.8,900.4,854.5,597.8,469.1,850.1,830.2,813.8,784.9,750.3,642.2,-7.9,-5,-2.6,1.7,1.6,1.4,3864.5
200,129.9,52,79.2,0.3,11.4,12.1,13.6,11.4,954.8,910.7,886.6,804.7,546.6,477.5,841,822.4,804.2,778.3,744.6,629.6,-7.8,-4.9,-2.4,1.8,1.7,1.5,3042
210,132.6,50.3,75.6,0.3,11.5,12.2,13.6,11.4,961.5,913.3,884.8,708.8,544.8,467.9,803,791.1,776.5,753.1,717.1,592.6,-7.5,-4.8,-2.1,1.6,1.6,1.4,2605.3
220,125.8,49.2,75.2,0.3,11.5,12.2,13.6,11.4,940.3,881.8,834.7,645.9,533.7,450.1,797,782.8,769.2,745.4,696.1,546.4,-7.4,-4.7,-2.3,1.6,1.7,1.7,2402.2
230,123.8,48.1,72.9,0.3,11.5,12.2,13.6,11.4,938.7,865.8,837.4,661.2,533.3,439.6,789.4,774.3,760.7,738.9,696.7,501.4,-7.4,-4.7,-2.4,1.8,1.8,1.8,2387.5
240,123.4,48.5,71.6,0.3,11.5,12.2,13.6,11.4,941.2,868.9,831.6,671.6,538.3,436.3,780.7,768.1,756.1,733.8,684.6,494.8,-7.4,-4.6,-2.4,1.7,1.9,1.7,2342.8
250,129,48.2,70.1,0.3,11.5,12.2,13.6,11.4,945.9,880.7,835.5,632.2,508.8,442.2,773.8,760.5,746.8,724,674.8,490.8,-7.3,-4.5,-2.3,1.7,2,1.7,1993.6
260,138.1,49.4,69.2,0.3,11.5,12.2,13.5,11.4,961.6,902.1,842.8,649.8,505.6,435.2,770.8,760.9,746.7,720.8,666.5,490.3,-7.2,-4.4,-2.3,1.9,2,1.3,1834
270,139.1,48.9,68.2,0.3,11.5,12.2,13.5,11.5,957.6,896,853,632.3,523.6,447.9,764.4,755.2,742.4,713.7,636.7,533,-7.2,-4.5,-2.1,1.7,1.7,1.4,1879
280,143.9,49.7,70.2,0.3,11.5,12.2,13.5,11.4,967.2,911.3,851.7,623.1,509.5,434,763.5,746,731,697.5,603.6,537.6,-7.2,-4.4,-1.9,1.6,1.8,1.6,1830.5
290,142.6,50,69,0.3,11.5,12.2,13.5,11.4,963,911.8,855.4,608.3,524.1,432.9,769.2,754.4,737.4,700.6,598.2,532.3,-7.3,-4.4,-1.8,1.7,1.7,1.2,1759.7
300,147.7,50.4,68.9,0.2,11.5,12.2,13.5,11.4,979,919.8,870.1,636.1,516.3,450.2,760.7,749.7,733.3,700.6,611.6,540.5,-7.2,-4.5,-2.1,1.6,1.7,1.4,1735
310,153.5,50.2,64.9,0.3,11.5,12.2,13.5,11.4,961,904.9,860.4,632.2,516.3,435.7,750.7,740,724.5,691.1,583,537.8,-7.3,-4.6,-2.4,1.6,1.7,1.5,1727
320,156.7,51.8,68.9,0.2,11.5,12.2,13.5,11.4,964.3,903,882.9,630.7,518.3,442,755.6,737.3,720.1,686.6,589.7,547.6,-7.3,-4.5,-2.1,1.6,1.8,1.4,1768.6
330,154.4,51.2,68.7,0.2,11.5,12.2,13.6,11.4,978.9,904.8,858.5,625,527.9,452.3,757.7,737.5,716.9,685.7,599.4,546.3,-7.3,-4.5,-2.2,1.7,1.7,1.4,1761.9
340,152.2,51.1,70.6,0.2,11.5,12.2,13.6,11.4,970.2,893.2,831.6,593.6,532.4,462.2,766,748.6,730.4,696.2,588.2,545.8,-7.3,-4.5,-2.1,1.6,1.6,1.4,1763.7
350,146.5,52.2,70.2,0.2,11.5,12.2,13.6,11.4,973.7,905.6,843.8,661.9,524.1,461.4,769.9,759.1,745.2,719.2,657.5,520,-7.4,-4.6,-2.3,1.8,2,1.9,1723.8
360,144.7,51.8,71.9,0.2,11.5,12.2,13.6,11.5,959.7,887.7,855.7,724,546.2,458,773.4,764.7,752.5,730.4,690.2,495.7,-7.3,-4.6,-2.5,2,2,1.8,1735.7
370,150.1,52,69.8,0.2,11.5,12.2,13.7,11.5,980.1,912.3,878.1,720.8,554.7,467.3,775.3,768,755.9,733.8,684.9,514.3,-7.4,-4.6,-2.2,1.9,2.2,1.6,1716.7
380,146.9,50.4,70.2,0.2,11.5,12.2,13.7,11.4,993.1,925.7,866.8,689.3,533.3,458.9,772.1,764.8,750.4,724.9,658.8,512.8,-7.5,-4.6,-2.2,1.5,1.9,1.6,1709.1
390,154.5,49.8,71.4,0.2,11.6,12.2,13.7,11.4,996.1,934.5,862.9,626.4,529.9,463.5,773.2,760,744.7,711.8,648,525.3,-7.4,-4.5,-2.3,1.7,1.8,1.6,1734.2
400,161.5,49.8,72.3,0.2,11.5,12.3,13.7,11.5,986.5,914.2,850.4,632.4,520.2,443,771.8,755.6,738,695.5,618.6,554.7,-7.4,-4.6,-2.5,1.7,1.7,1.6,1794.3
410,161.1,50.8,72.1,0.3,11.5,12.2,13.7,11.4,980.6,917.3,878.4,633.5,532.9,438,773.1,751.7,731.7,686.9,602.5,555.4,-7.4,-4.6,-2.3,1.8,1.9,1.7,1854.9
420,161.1,50.8,72.4,0.3,11.5,12.2,13.8,11.4,982.2,915.3,865,614.5,546,450.4,774.2,753.4,734.9,689.9,604.5,558.7,-7.3,-4.5,-2.2,1.7,1.8,1.5,1773.7
430,161.6,51.4,75.2,0.3,11.5,12.3,13.8,11.5,984.1,919.4,821.2,640.9,569.8,473,780.9,759.7,738.9,690.2,606.8,564.5,-7.4,-4.5,-2.3,1.9,1.8,1.7,1655.8
440,158.9,50.4,72.3,0.3,11.5,12.3,13.8,11.5,1001.2,936.6,859.4,658.2,536.2,472.5,781.2,767.6,745.8,712.1,625,559.5,-7.5,-4.6,-2.4,1.8,1.9,1.6,1591.7
450,159.8,50.9,74,0.3,11.6,12.3,13.8,11.5,998.3,933.6,879,620.3,533.1,457.9,780.7,760.6,737.3,692.8,614.2,561.5,-7.4,-4.6,-2.3,1.9,1.8,1.5,1574.1
460,162.6,51.3,74.5,0.2,11.6,12.3,13.9,11.5,998.4,924.9,863.3,626.2,532.2,453.4,782,761.4,742,698,613,574.5,-7.5,-4.6,-2.4,1.7,1.8,1.5,1625.7
470,163.7,51.7,74,0.2,11.6,12.3,13.9,11.5,1012.3,934.2,872.7,634.3,540.7,466.5,781.8,760.2,742.4,706.4,624.5,572.1,-7.5,-4.7,-2.3,1.7,1.8,1.6,1635.4
480,162.3,51.8,75.7,0.2,11.6,12.3,13.9,11.5,1004.8,936.1,850,623.7,538.4,465.6,786.6,761.2,742.2,702.4,615.2,579.6,-7.5,-4.7,-2.4,1.7,1.8,1.6,1659.3
490,166,52.2,75.2,0.2,11.6,12.3,13.9,11.5,1012.8,941.3,864.7,626.7,536,452,790.4,770.3,749.2,698.5,621.8,570.8,-7.6,-4.7,-2.6,1.7,1.8,1.8,1688.5
500,169.6,52.4,74.3,0.2,11.6,12.3,13.9,11.4,1011.2,943.1,896.7,637.1,535.2,469.3,786.4,764.1,742.6,693.2,621.9,575.2,-7.4,-4.8,-2.7,1.9,2,1.8,1728.4
510,165.2,53.1,75.6,0.2,11.6,12.3,14,11.5,985.1,926.8,894.1,618.8,533.6,480.6,784.9,760.8,739.9,700.5,614.3,583.3,-7.3,-4.6,-2.6,1.9,1.8,1.7,1684.1
