Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,HRR
(sec),(kW/m2),(kW/m2),(kW/m2),(kW/m2),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(kW)
0,-0.7,-0.2,-0.4,-0.8,30.1,30.1,30,30,30,30,30.2,30.2,30.2,30.1,30.1,30.1,-0.02,0.03,0.05,0.01,0,0,4.6
10,23.6,2.8,10,-0.8,261.3,114.4,92,64.9,55,40.8,152.8,113.8,97.7,66.1,58.3,46.1,-0.7,-0.17,0.07,0.06,0.09,0.09,53.6
20,27.6,4.1,19.9,-0.8,507.1,209.7,151.9,90.8,71.5,61.8,341.6,246.9,182.6,85.2,67.5,54.6,-1.09,-0.19,0.1,0.09,0.1,0.09,122.1
30,21,4.4,22.5,-0.8,487.5,254.3,191.3,105.3,79.6,77,418.6,331.8,289.4,112.6,78.4,65.8,-1.23,-0.28,0.09,0.11,0.12,0.16,135.3
40,27.8,5.2,24.6,-0.8,562.3,282.9,217.3,118.5,88.7,89.4,450.7,367.5,318.8,132,91.2,75.1,-1.38,-0.28,0.07,0.13,0.13,0.1,146.6
50,32.1,6,26.5,-0.8,601.9,310.7,239.8,136.4,97.6,101.3,481.3,403.3,362.5,155.2,104.6,85.4,-1.53,-0.36,0.08,0.16,0.15,0.21,159.2
60,36.9,7.1,28.5,-0.8,626.5,336.6,264.3,146.9,106.3,114.2,505,431.5,397.6,178.7,117.9,97.6,-1.63,-0.38,0.08,0.17,0.18,0.18,162.4
70,41.2,8.1,28.1,-0.8,655.7,356.7,283.4,159,119,126,521.6,446,388.5,183.1,129.8,105.8,-1.66,-0.36,0.1,0.19,0.19,0.21,158.5
80,47.3,9.4,28.5,-0.8,576.8,354.5,269.7,169.9,132.9,137.8,529.2,431.3,334,175.4,137.9,111.8,-1.73,-0.4,0.15,0.18,0.16,0.14,161.5
