Time (sec),HRR (kW)
0,0
28,17.8
35,17.5
52,22.7
77,24.3
117,24.5
125,27.1
162,27.5
172,29
273,30.6
287,61.4
292,87.1
299,109.1
302,124.7
313,139.9
327,157.6
341,149.7
350,160
365,161.8
373,164.1
373,168.1
390,170.4
404,168.2
407,170.2
411,169.1
420,172
422,176.6
437,178.6
450,190.4
459,185
465,186.7
475,183.1
486,187.7
503,186.1
510,190.9
524,180.7
533,186.8
548,184
556,177.2
567,180.9
579,175
595,182.2
606,174
617,168.9
626,177.5
642,169
651,177.3
659,171.4
665,177.7
684,171.2
694,175.5
701,173
716,178.2
729,176
734,180.8
747,179.5
753,172.4
773,181.6
789,172.5
796,176.6
803,173.2
814,176.7
822,175
842,180.8
851,174
869,175.2
879,156.7
884,131.7
888,112.3
894,87.8
900,67.6
908,46.3
