Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,HRR
(sec),(kW/m²),(kW/m²),(kW/m²),(kW/m²),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(kW)
0,-0.8,-0.2,-0.9,0,23.7,23.7,23.6,23.7,23.6,23.6,23.7,23.7,23.8,23.8,23.8,23.8,-0.04,-0.03,-0.01,0,0.03,-0.02,0.8
10,16,1.7,6.4,0,150.7,55.5,39.8,32.8,31.4,27.8,99.4,75.2,45,31.2,29.9,25.5,-0.2,0.02,0.05,0.03,0.08,0.04,13.6
20,28.1,3.9,15.6,0,460.3,148.2,85.5,52.2,49.9,42.4,287.6,206.2,105,42,38.5,33.6,-0.31,0.04,0.06,0.05,0.07,0.06,39.9
30,31,5.1,19.4,0,596.3,222.3,135.8,71.3,67,58.8,393.7,301.8,200.2,62.3,51.4,44.3,-0.46,-0.07,0.06,0.06,0.09,0.05,45.9
40,35.1,6.8,20.7,0,666.7,274.1,177.9,95,84.3,75,454.4,351.3,240.4,82.5,67,54.5,-0.59,-0.11,0.08,0.09,0.1,0.07,50.1
50,38.8,8.6,25,0,717.4,311.7,215.3,115,104.2,94.1,505.7,395.8,269.5,102.3,86.4,68.9,-0.72,-0.15,0.02,0.12,0.12,0.08,49.9
60,46.6,10.7,25.9,0,742,375.8,257.4,134.7,126.4,114.6,560.8,444.7,329.7,147.1,107.6,87.5,-0.93,-0.21,-0.03,0.1,0.12,0.08,51
70,53.1,13,27.9,0,737,495.1,316.9,168.6,145.7,131.1,583.6,476,375.6,196.7,131,102.1,-1.1,-0.27,-0.08,0.07,0.13,0.11,56.1
80,53.9,15.4,29.1,0,740.2,566.9,431.2,197,172.2,155.8,591.5,501.3,422.9,286.5,158.5,121.7,-1.26,-0.35,-0.13,0.14,0.16,0.13,65
90,57.7,17.4,30.7,0,743.2,598.8,518.8,250.7,197.5,176.3,597.5,519.2,454,356.4,196.5,138,-1.38,-0.44,-0.18,0.14,0.18,0.12,70.6
100,59,20.1,33.5,0,739.9,610.1,574.5,316.8,231.8,203.2,596.9,536.6,482,404.3,268.8,159.4,-1.48,-0.46,-0.14,0.14,0.17,0.15,78.3
110,60.5,21.8,34.8,0,738.3,624.4,586.7,416.9,257.7,223.9,606.1,552.9,506.2,443.3,341.4,178.8,-1.57,-0.52,-0.11,0.2,0.22,0.17,87.1
120,58.9,23.3,35.9,0,745.7,634.2,614.7,469.1,281.7,245.7,604.8,559.4,518.8,461,373.1,195.7,-1.68,-0.56,0.03,0.19,0.2,0.15,84.2
130,56.4,25.9,35.7,0,739.9,652.1,624.6,554.6,309.1,262.3,620.6,575.5,536.7,484.2,423.5,215.1,-1.8,-0.63,-0.05,0.19,0.25,0.21,88.7
140,55,27.9,33.1,0,748.4,656.4,632.8,618.4,332.5,281.7,628.6,589.9,553.5,501.7,447.1,231.7,-1.87,-0.76,-0.3,0.24,0.3,0.24,87.7
150,52.5,29.5,33,0,736.7,664.5,640.9,673,356.9,301.6,639.4,601.5,565.9,510.5,464.8,247.1,-1.96,-0.79,-0.04,0.22,0.28,0.23,88.4
160,50.8,30.3,33.5,0,741,669.2,647.7,687.7,372,315.5,648,610.5,575.6,524.3,483.5,262.7,-2.06,-0.86,-0.24,0.25,0.29,0.23,94.9
170,54.2,32.6,34.5,0,755.5,676.1,658.8,716.8,386.9,333.4,655,620.2,586.7,540.1,504.8,275.1,-2.14,-0.95,-0.26,0.25,0.32,0.28,95.5
180,60.2,34.1,35.2,0,753.1,686.3,669.2,728.6,404.6,348.7,662.1,628.4,595.3,552.7,525.2,293.9,-2.23,-1.01,-0.31,0.27,0.32,0.27,105.6
190,66,35.7,35.8,0,761.9,691.9,673.8,744.7,421.6,360.7,671.3,640.3,607.1,564.4,543,306.5,-2.32,-1.13,-0.25,0.3,0.34,0.26,105.5
200,70.5,37,36.2,0,776.3,697.3,683.5,754.3,445.7,377.3,673.5,642.3,609.5,571.2,555.2,316.9,-2.36,-1.02,-0.15,0.24,0.28,0.25,105.7
210,65.5,39.5,37.3,0,797.3,723.9,704.2,765,460.1,394.5,682.8,656.1,622.7,587.5,572.8,336.9,-2.41,-1.06,0,0.28,0.36,0.27,107.3
220,61.7,40.2,36.8,0,805.9,725.4,717.6,763.6,467.5,412.5,691.2,666.8,631.3,595.4,579.5,350.7,-2.43,-1.06,0.17,0.29,0.37,0.28,104.9
230,65.6,41.2,37.7,0,814,728.9,721.8,784.3,476.9,421.3,699.7,674.7,640.4,606,584.3,360.9,-2.4,-1.08,-0.08,0.25,0.37,0.32,97.8
240,70.6,41.3,37.6,0,809.1,734.5,735.9,755.2,472.9,432,705.8,683.3,647.1,612.6,590.1,370.3,-2.42,-1.08,-0.07,0.29,0.38,0.35,91.1
250,68.9,40.3,37,0,809,746.1,746.7,708.7,464.7,433.1,723.6,691.2,649.8,608.9,583.2,372.3,-2.38,-1.16,-0.42,0.31,0.33,0.31,83
260,68.4,38.6,35.5,0,819.8,761.5,775.6,685.1,459.7,434.2,735.4,698,655.1,603.8,575.9,377.7,-2.34,-1.19,-0.26,0.3,0.37,0.3,76.7
270,67.3,37.8,34.2,0,818.7,756.5,785.2,653.3,461.9,438.3,732,698.9,660.8,599.1,569.5,379.1,-2.41,-1.14,0.09,0.3,0.39,0.28,69.9
280,71.4,38.6,35.5,0,832.9,753,766.7,707.9,480.7,444.1,716.4,702.2,663.1,601,579.9,385.4,-2.49,-1.2,-0.02,0.32,0.39,0.32,73.1
