Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,BDVP_WINDOW_VEL_1,BDVP_WINDOW_VEL_2,HRR
(sec),(kW/m²),(kW/m²),(kW/m²),(kW/m²),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(kW)
0,-0.8,-0.2,-0.4,-0.8,30.1,30.1,30,30,30,30,30,30,30.1,30,30,30,-0.07,-0.04,-0.04,0,-0.01,-0.02,0.03,0.06,1.2
10,1.4,0.2,0.9,30.8,58.1,39.6,36.4,33.7,32.9,31.9,51.2,40.6,38.9,35.6,34.4,32.2,-0.27,-0.12,-0.07,-0.02,0.02,0.03,0,-0.08,18.6
20,6.3,0.9,3.3,49.5,130.8,71.1,61.9,44.8,41.3,39.1,120.3,86.5,74.3,45.5,36.7,33.8,-0.63,-0.03,0.03,0.05,0.06,0.07,0.01,-0.25,54
30,10.3,1.5,5.2,50.7,196.2,116.4,90.5,50.6,46.2,46,195,140.3,109.5,49.5,40.1,36.7,-0.79,-0.01,0.03,0.08,0.09,0.12,0.05,-0.26,70.8
40,10.6,1.8,6.1,51.9,240,143.9,97.6,54.4,52.3,52.8,228.1,174.5,127,53.4,44.3,40.4,-0.87,-0.09,0,0.04,0.09,0.13,0.07,-0.29,78.2
50,12.4,2,6.9,55.8,258.8,155.6,107.7,60,57.3,58.3,251,193.4,150.2,59.6,48.7,43.9,-0.88,-0.08,0.03,0.08,0.11,0.13,0.05,-0.34,78.6
60,10.7,2.1,7.2,59.7,273.2,172.2,118.2,65.1,61.4,62.9,259.4,209.4,175,67.6,52.4,47.2,-0.95,-0.11,0.04,0.1,0.12,0.15,0.09,-0.41,77.1
70,11.1,2.3,7.9,63.2,274.2,180.4,117.5,68.1,65.1,66.9,272.8,227.6,195.4,74.7,55.5,48.9,-0.96,-0.09,0,0.08,0.14,0.14,0.09,-0.37,81.6
80,12,2.4,7.7,58.8,292,189.7,125.6,72.1,67.8,70.4,276.8,234.3,194.3,76.3,58.3,50.6,-1.03,-0.13,-0.08,0.09,0.08,0.1,0.05,-0.45,78.6
90,13.6,2.5,7.8,56.8,309.1,198.4,124,76.2,72.7,73.9,284.6,238.1,196.1,78.9,60.6,52.8,-1.03,-0.05,-0.04,0.09,0.1,0.12,0.07,-0.43,84.1
100,14.9,2.6,7.2,57.9,314.2,205.7,117.4,79.6,74.2,76.9,295.8,247.3,196.6,78,63,54.4,-1.05,-0.09,-0.05,0.07,0.08,0.11,0.07,-0.5,81.8
