Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,HRR
(sec),(kW/m2),(kW/m2),(kW/m2),(kW/m2),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(kW)
0,-0.7,-0.2,-0.8,0,26.4,25.5,25.4,25.6,25.3,25.3,26.2,25.9,26.1,26.1,25.7,25.4,0.02,0.02,0.01,0.02,0.03,0,0.5
10,14.9,1.5,6.7,0,165.8,58,42,35.7,32.6,29.4,106.8,88,54.9,33.9,29.1,27.6,0.23,0.07,0.01,-0.03,0.02,0.05,9.3
20,25.8,3.3,12.6,0,511.2,150.1,93.4,54,48.1,42.4,274,220.1,129.7,46.9,38.4,34.2,0.41,0.09,0.03,-0.03,-0.02,0.01,30
30,26.6,4,15.4,0,609.6,218.5,140.7,71,63.3,56.4,364.4,305.6,216.5,67,50.5,42.7,0.48,0.07,-0.06,-0.08,-0.05,-0.02,42.5
40,28.4,4.6,17.1,0,659.4,253.7,170.9,84.7,76.1,68.7,420.7,358.3,260,87.7,62.9,52.2,0.57,0.1,-0.02,-0.06,0,-0.08,47.8
50,31.2,5.4,18.8,0,680.9,282.2,195.2,97.3,86.8,79.9,447.9,387.1,285.5,99.1,74.6,61.1,0.65,0.09,-0.08,-0.09,-0.04,-0.09,47.1
60,33.3,5.9,21,0,683.5,302.9,216.2,109.3,97.5,90.1,481.2,409.4,307.5,110.5,85.6,69.3,0.72,0.14,-0.03,-0.08,-0.13,-0.08,50.4
70,36.6,7,21,0,679.6,325.5,235.6,122.4,106.6,100.5,501.9,431.6,320.1,123.8,97.6,77.9,0.78,0.12,-0.07,-0.1,-0.08,-0.11,53.2
80,41.6,7.7,21.2,0,660.9,332,247.3,139.6,116.7,110.3,515.8,440.9,316.2,135.6,109.8,85.2,0.87,0.18,-0.04,-0.11,-0.11,-0.1,52.9
