Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,HFG_TC_1,HFG_TC_2,HFG_TC_3,HFG_TC_4,TC_WALL_1,TC_WALL_2,TC_CEIL_1,TC_CEIL_2,TC_CEIL_3,TC_CEIL_4,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_TC_1,BDVP_DOOR_TC_2,BDVP_DOOR_TC_3,BDVP_DOOR_TC_4,BDVP_DOOR_TC_5,BDVP_DOOR_TC_6,BDVP_WINDOW_TC_1,BDVP_WINDOW_TC_2,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,BDVP_WINDOW_VEL_1,BDVP_WINDOW_VEL_2,SMOKE_EXT,Y_CO2,Y_CO,Y_SOOT,HRR
(sec),(kW/m2),(kW/m2),(kW/m2),(kW/m2),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(1/m),(g/g),(g/g),(g/g),(kW)
   0.00,  -0.78,  -0.26,  -0.85,   0.02,  21.31,  21.34,  21.70,  21.11,  26.67,  32.03,  25.01,  23.99,  24.31,  23.63,  23.81,  23.00,  22.69,  22.59,  22.41,  22.19,  23.37,  23.04,  22.89,  22.57,  22.44,  22.28,  23.20,  22.86,  22.79,  22.68,  22.78,  22.89,2289.55,2289.34,   0.06,   0.03,   0.02,   0.00,   0.03,   0.03,   0.00,   0.00,  -0.01,   0.11,   0.06,   0.00,   0.51
  10.00,   3.58,   0.37,   0.94,  33.15,  20.97,  20.99,  21.39,  20.77, 194.17, 276.58, 117.02,  86.53,  71.56,  63.90,  67.54,  38.64,  32.41,  30.27,  28.76,  24.89,  55.79,  49.84,  41.44,  37.54,  34.49,  23.76,  32.39,  25.65,  22.99,  22.57,  22.93,  22.97,2289.56,2289.36,   0.28,   0.09,   0.01,  -0.04,  -0.00,  -0.03,   0.00,   0.00,   0.34,   2.85,   0.01,   0.00,   6.09
  20.00,  10.32,   1.41,   4.38,  44.38,  20.87,  20.84,  21.29,  20.74, 295.09, 347.55, 252.04, 172.25, 164.53, 124.92, 167.54,  74.63,  61.48,  53.34,  45.26,  31.86, 133.45, 104.04,  71.96,  53.99,  48.03,  28.14,  58.18,  37.48,  25.79,  23.36,  23.85,  23.71,2289.56,2289.35,   0.43,   0.11,  -0.04,  -0.07,  -0.07,  -0.06,   0.00,   0.00,   0.96,   5.84,   0.00,   0.00,  16.06
  30.00,  14.40,   1.91,   6.38,  44.55,  20.75,  20.72,  21.19,  20.72, 288.56, 338.86, 294.22, 206.74, 220.78, 147.15, 268.43, 109.97,  84.30,  55.20,  49.12,  40.00, 195.48, 152.87, 102.15,  53.25,  43.24,  30.35,  60.10,  31.74,  26.31,  24.85,  25.33,  24.78,2289.56,2289.36,   0.40,   0.06,  -0.00,  -0.03,  -0.08,  -0.08,   0.00,   0.00,   0.58,   4.65,   0.00,   0.00,  20.67
  40.00,  14.58,   2.26,   6.27,  45.81,  20.70,  20.67,  21.15,  20.69, 357.20, 387.07, 311.74, 229.03, 218.82, 161.81, 303.22, 138.05, 103.08,  60.95,  55.24,  48.10, 231.70, 186.81, 128.70,  55.74,  43.26,  33.54,  67.30,  30.21,  27.52,  26.52,  26.90,  26.00,2289.57,2289.36,   0.41,   0.05,  -0.01,  -0.02,  -0.06,  -0.06,   0.00,   0.00,   0.74,   4.72,   0.00,   0.01,  20.52
  50.00,  15.28,   2.52,   6.32,  46.49,  20.61,  20.54,  21.05,  20.62, 376.87, 423.83, 329.17, 237.71, 232.01, 179.04, 319.49, 160.41, 118.30,  66.62,  60.76,  55.45, 253.35, 207.16, 146.08,  60.03,  45.66,  36.73,  73.49,  29.86,  28.62,  27.04,  28.05,  27.18,2289.56,2289.35,   0.44,   0.04,  -0.04,  -0.06,  -0.07,   0.00,   0.00,   0.00,   0.79,   4.86,   0.01,   0.00,  20.41
  60.00,  15.21,   2.71,   6.65,  48.91,  20.49,  20.39,  20.91,  20.55, 403.17, 435.23, 348.01, 249.92, 242.13, 180.31, 343.37, 177.89, 127.38,  72.01,  67.35,  61.99, 268.02, 221.41, 153.66,  63.54,  48.46,  40.01,  79.23,  31.50,  30.36,  27.99,  29.21,  28.08,2289.56,2289.35,   0.48,   0.08,   0.00,  -0.04,  -0.07,  -0.04,   0.00,   0.00,   0.95,   4.53,   0.01,   0.00,  22.94
  70.00,  14.53,   2.95,   6.23,  46.71,  20.38,  20.30,  20.82,  20.49, 393.85, 437.92, 370.88, 258.60, 242.97, 195.81, 343.79, 191.05, 137.48,  75.01,  71.13,  67.64, 279.39, 236.35, 166.97,  67.43,  51.15,  43.19,  88.86,  33.09,  32.27,  29.27,  29.96,  28.58,2289.57,2289.37,   0.53,   0.07,  -0.04,  -0.08,  -0.07,  -0.07,   0.00,   0.00,   1.29,   4.64,   0.01,   0.00,  21.70
  80.00,  16.84,   3.12,   6.55,  48.86,  20.29,  20.22,  20.74,  20.41, 405.08, 453.66, 366.95, 264.19, 250.81, 191.81, 361.34, 204.10, 144.73,  80.82,  76.13,  72.88, 284.86, 244.39, 170.01,  70.84,  53.98,  45.79,  94.18,  34.32,  32.93,  29.45,  30.71,  29.40,2289.56,2289.35,   0.53,   0.05,  -0.07,  -0.09,  -0.10,  -0.06,   0.00,   0.00,   1.28,   4.66,   0.01,   0.00,  21.08
