Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,BDVP_WINDOW_VEL_1,BDVP_WINDOW_VEL_2,HRR
(sec),(kW/m2),(kW/m2),(kW/m2),(kW/m2),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(C),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(kW)
0,-0.7,-0.3,-0.8,0,24.1,24.1,23.9,24,23.9,23.9,24,24.1,24.2,24.1,24.1,24,-0.05,-0.01,0.01,0.01,0.02,0.02,-0.01,-0.03,-0.6
10,9.4,1.2,4.4,0,109.8,71.4,52.7,43.1,35.4,30.5,75.7,69.2,51.3,44.1,44.7,35.4,-0.25,0,0.08,0.08,0.09,0.08,-0.16,-0.06,7.4
20,8.6,1.8,6.9,0,195.5,117.6,78.7,50.6,45.3,40.7,173.4,148.3,90.8,49.3,46.2,36.4,-0.25,0.07,0.1,0.09,0.1,0.1,-0.15,-0.04,15.3
30,10.3,2.2,7,0,226.3,147.2,95.6,55.2,55.3,50.1,221.4,188.3,115.3,54.4,50,39.2,-0.34,0.05,0.1,0.08,0.1,0.11,-0.19,-0.01,19
40,12.5,2.5,7.2,0,268.4,165.8,101.1,63.1,64.9,58.3,247,213.5,124.6,58,54.4,42.3,-0.33,0.05,0.11,0.09,0.11,0.12,-0.13,0.02,19.5
50,12.3,2.7,7.4,0,286.6,179.4,108.6,69.2,71.6,65.9,260.6,222.9,133.7,62.9,58.7,45.6,-0.4,-0.03,0.09,0.09,0.09,0.09,-0.15,0,22.7
60,12.4,2.9,7,0,287.4,191,113.8,74.6,78.4,72.1,270.5,237,149.7,67.7,63.5,48.1,-0.43,-0.07,0.08,0.1,0.11,0.12,-0.18,-0.05,22.1
70,12.2,3.1,7.7,0,296.8,196.5,120.3,79.9,81.4,77.1,277,244.8,155.3,72.4,67,51.2,-0.45,-0.09,0.07,0.1,0.11,0.11,-0.14,-0.05,23.4
80,11.4,3.4,8,0,300.3,198.1,124.4,83.7,86,82.1,289.7,254.4,153.3,77.1,71.3,54.8,-0.45,-0.11,0.05,0.09,0.09,0.06,-0.17,-0.08,24
90,11.8,3.5,8,0,300.9,207.9,131.7,87,90.4,86.8,294.6,258.8,161.6,81.4,75.7,58.5,-0.49,-0.11,0.05,0.1,0.1,0.08,-0.19,-0.09,22.1
100,11.6,3.8,7.7,0,301.8,212.7,134.8,90.4,96.2,91.9,297.4,265,171.5,86,79.2,61.5,-0.48,-0.06,0.1,0.1,0.12,0.1,-0.18,-0.03,19.5
110,12.7,3.9,7.8,0,307.3,214.1,138.6,94.7,99.7,95.9,301.2,268.7,167.6,90,82.2,62.9,-0.45,-0.07,0.12,0.11,0.13,0.14,-0.2,0,17.8
120,13.8,4,8.3,0,317.4,218.8,143.2,100.2,102.5,99.7,305,271.4,172.6,92.5,84.9,64.6,-0.49,-0.05,0.12,0.09,0.11,0.12,-0.19,0.03,18.9
130,13.1,4.1,8.5,0,321.2,216.1,142,102.2,107.8,102.7,305.8,272.3,169.8,95.6,88,66.9,-0.47,-0.07,0.11,0.1,0.14,0.15,-0.18,0.01,19.7
140,13.6,4.3,8.3,0,325.2,217.2,143.2,103.3,108.8,105.9,312.7,276.2,170,98.3,90.8,69,-0.51,-0.09,0.12,0.1,0.14,0.13,-0.16,0.01,22.8
