Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,HFG_TC_1,HFG_TC_2,HFG_TC_3,HFG_TC_4,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,HRR
(sec),(kW/m²),(kW/m²),(kW/m²),(kW/m²),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(kW)
0,3.5,0.5,1.8,-0.9,9.4,9.3,9.4,9.1,51.9,28.1,23.7,17.9,10.9,7.5,41.7,38,34.2,26.2,12,7.9,1.54,0.38,-0.78,1.42,-0.51,0.56,0
10,61.2,12.1,34.1,-0.9,9.4,9.3,9.4,9,636.3,404.2,344.8,261.1,84,52.2,540.2,508.8,478.1,410.3,157.5,56.3,5.17,2.33,-0.67,1.37,-0.81,0.21,245.2
20,75.6,14.7,39.5,-0.9,9.3,9.3,9.4,9,708.5,471.2,408.3,302.1,95.5,65,586.7,555.3,527.2,466.9,160.5,69.8,5.35,2.4,-0.23,1.41,-1.04,0.03,742
30,94,18.6,43,-0.9,9.3,9.3,9.6,9,747.1,541,485.5,381.6,121.2,86.1,604.7,575.2,551.4,502.2,318.2,87.7,5.68,2.79,0.06,1.41,-1.05,-0.11,925.8
40,129.5,23.8,49,-0.9,9.3,9.3,9.6,9,791.2,637.8,575.4,485.4,151.7,109.6,621.8,591.3,568.8,523.3,379.6,104.9,5.79,2.79,-0.03,1.34,-1.18,-0.4,1244
50,144.5,34.1,60.5,-0.9,9.3,9.4,9.7,9,840.8,737.2,678.9,597.7,236,138.6,639.4,615.4,597.1,555.8,461,129,6.27,3.42,1.04,1.72,-1.23,-0.53,1477.4
60,143.6,43.4,72,-0.9,9.4,9.4,9.8,9,893.4,826.6,763.2,677,426.4,168.2,694.7,672.3,651.1,613.9,540.5,188.3,6.74,3.71,1.39,1.72,-1.41,-0.66,1589
70,133.6,52,80.7,-0.9,9.4,9.4,9.9,9,939.9,892.1,833.2,752.1,606,191.9,742.5,723.7,700.4,666.3,599.9,307.8,7.1,4.22,1.72,1.81,-1.39,-0.69,1821.8
80,127.5,56.7,87.5,-0.8,9.4,9.5,10,9,974.5,922.3,887.6,824.5,732.8,214.1,811.5,798.5,771.2,736.4,676.1,467.5,7.66,4.59,2.25,1.97,-1.52,-1.05,2215.7
90,126.8,63.5,94.1,-0.8,9.4,9.5,10.1,9,984.7,935.5,915,851.7,767.7,261,833.6,827.3,797.8,762.8,707.9,527.9,8.16,5.14,2.48,2.03,-1.53,-1.13,2471.9
100,131.5,72.6,98.7,-0.7,9.4,9.5,10.2,9,996.8,999.5,982.9,908,821.1,372,854.2,852.8,822.5,787.8,731.6,568.8,8.43,5.36,2.83,2.43,-1.72,-1.2,3055.6
110,125.3,78.5,101.4,-0.6,9.4,9.5,10.2,9,1009.1,1030.4,1019.3,939.5,858.4,539,873.2,884.8,855.5,823.1,772.7,609.1,8.77,5.55,3.05,2.35,-1.72,-1.41,3676.2
120,113.2,81.1,103.7,-0.6,9.4,9.6,10.3,9,1029.3,1075.7,1048.7,973.4,901.7,624.5,882.6,885,856.7,828.7,784.4,626.1,8.91,5.62,3.16,2.44,-1.75,-1.51,3761.8
130,106.4,82.1,102.7,-0.5,9.4,9.6,10.5,9,1066.3,1068.2,1034.6,985,917.4,642.8,911.5,912.5,879.7,852,809.7,655.6,9.02,5.84,3.3,2.83,-1.75,-1.72,3940.1
140,97,83.6,103.1,-0.4,9.4,9.7,10.6,9.1,1095.8,1077.6,1041.5,1006.2,948.4,704.3,939.5,951.8,924.3,891.2,849.4,676.7,9.36,6.18,3.55,2.9,-1.75,-1.47,3999.1
150,101.2,85.6,109.2,-0.3,9.4,9.8,10.7,9.1,1134.6,1108.8,1093.8,1047.8,996.7,881.4,961.4,981.3,964.7,944.2,911.7,805,9.87,6.61,3.59,2.95,-1.79,-1.58,4206
