Time,HFG_WALL,HFG_FLOOR,HFG_CEILING,HFG_BURNER,TC_TREE_1_1,TC_TREE_1_2,TC_TREE_1_3,TC_TREE_1_4,TC_TREE_1_5,TC_TREE_1_6,TC_TREE_2_1,TC_TREE_2_2,TC_TREE_2_3,TC_TREE_2_4,TC_TREE_2_5,TC_TREE_2_6,BDVP_DOOR_VEL_1,BDVP_DOOR_VEL_2,BDVP_DOOR_VEL_3,BDVP_DOOR_VEL_4,BDVP_DOOR_VEL_5,BDVP_DOOR_VEL_6,HRR
(sec),(kW/m²),(kW/m²),(kW/m²),(kW/m²),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(m/s),(m/s),(m/s),(m/s),(m/s),(m/s),(kW)
0,-0.8,-0.3,-1,-0.9,25.1,25.1,25,25,24.9,24.9,25.1,25,25,25,25,25,0.03,0.03,-0.02,0.01,0.02,0.01,0.5
10,15,1.1,3.4,22,126.8,40.6,32.3,29.4,28.8,27.6,63.4,52.4,36.6,28.8,26.5,26.2,-0.19,-0.01,0,0.02,0.03,-0.02,10.4
20,31.2,3.4,13.6,24.7,489.2,125.6,71.5,46.3,44.3,40.3,221.9,155.8,78,38.6,33.5,31.6,-0.35,-0.07,0,0.05,0.07,0.04,33.5
30,32.8,4.1,19.3,28.1,610.1,191.2,112,64.1,59.3,54.8,321.5,237.4,130.3,51.6,43.8,40,-0.45,-0.04,-0.07,0.09,0.08,0.05,40.7
40,36.7,5.2,20.9,28.7,657.3,241.8,152.6,81.3,73.9,68.3,386.9,291.3,179.7,68,55.1,48.4,-0.59,-0.05,-0.06,0.09,0.09,0.09,40.2
50,38.5,6.7,23.1,30.8,707,282.6,187.5,98.2,89.6,82.8,439.1,335,215.4,87.3,67.7,57.3,-0.72,-0.1,-0.08,0.1,0.1,0.11,40.6
60,43.3,8.4,23.9,32.2,717.7,343.3,227.5,119.1,106.8,98.5,476.1,375.5,260.6,114.7,81.9,67.6,-0.89,-0.13,-0.09,0.11,0.13,0.12,44.5
70,47.2,9.9,26.6,31.7,713.1,462.3,287.5,137.7,125.7,116.2,505.6,412.7,310.7,150,98.7,81.6,-0.97,-0.15,-0.15,0.13,0.15,0.16,47.8
80,53.7,11.9,27.4,34.9,713.4,516.3,374.7,169.7,147.9,134.5,505.8,436.2,354,217.4,115.4,94.9,-1.11,-0.2,-0.14,0.14,0.18,0.17,56.8
90,52,13.8,26.5,35.6,706,546.8,444,244.9,169.1,151.9,510.4,456.2,390.1,292.7,149.7,107.1,-1.25,-0.23,-0.17,0.15,0.19,0.19,72.3
100,52.2,16.1,24.1,36.9,704.3,577.2,494.8,378.2,196.1,172.7,525.6,482.2,426.3,365.2,224.1,122.6,-1.46,-0.38,-0.13,0.15,0.2,0.2,87.4
110,53.8,18.8,26.9,40.2,711.1,610.7,536.6,428.7,231.2,190.2,536.9,502.9,459.1,423.9,331.3,138.9,-1.6,-0.51,-0.04,0.11,0.21,0.23,113.4
120,55.1,20.5,27.2,40.5,710.4,621.3,560.4,460.7,321.9,209.6,545.4,521.4,483,455.8,403,157.1,-1.78,-0.62,0.1,0.15,0.26,0.24,136.7
130,54.6,21.6,27.3,40.6,703.1,633.2,577.6,481.7,390.6,226.3,558.7,534.2,495.5,469.1,425.9,171.1,-1.93,-0.75,0.13,0.21,0.24,0.21,143.6
140,54.1,23.5,27.6,43,727,645.5,594.2,510.2,459.1,245.5,563,546.2,508.6,487.7,453.6,190.2,-2.11,-0.8,-0.13,0.19,0.25,0.22,150.1
150,52.1,24.4,27.9,43.7,719.6,643.4,601.1,533.5,563,266.1,570.8,560.1,523.4,502.9,470.8,207,-2.17,-0.9,0.2,0.23,0.3,0.25,154.8
160,54.1,25.6,28.6,44.9,729.5,644.3,607.7,558.4,571.7,280.6,576.7,568,534.7,515.7,486.8,223.9,-2.3,-0.99,0.24,0.2,0.28,0.24,160.5
170,52.8,27.6,31.7,47.5,732.4,652.2,620.7,578.5,617.5,295.7,582.4,576.5,544.1,527.9,502.4,249.3,-2.35,-0.99,0.34,0.13,0.26,0.26,165
180,56.1,29.1,35.1,48.5,728.1,652.9,628.4,595.3,672.6,310.6,588.7,585.4,554.6,538.5,521.1,289.9,-2.42,-1.14,0.39,0.12,0.26,0.23,179.2
190,54.3,29.8,36.1,51.7,717,649.9,629.3,609.5,687,322.3,593.2,591.9,563.5,548.4,532.4,311,-2.55,-1.2,0.38,0.13,0.24,0.2,178.4
200,56.7,31.5,38.6,52.5,717.3,655.8,634.8,618.4,697.1,343.7,595.6,598,570.8,557,544.3,355.8,-2.62,-1.35,0.48,0.18,0.26,0.22,187.7
210,56.6,33,41.3,53.1,724.7,660.5,641.3,625.4,729.6,367.9,597.9,602.5,576.3,562.2,554.1,396.9,-2.75,-1.38,0.38,0.21,0.26,0.18,200.9
220,56.1,34.6,40.9,54.5,723.3,665,646.2,639.3,740.8,391.3,599.4,612.2,586.7,574.1,571.1,429.2,-2.84,-1.47,0.43,0.16,0.33,0.29,213.1
230,56.1,36.3,43.2,55.7,715.2,665.5,646.1,643.1,733.9,476.6,608.5,619.7,596.9,585.4,579.5,454.1,-2.93,-1.7,0.64,0,0.39,0.32,223
240,52.9,38.1,44.1,53.4,716.6,672.9,651.2,652.7,752.4,536.6,612.9,627.5,605.1,596.1,603.2,477.2,-3.08,-1.79,0.56,-0.12,0.39,0.38,231.1
250,53,39.4,45.2,51.4,721.1,677.3,657.5,660.3,754.8,539.2,614.2,633.8,611.1,604.9,617.5,508,-3.15,-1.91,0.7,-0.16,0.42,0.38,230.8
260,54,40.9,45.4,62.2,719.2,680.5,663.2,672.7,766.8,555.2,617.9,641.1,619.6,613.3,623.4,529.3,-3.19,-1.98,0.69,0.03,0.41,0.38,239.6
270,56.5,43,45.9,64.3,718.5,699,676.6,694.2,770.8,595.7,632,653.1,631.7,626,634.1,553,-3.28,-2.13,0.77,0.07,0.42,0.4,245.8
280,61.9,42.5,45.3,63.3,712.1,706.1,695.8,735.2,787.9,575.8,631.3,657.7,635.3,631.2,637.7,572.7,-3.26,-2.07,0.85,0.1,0.4,0.35,229.9
290,69.1,45.9,46.1,61.1,724.5,701.4,692.3,730.9,809.8,579.3,638.8,666.1,643.5,640.5,652.4,601.1,-3.35,-2.16,0.91,-0.1,0.39,0.31,218.5
300,72.7,57.8,49.6,59.3,746.7,717,699.1,731.2,819.7,616.1,644.6,680.1,655.2,652.3,666.3,620.8,-3.38,-2.12,0.68,0.29,0.49,0.39,208.6
310,76.3,62.2,49.1,59.4,740.2,720.2,709.8,749.5,827.8,602.9,659.8,690.5,663.8,658.3,670.1,633.5,-3.34,-2.14,0.88,0.33,0.53,0.4,190.9
320,77.9,67.7,48.6,60.3,742.3,755.7,741.5,775.5,793.1,614.4,669.2,708.3,679.7,676.7,689.3,633.6,-3.32,-1.99,0.6,0.41,0.5,0.37,172.9
330,74,67.8,49.7,59.7,729.7,848.2,806.7,780.1,728.6,643.2,660.4,710.6,684.3,680.6,697.4,611.3,-3.37,-2.1,0.64,0.4,0.52,0.38,145.4
340,75.6,65.9,48.4,54.4,730.5,807.2,768,734.1,680.5,620.8,664,709.8,683.5,677.1,693.4,587.5,-3.22,-2,0.59,0.32,0.48,0.41,115.7
350,74.9,68.4,46.9,55.9,742.4,811.8,757.7,720.2,660.9,614.6,679.2,716.7,685.6,678,685.6,575.8,-3.18,-2.01,0.83,0.16,0.53,0.48,109.6
360,74,68.3,46.6,64.8,770.1,771.3,745.8,715.9,656,618.8,678.6,716.8,688.7,679.4,691.7,581.2,-3.19,-1.82,0.67,0.33,0.51,0.41,104.2
370,78,67.3,45.8,60.9,776.3,785.8,740.5,712.1,653.8,620.7,688.6,706.9,684.7,674.1,689.5,576.1,-3.09,-1.73,0.53,0.4,0.48,0.42,97
380,75,67,44.6,60.7,770.9,729.3,713.8,697.1,643.5,611.9,714.6,714.4,682.9,669,680.2,570.3,-3.03,-1.67,0.64,0.38,0.51,0.45,98.1
390,76,66,45.2,60.7,772.7,717.3,702.6,685.7,634.1,604.3,723.2,735.8,688.3,672.4,696.9,580.5,-2.97,-1.6,0.43,0.4,0.48,0.43,91.6
400,74,65,45.7,61.9,776.2,739.2,694.7,675.6,627.3,599.4,732.8,773.1,701,681.4,728.1,591,-2.89,-1.52,0.4,0.43,0.52,0.46,86.6
410,71.8,64.6,45,62.7,775.9,724.3,672.1,665.9,625.8,596.8,748.4,779.8,719.6,688.4,744.8,610.4,-2.9,-1.46,0.42,0.43,0.53,0.48,81.9
420,68.7,62.6,42.6,60.9,771.9,682.6,649.1,651.5,613.4,586,763.8,766.6,723.1,685.3,725.9,605,-2.9,-1.48,0.47,0.4,0.48,0.43,81.6
430,65.7,61.8,44.7,61.5,776.3,605.9,624.6,631.2,596.6,566.5,749.5,747.9,710.6,676.1,702.1,583.5,-2.81,-1.51,0.56,0.38,0.46,0.44,75.7
440,63.4,59.4,44.5,60.6,792,567.3,603.7,614.4,583.2,555.7,740.9,732.8,701.7,664.1,680.7,540.9,-2.69,-1.5,0.07,0.39,0.46,0.4,67.4
450,63.4,57.6,44.4,57,789.4,561.1,587.6,598.9,566.2,539.1,735,727.4,693.6,652.8,659.1,511.8,-2.67,-1.54,0.41,0.39,0.53,0.49,66.4
460,61.5,55.9,45.6,55.2,779.1,545.9,569.4,585.1,552.4,514.6,733,718.1,688.7,644.6,639.5,498,-2.55,-1.49,0.1,0.35,0.44,0.41,64.8
470,59.3,54.2,45,49.5,797.7,532.5,550.7,574.1,540.3,492.8,733.4,715.8,680.3,625.3,593.6,488.8,-2.51,-1.49,0.36,0.36,0.46,0.42,66.6
480,58.9,53.8,45.8,47.9,796.4,518.3,538.5,565.4,532.9,486.6,725.6,706.5,670.2,609.4,569.4,478.3,-2.49,-1.46,0.42,0.38,0.44,0.4,63.4
490,58.4,52,45.6,46.3,782.7,508.3,526.8,557.1,525.8,479.8,716,695.7,646.6,579.9,534.9,468.9,-2.47,-1.42,0.44,0.34,0.43,0.43,62
500,57.2,50.8,45,44.9,786.6,504,519.5,549.6,518.5,472.2,704.2,686.8,626.4,568.3,514.1,459,-2.41,-1.29,0.2,0.35,0.44,0.43,63.5
510,57.7,50.6,44.3,44.9,799.4,495.2,515.1,544.3,515.4,470.5,701.8,680.5,610.7,553,502.2,453,-2.41,-1.32,0.3,0.4,0.47,0.44,63.5
520,57.4,50.3,44.5,43.9,804.8,491.1,510.6,540.2,513.1,464.1,697.6,676,609,545.2,503.1,450.1,-2.37,-1.3,0.27,0.36,0.43,0.42,61.6
530,56.7,49.4,41.9,43.9,791.1,484.3,508.4,535.7,507,461.8,693.1,670.2,595.6,537.6,490.8,447,-2.33,-1.29,0.27,0.34,0.44,0.42,58.5
540,57,49.4,38.2,40.5,793.9,483.6,508.2,534.4,506.3,460.3,697.4,671,592.5,531.6,483.7,443.8,-2.33,-1.25,0.24,0.36,0.43,0.43,57.1
550,57.2,48.7,39.3,25.4,802.5,480.4,506.5,533.6,505.8,457.9,702,669.7,592.1,530.2,481,437.7,-2.37,-1.29,0.36,0.38,0.44,0.42,61.3
560,56.8,48.3,39.7,24,800.8,482.6,506.2,531.2,505.6,455.8,702.9,669.5,588.8,525.5,475.4,433.6,-2.35,-1.22,0.08,0.33,0.47,0.45,58.2
