Time (sec),HRR (kW)
   0.00,   0.00
  10.00,  15.87
  20.00,  30.15
  30.00,  33.56
  40.00,  35.20
  50.00,  35.35
  60.00,  37.53
  70.00,  41.39
  80.00,  47.18
  90.00,  54.98
 100.00, 150.05
 110.00, 348.32
 120.00, 378.74
 130.00, 527.41
 140.00, 643.26
 150.00, 594.09
 160.00, 701.30
 170.00, 823.45
 180.00, 887.81
 190.00, 928.59
 200.00, 877.41
 210.00, 776.94
 220.00, 663.57
 230.00, 541.68
 240.00, 441.19
 250.00, 499.10
 260.00, 396.51
 270.00, 304.68
 280.00, 208.67
 290.00, 144.83
 300.00, 100.33
