X_O2,ETA
20.931,0.861
20.903,0.865
19.112,0.842
18.905,0.863
17.045,0.859
16.823,0.817
16.116,0.816
15.916,0.856
15.070,0.810
14.895,0.850
14.180,0.805
13.901,0.830
14.006,0.848
13.256,0.784
13.213,0.827
12.992,0.843
12.065,0.836
12.219,0.815
12.000,0.776
11.458,0.809
11.060,0.829
9.903,0.779
9.884,0.755
9.508,0.566
8.927,0.516
8.165,0.125
