X_O2,ETA
20.894,1.018
20.894,1.015
19.092,1.000
18.996,1.002
18.114,0.981
17.924,0.992
17.074,0.969
16.917,0.989
16.002,0.975
16.097,0.950
15.036,0.959
14.917,0.949
13.881,0.925
13.164,0.889
13.067,0.821
12.512,0.795
12.366,0.436
12.131,0.188
