X_O2,ETA
20.870,0.946
20.916,0.930
19.285,0.931
18.964,0.909
18.100,0.928
17.978,0.903
17.212,0.928
17.140,0.894
15.966,0.921
14.830,0.886
14.256,0.888
14.134,0.873
13.372,0.879
13.086,0.857
12.641,0.849
12.059,0.844
11.843,0.839
11.478,0.804
11.199,0.731
10.894,0.673
10.825,0.381
10.300,0.216
