X_O2,ETA
20.871,0.856
18.970,0.845
17.991,0.837
17.885,0.841
17.037,0.829
16.129,0.813
15.221,0.725
14.199,0.728
13.203,0.703
12.691,0.681
11.622,0.350
11.195,0.088
