Time,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,top,bottom,front,back,R1,R2,R3,R4,R5,R6,R7,R8,R9,L_F
0,96,201,NaN,418,354,357,335,220,424,163,251,46,174,228,280,320,296,276,357,205,97,320,235,293,NaN,268,313,351,341,191,252,73,NaN,NaN,NaN,234,22,300,243,179,109,122,149,161,7.3,15.0,13.0,21.0,17.0,14.0,10.0,10.0,5.0,49.9
100,96,201,NaN,418,354,357,335,220,424,163,251,46,174,228,280,320,296,276,357,205,97,320,235,293,NaN,268,313,351,341,191,252,73,NaN,NaN,NaN,234,22,300,243,179,109,122,149,161,7.3,15.0,13.0,21.0,17.0,14.0,10.0,10.0,5.0,49.9
