Time,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,top,bottom,front,back,R1,R2,R3,R4,R5,R6,R7,R8,R9,L_F
0,1,4,114,109,243,219,245,74,170,NaN,175,NaN,11,48,119,233,307,226,380,191,7,246,233,349,NaN,250,237,288,220,87,NaN,11,13,NaN,321,NaN,100,127,53,266,59,54,121,186,2.4,4.5,4.3,5.65,5,3,2.82,2.1,1.38,19.8
100,1,4,114,109,243,219,245,74,170,NaN,175,NaN,11,48,119,233,307,226,380,191,7,246,233,349,NaN,250,237,288,220,87,NaN,11,13,NaN,321,NaN,100,127,53,266,59,54,121,186,2.4,4.5,4.3,5.65,5,3,2.82,2.1,1.38,19.8
