Time,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,top,bottom,front,back,R1,R2,R3,R4,R5,R6,R7,R8,R9,L_F
0,13,NaN,76,224,307,311,322,NaN,NaN,195,256,13,46,105,288,291,271,NaN,NaN,51,7,228,269,282,NaN,182,339,298,238,118,347,28,70,73,NaN,NaN,NaN,138,78,148,100,145,102,NaN,4.1,8.2,8.2,16.3,13.5,10.6,6.4,6.1,3.7,37.8
100,13,NaN,76,224,307,311,322,NaN,NaN,195,256,13,46,105,288,291,271,NaN,NaN,51,7,228,269,282,NaN,182,339,298,238,118,347,28,70,73,NaN,NaN,NaN,138,78,148,100,145,102,NaN,4.1,8.2,8.2,16.3,13.5,10.6,6.4,6.1,3.7,37.8
