Time,MLRPUA
s,g/m2/s
0,0.00
30,10.24
60,12.95
90,12.63
120,12.36
150,12.95
180,13.01
210,14.04
240,14.25
270,12.25
300,12.41
330,12.79
360,12.46
390,12.74
420,12.25
450,11.16
480,11.71
510,12.09
540,11.54
570,12.52
600,10.95
630,10.51
660,12.95
690,13.60
720,11.33
750,11.11
780,12.14
810,12.84
840,11.98
870,11.38
900,12.03
930,11.43
960,11.43
990,12.19
1020,12.03
1050,11.06
1080,11.43
1110,13.11
1140,12.57
1170,12.63
1200,13.87
1230,13.17
1260,12.03
1290,12.52
1320,12.84
1350,13.33
1380,11.87
1410,10.68
1440,11.27
1470,10.78
1500,11.43
1530,12.36
1560,13.01
1590,13.49
1620,11.38
1650,11.43
1680,12.79
1710,13.49
1740,11.71
1770,11.49
1800,12.41
1830,11.92
1860,12.30
1890,13.01
1920,12.25
1950,12.19
1980,10.24
2010,10.41
2040,11.60
2070,11.87
2100,11.49
2130,11.49
2160,11.22
2190,11.60
2220,12.79
2250,11.76
2280,11.87
2310,12.41
2340,11.81
2370,13.06
2400,12.09
2430,10.68
2460,11.27
2490,11.27
2520,11.60
2550,11.33
2580,12.68
2610,11.71
2640,9.97
2670,9.75
2700,9.75
2730,11.00
2760,10.03
2790,9.10
2820,9.75
2850,10.24
2880,9.86
2910,10.13
2940,10.46
2970,0.00
