Time,MLRPUA
s,g/m2/s
0,0.00
30,1.65
60,6.36
90,10.33
120,11.48
150,12.52
180,13.52
210,14.53
240,16.33
270,17.25
300,18.51
330,19.46
360,20.68
390,22.10
420,21.93
450,22.13
480,22.16
510,21.44
540,21.81
570,21.63
600,21.65
630,21.66
660,21.92
690,22.20
720,22.48
750,22.11
780,23.00
810,22.84
840,22.35
870,22.48
900,22.76
930,23.43
960,23.49
990,23.02
1020,22.50
1050,22.17
1080,22.44
1110,22.47
1140,22.69
1170,23.06
1200,22.66
1230,22.11
1260,22.29
1290,22.69
1320,23.02
1350,23.52
1380,24.06
1410,24.70
1440,25.19
1470,24.79
1500,0.00
