Time,T05,T10,T15,T20,T25,T30,T35,T40,T45
s,C,C,C,C,C,C,C,C,C
0,17,17,16.9,16.9,16.9,16.9,16.9,17,17.4
10,17,17,17,17,17,17,17.1,17.1,22.3
20,17.1,17,17,17,17,17,17.1,17.7,27.7
30,17.1,17,17,17,17,17,17.2,19.2,32.9
40,17.1,17.1,17,17,17,17.1,17.7,21.2,37.6
50,17.2,17.1,17,17,17.1,17.2,18.3,23.3,41.4
60,17.2,17.1,17.1,17,17.1,17.4,19.2,25.5,45.6
70,17.2,17.1,17.1,17.1,17.2,17.7,20.4,28,46.8
80,17.1,17.1,17.1,17.1,17.4,18.2,21.6,30.4,47.8
90,17.1,17.1,17.1,17.2,17.6,18.7,23,32.6,50.1
100,17.2,17.2,17.2,17.3,17.9,19.4,24.2,34.4,52
110,17.3,17.2,17.2,17.5,18.2,20,25.3,36.1,55.8
120,17.3,17.3,17.3,17.7,18.7,20.5,26.3,38.1,56.3
130,17.3,17.3,17.4,17.9,19,21.1,27.6,39.7,57.5
140,17.3,17.4,17.6,18.1,19.3,21.8,28.7,41.1,57.8
150,17.4,17.4,17.7,18.3,19.7,22.5,29.8,43.1,58.2
160,17.4,17.5,17.8,18.5,20.1,23.2,30.8,44.9,58.6
170,17.4,17.6,17.9,18.8,20.6,23.8,32.1,45.5,58.9
180,17.5,17.7,18.1,19.1,21,24.6,33.1,47.2,58.2
190,17.5,17.8,18.2,19.4,21.5,25,33.9,49.2,57.8
200,17.6,17.9,18.4,19.7,21.9,25.6,35,50.7,58.3
210,17.6,18,18.6,19.9,22.2,26.3,36.1,51.9,58.3
220,17.7,18.2,18.8,20.2,22.7,27.1,37.5,52.7,58.4
230,17.8,18.3,18.9,20.4,23.1,27.8,38,53.9,57.6
240,17.8,18.4,19.1,20.7,23.7,28.5,39.4,54,58.3
250,17.9,18.5,19.3,21,24.1,29.2,40.4,54.3,58.6
260,18,18.6,19.5,21.4,24.6,29.8,41.4,56,57.8
270,18.1,18.7,19.7,21.7,25.1,30.5,42.4,56.3,57.8
280,18.1,18.9,19.9,22,25.6,31.2,43.8,56.3,58
290,18.2,19.1,20.2,22.4,26.1,31.9,44.5,56.7,58.2
300,18.3,19.2,20.4,22.7,26.6,32.5,45.9,56.4,59.2
310,18.4,19.3,20.6,23.1,27.1,33.3,47.1,56.7,59.5
320,18.5,19.5,20.8,23.5,27.5,34.1,47.2,57.6,60.3
330,18.7,19.7,21.1,23.9,28.1,34.7,48.7,57,62
340,18.8,19.8,21.4,24.3,28.6,35.1,49.1,57.2,78.8
350,18.9,20,21.7,24.7,29,35.9,50.1,57.4,86.9
360,19,20.2,22,25,29.6,36.5,51.1,57.5,76.6
370,19.1,20.5,22.3,25.5,30.2,37.2,52.3,57.6,134.6
380,19.3,20.7,22.5,25.9,30.7,37.8,52.7,57.3,157.9
390,19.4,20.9,22.8,26.3,31.2,38.4,53.2,57.4,145.5
400,19.6,21.1,23.1,26.6,31.7,38.9,54.3,58,228.7
410,19.7,21.4,23.4,27,32,39.5,54,58.1,221
420,19.9,21.6,23.6,27.3,32.5,39.9,55.3,58.1,257.5
430,20,21.8,23.9,27.7,33,40.8,55.2,58.6,248.6
440,20.2,22.1,24.1,28.1,33.5,41.4,55.6,58.5,217.7
450,20.4,22.3,24.4,28.4,34,41.9,56.2,58.6,318.7
460,20.6,22.4,24.6,28.8,34.4,42.4,56.5,58.9,258.5
470,20.8,22.7,25,29.3,35.1,43.1,56,59.4,254.7
480,21,22.9,25.3,29.7,35.4,43.3,56.6,59.4,193
490,21.1,23.1,25.7,30,35.8,43.8,57,60.1,183.1
500,21.3,23.4,26,30.4,36.2,44.3,57.3,59.9,183.2
510,21.5,23.7,26.3,30.8,36.7,44.9,57.8,60,230.8
520,21.6,23.9,26.5,31.1,37.1,45.5,57.9,60.5,225.6
530,21.8,24.1,26.7,31.4,37.6,46.2,58,60.5,309.8
540,22,24.3,27,31.8,38,46.6,58.3,60.8,233.6
550,22.2,24.6,27.3,32.1,38.5,47.3,58.3,59.8,362
560,22.4,24.9,27.7,32.5,39,47.5,58.7,59.3,348.1
570,22.6,25.2,28,32.9,39.4,48.1,58.5,58.7,400.2
580,22.8,25.4,28.4,33.3,39.9,48.7,58.7,59.3,347.3
590,23.1,25.6,28.7,33.8,40.3,49.1,58.8,58.5,434.4
600,23.3,25.9,28.9,34.1,40.8,49.7,59.2,58.5,442.8
610,23.5,26.2,29.2,34.5,41.3,50.3,58.8,58.9,354.4
620,23.7,26.4,29.5,35,41.8,50.6,59.1,58.8,463.6
630,23.9,26.6,29.8,35.5,42,51.2,59.2,58.6,397.7
640,24.1,26.9,30.1,35.7,42.6,51.6,59.3,58.5,406.5
650,24.3,27.1,30.5,35.9,43,51.9,59.6,58.3,453.3
660,24.5,27.4,30.9,36.4,43.4,52.6,59.2,58.6,427.2
670,24.8,27.7,31.3,36.7,44,52.9,59.5,57.9,494.2
680,25,27.9,31.6,37.1,44.6,53,59.5,58.4,456.5
690,25.2,28.2,31.8,37.6,44.7,54,59.4,223.6,555.4
700,25.5,28.5,32.2,38,45.1,54.4,59.4,281.1,412.3
710,25.7,28.8,32.6,38.2,45.7,54.9,59.6,342.8,487.9
720,26,29.1,32.9,38.5,46,54.9,59.8,337.5,477.7
730,26.2,29.4,33.1,38.9,46.8,56,59.6,345.8,496.4
740,26.5,29.7,33.4,39.3,47.2,55.4,59.8,411.5,514.3
750,26.8,29.9,33.8,39.8,47.7,56.9,59.9,492.5,654.1
760,27,30.3,34.1,40.2,48,56.4,59.7,390,492.9
770,27.3,30.5,34.4,40.6,48.5,56.6,60,501.3,635.4
780,27.5,30.8,34.7,41,48.8,57.6,59.8,791.8,890.5
790,27.8,31.1,35,41.4,48.9,58.5,60.4,905.8,975
800,28,31.5,35.5,41.6,50,57.5,60.9,603.8,694.9
810,28.3,31.8,35.7,42.1,50.1,58.3,60.6,676.4,793.3
820,28.6,32.2,36.1,42.3,50.8,57.9,61,546.8,639.1
830,28.9,32.5,36.4,42.9,50.9,58.4,61.4,507.6,601.8
840,29.2,32.7,36.8,43.1,51.8,57.7,61.9,647.9,745.7
850,29.4,33,37,43.7,51.7,58,59.7,752.9,783.8
860,29.6,33.2,37.4,44.1,52.3,58.7,59.7,608.5,668
870,29.9,33.6,37.8,44.2,52.6,58.9,59.9,495.7,596.5
880,30.1,33.9,38.1,44.9,53.5,59.2,59.5,592.7,698.5
890,30.3,34.2,38.4,45.2,53.7,59.5,58.4,685.6,741.5
900,30.6,34.4,38.7,45.6,54.1,59.2,59.5,637.5,708.4
910,30.9,34.8,39.2,46,54.4,59.6,58.1,787.7,842.6
920,31.1,35,39.6,46.4,55,59.1,59.2,692,746.1
930,31.4,35.3,39.8,46.9,55,59.8,59.6,577.4,639.1
940,31.7,35.6,40.1,47.5,55.7,59.8,58.6,678.3,738.2
950,31.9,35.9,40.6,47.7,55.8,59.3,59.3,634.9,704.9
960,32.1,36.3,40.9,48.1,55.9,59.4,96.6,703.6,768.2
970,32.4,36.6,41.1,48.7,56.2,58.9,242.6,692,783.4
980,32.7,37.1,41.5,48.9,57.1,59.5,308.9,692.2,739.9
990,33.1,37.2,41.7,49.1,57.4,60.1,432.3,765.1,763.5
1000,33.3,37.5,42.2,49.7,57.3,59.6,334.2,734.9,735.7
1010,33.5,37.8,42.6,50.1,57.3,59.9,423.1,741.5,803.4
