Time,MLRPUA
s,g/m2/s
0,0.00
30,11.17
60,10.60
90,10.55
120,11.14
150,11.55
180,11.63
210,12.17
240,11.45
270,11.58
300,12.17
330,11.53
360,10.58
390,11.55
420,11.73
450,11.48
480,11.37
510,11.81
540,12.81
570,10.19
600,10.58
630,11.78
660,12.50
690,12.22
720,11.68
750,12.65
780,13.91
810,14.09
840,13.24
870,13.81
900,12.94
930,13.70
960,15.93
990,14.88
1020,13.81
1050,13.24
1080,13.83
1110,14.70
1140,15.06
1170,14.68
1200,15.63
1230,15.19
1260,15.42
1290,15.86
1320,15.19
1350,15.34
1380,13.70
1410,13.78
1440,16.27
1470,16.06
1500,14.93
1530,15.60
1560,16.42
1590,15.91
1620,15.93
1650,16.27
1680,16.42
1710,16.55
1740,16.73
1770,17.21
1800,17.29
1830,16.65
1860,16.60
1890,16.44
1920,16.68
1950,16.55
1980,16.62
2010,16.06
2040,14.70
2070,14.52
2100,14.19
2130,14.50
2160,14.81
2190,14.55
2220,13.81
2250,14.24
2280,13.68
2310,14.11
2340,15.01
2370,14.73
2400,14.60
2430,14.34
2460,14.24
2490,14.52
2520,14.06
2550,0.00
