Time,T05,T10,T15,T20,T25,T30,T35,T40,T45
s,C,C,C,C,C,C,C,C,C
0,17,17.3,17.3,17.3,17.1,17.1,17.3,17.2,17.1
10,17,17.2,17.2,17.2,17.1,17.1,17.3,17.3,25.1
20,17,17.2,17.2,17.2,17.1,17.1,17.3,17.8,43.8
30,17,17.2,17.2,17.2,17.1,17.1,17.5,20.4,48.7
40,17,17.3,17.2,17.3,17.1,17.3,18.2,24.4,52.4
50,17,17.3,17.3,17.3,17.2,17.7,19.5,28.3,54.5
60,17.1,17.3,17.3,17.3,17.3,18.4,21,32.4,56
70,17.1,17.4,17.4,17.5,17.6,19.2,22.9,36,56.3
80,17.1,17.4,17.4,17.6,18,20.2,24.6,40.6,56.6
90,17.2,17.5,17.5,17.8,18.3,21.1,26.3,43.6,56.8
100,17.3,17.6,17.7,18.1,18.8,22.3,28,48.3,57.1
110,17.3,17.7,17.8,18.4,19.3,23.4,30.1,50.9,57.2
120,17.4,17.8,18,18.7,19.9,24.6,32,53.9,56.9
130,17.4,18,18.1,19,20.5,25.8,33.7,54.2,57.2
140,17.5,18.2,18.4,19.4,21.2,27.1,35.3,55.5,57.2
150,17.6,18.3,18.6,19.9,21.9,28.4,37.2,56.4,69
160,17.7,18.6,18.8,20.3,22.5,29.4,38.6,56.5,156.9
170,17.8,18.8,19.1,20.8,23.3,30.6,40.1,57.4,158.2
180,17.9,19,19.4,21.3,24,31.7,41.4,57.7,175
190,18,19.3,19.7,21.8,24.7,32.9,42.5,57.8,172.1
200,18.2,19.6,20.1,22.3,25.4,33.9,44,58.1,200.4
210,18.3,19.9,20.4,22.9,26.2,35,45.1,58.2,354.6
220,18.5,20.2,20.8,23.4,26.9,36,46.3,58.1,280.3
230,18.7,20.5,21.2,23.9,27.6,37,47.4,58.3,376.7
240,18.9,20.9,21.6,24.4,28.3,37.9,48.6,58.1,323.6
250,19.1,21.2,22,25,29.1,38.8,49.1,58.4,263.9
260,19.3,21.6,22.4,25.6,29.8,39.7,50.1,59,197.3
270,19.5,21.9,22.8,26.1,30.4,40.6,51.5,58.9,309.4
280,19.8,22.3,23.2,26.7,31.1,41.3,51.8,59.1,478.9
290,20,22.7,23.6,27.3,31.7,42,52.5,58.6,389.8
300,20.3,23,24,27.8,32.3,42.9,53.2,59.1,289.9
310,20.5,23.4,24.4,28.3,32.9,43.6,53.5,59.9,302.2
320,20.8,23.8,24.8,28.8,33.5,44.3,54.1,60.3,268.8
330,21.1,24.2,25.2,29.4,34.2,44.8,54.9,60.8,301.7
340,21.3,24.5,25.6,29.9,34.8,45.6,55.3,60.9,330.8
350,21.6,24.9,26,30.4,35.4,46,56.6,60.8,325.2
360,21.9,25.3,26.4,30.9,36,46.7,57.3,60.9,268
370,22.2,25.7,26.8,31.4,36.4,47.3,56.8,61.5,291.3
380,22.4,26.1,27.2,31.9,37,47.7,57.5,60.9,285
390,22.7,26.4,27.6,32.4,37.5,48.2,58.5,60.4,323.5
400,23,26.8,28,32.8,38,48.7,58.3,60.1,316.6
410,23.3,27.2,28.4,33.3,38.5,49.1,58.4,60.1,387.5
420,23.6,27.5,28.9,33.7,39,49.6,58.2,59.6,311.3
430,23.8,27.9,29.3,34.2,39.6,50.1,59.2,59.7,412.6
440,24.1,28.3,29.7,34.7,40,50.7,59.3,60.3,308.4
450,24.4,28.7,30.1,35.1,40.5,51.1,59.1,59.9,429.6
460,24.7,29.1,30.5,35.5,40.9,51.1,60.1,60.3,292.7
470,25,29.4,30.9,36,41.3,51.5,59.8,60.3,285.6
480,25.2,29.8,31.2,36.3,41.6,51.9,60.3,60.1,316.8
490,25.5,30.2,31.6,36.7,42,52.1,60.4,59.6,443.4
500,25.9,30.5,32,37.1,42.5,52.4,60,59.9,358.2
510,26.2,30.9,32.4,37.5,42.9,52.9,60.4,60.3,316.8
520,26.5,31.2,32.7,38,43.2,53.4,60.8,60.2,383.3
530,26.8,31.6,33.1,38.3,43.6,53.9,61.1,60.4,351
540,27.1,31.9,33.4,38.7,43.9,54.1,61.5,60.2,414.7
550,27.4,32.3,33.8,39.1,44.3,54.6,60.9,96.9,341
560,27.7,32.6,34.1,39.4,44.7,55.1,60.7,115.3,415.6
570,28,33,34.5,39.8,45,55.2,61.2,107.9,278.3
580,28.3,33.4,34.8,40.1,45.4,55.4,61.9,103.7,308.7
590,28.6,33.7,35.2,40.4,45.7,55.7,62,104.4,288
600,28.9,34,35.5,40.7,46,56,62.2,109.2,352.3
610,29.2,34.4,35.8,41,46.4,56.5,62.1,134.1,441.2
620,29.5,34.7,36.2,41.4,46.7,56.9,62,134.4,436.4
630,29.8,35,36.5,41.7,47.1,57,62.2,128.3,441.1
640,30.1,35.3,36.8,42.1,47.4,57.8,62.1,168.7,439
650,30.4,35.6,37.1,42.4,47.8,58.3,62.2,133.8,387.3
660,30.7,35.9,37.4,42.8,48.1,59.1,62,245,552.9
670,30.9,36.2,37.7,43,48.4,59.5,61.9,145,398.2
680,31.2,36.5,38,43.3,48.7,59.3,62,192.5,633
690,31.5,36.9,38.4,43.6,49.1,59.8,62.1,250.4,585.9
700,31.8,37.2,38.7,44,49.4,60,62.4,156.2,416.2
710,32,37.5,39,44.3,49.8,60.6,62.3,176.1,483.3
720,32.3,37.8,39.3,44.6,50.1,60.5,62.6,352,617
730,32.7,38.1,39.7,44.9,50.4,60.3,62.4,312,621.1
740,32.9,38.4,40,45.3,50.9,60.8,62.6,186.1,474.9
750,33.2,38.6,40.3,45.6,51.2,61.6,62.4,139.2,458.2
760,33.5,39,40.5,45.9,51.5,61.7,61.5,249.4,625.1
770,33.8,39.3,40.9,46.2,51.7,61.2,60.9,340.1,652.4
780,34.1,39.6,41.2,46.6,52.1,61.3,61,310.4,590
790,34.3,39.9,41.5,46.9,52.5,61.1,61.1,266.6,616.5
800,34.6,40.2,41.8,47.2,52.9,61.4,61.2,267.7,526.1
810,34.9,40.5,42.1,47.5,53.1,61.8,60.9,238.7,546.2
820,35.2,40.8,42.4,47.8,53.5,61.8,60.5,499,793.2
830,35.4,41,42.7,48.1,53.8,62.2,61.1,230.9,600.1
840,35.7,41.3,43,48.4,54.1,62.4,61,204,456.2
850,36,41.6,43.2,48.7,54.4,62.5,61.4,155.7,364.1
860,36.2,41.8,43.5,49,54.6,62.6,60.8,432.9,661.4
870,36.5,42.2,43.8,49.2,55,62,59.2,698.7,704.7
