Time,T05,T10,T15,T20,T25,T30,T35,T40,T45
s,C,C,C,C,C,C,C,C,C
0,17.2,17.3,17.3,17.3,17.3,17.3,17.3,17.4,18.1
10,17.3,17.4,17.4,17.4,17.5,17.5,17.6,18.3,37
20,17.4,17.5,17.5,17.6,17.6,17.7,18,20.3,45.6
30,17.5,17.6,17.6,17.6,17.8,17.9,18.6,23.7,54.4
40,17.6,17.6,17.6,17.7,17.9,18.2,19.5,27.1,59.9
50,17.6,17.7,17.7,17.9,18.1,18.7,20.9,31.2,65.3
60,17.7,17.8,17.8,18,18.4,19.4,22.6,35.3,71
70,17.8,17.8,17.9,18.2,18.8,20.3,24.5,39.1,73
80,17.9,17.9,18.1,18.4,19.3,21.2,26.3,42.5,75.4
90,18,18.1,18.3,18.7,19.9,22.3,28.2,45.7,77.6
100,18.1,18.2,18.5,19.1,20.6,23.5,30.2,48.9,79.5
110,18.2,18.3,18.7,19.4,21.3,24.7,32.1,51.7,80.7
120,18.3,18.5,19,19.9,22.1,26,34,54.3,81.7
130,18.4,18.7,19.3,20.4,22.9,27.4,36,57.1,82.4
140,18.6,19,19.6,20.9,23.8,28.7,37.9,59.7,82.8
150,18.7,19.2,20,21.5,24.7,30,39.7,61.9,83.3
160,18.9,19.5,20.4,22,25.6,31.3,41.5,64.1,83.6
170,19.2,19.8,20.8,22.7,26.6,32.7,43.3,66.3,84.1
180,19.4,20.1,21.3,23.3,27.6,34,44.9,68.3,84.5
190,19.6,20.4,21.7,24,28.6,35.3,46.5,70.4,84.9
200,19.9,20.8,22.2,24.7,29.6,36.7,48.2,72.5,85.5
210,20.2,21.1,22.7,25.4,30.6,38,49.8,74.3,85.8
220,20.5,21.5,23.3,26.1,31.6,39.3,51.3,76.1,96
230,20.7,21.9,23.8,26.8,32.6,40.5,52.8,77.8,101.9
240,21.1,22.3,24.4,27.6,33.6,41.8,54.2,79.5,102.5
250,21.4,22.8,24.9,28.3,34.6,43,55.6,81.1,103.5
260,21.7,23.2,25.5,29.1,35.6,44.2,56.9,82.7,103.7
270,22.1,23.6,26.1,29.8,36.5,45.3,58.2,84.1,103.8
280,22.5,24.1,26.7,30.6,37.5,46.4,59.5,85.7,104.1
290,22.8,24.6,27.3,31.3,38.5,47.5,60.7,87.2,104.2
300,23.2,25,27.9,32,39.4,48.6,61.9,88.4,104.5
310,23.6,25.5,28.5,32.8,40.4,49.7,63.2,89.5,103
320,24,26.1,29.1,33.6,41.3,50.8,64.4,90.5,103.7
