Time ,MLRPUA
s,g/m2/s
0,0.00
30,9.32
60,10.58
90,10.94
120,11.89
150,13.09
180,13.60
210,14.22
240,14.42
270,14.91
300,15.80
330,16.50
360,16.68
390,16.60
420,17.16
450,17.49
480,17.83
510,18.08
540,17.78
570,18.26
600,19.08
630,18.98
660,18.55
690,19.49
720,19.21
750,18.83
780,19.42
810,18.80
840,18.83
870,18.95
900,18.80
930,18.93
960,18.95
990,18.55
1020,18.75
1050,19.03
1080,18.80
1110,19.13
1140,19.44
1170,19.36
1200,18.67
1230,19.01
1260,18.72
1290,18.37
1320,18.95
1350,19.67
1380,19.77
1410,19.93
1440,20.11
1470,20.39
1500,20.49
1530,20.59
1560,20.62
1590,20.06
1620,20.34
1650,20.98
1680,21.11
1710,20.47
1740,19.60
1770,19.61
1780,0.00
