Time,MLRPUA
s,g/m2/s
0,0.00
30,10.89
60,11.60
90,11.00
120,13.01
150,13.55
180,15.12
210,16.96
240,18.21
270,18.10
300,18.37
330,19.13
360,18.81
390,18.81
420,19.73
450,18.15
480,18.10
510,17.50
540,19.29
570,17.40
600,18.37
630,19.51
660,18.37
690,17.88
720,16.47
750,16.91
780,16.42
810,16.80
840,17.23
870,17.61
900,17.56
930,14.85
960,15.28
990,17.34
1020,17.94
1050,17.02
1080,16.10
1110,16.37
1140,13.93
1170,15.61
1200,16.80
1230,16.64
1260,17.56
1290,17.02
1320,15.93
1350,15.07
1380,14.85
1410,15.28
1440,15.23
1470,16.15
1500,15.88
1530,14.63
1560,13.71
1590,12.84
1620,13.44
1650,13.98
1680,15.39
1710,14.31
1740,14.47
1770,12.95
1800,11.98
1830,13.06
1860,12.68
1890,13.66
1920,0.00
