Time,MLRPUA
s,g/m2/s
0,0.00
30,0.25
60,2.19
90,7.18
120,10.13
150,10.05
180,10.50
210,10.63
240,10.51
270,10.30
300,10.53
330,10.84
360,11.05
390,10.99
420,10.68
450,10.68
480,10.81
510,10.96
540,11.00
570,11.42
600,11.97
630,12.21
660,11.95
690,11.85
720,12.25
750,12.40
780,12.31
810,12.94
840,13.01
870,12.53
900,13.23
930,13.61
960,13.35
990,13.90
1020,13.86
1050,13.89
1080,14.56
1110,14.11
1140,14.32
1170,14.79
1200,14.93
1230,15.79
1260,15.58
1290,15.12
1320,15.69
1350,15.43
1380,15.11
1410,15.69
1440,16.09
1470,15.88
1500,15.82
1530,16.28
1560,15.85
1590,15.85
1620,16.91
1650,17.13
1680,15.32
1710,16.04
1740,17.20
1770,16.01
1800,16.21
1830,16.68
1860,16.68
1890,16.49
1920,16.36
1950,16.70
1980,16.85
2010,16.40
2040,15.64
2070,15.94
2100,16.16
2130,16.67
2160,16.39
2190,15.90
2220,15.73
2250,16.16
2280,15.76
2310,15.82
2340,15.84
2370,15.43
2400,15.91
2430,16.52
2460,16.33
2490,16.07
2520,16.04
2550,0.00
