Time,T05,T10,T15,T20,T25,T30,T35,T40,T45
s,C,C,C,C,C,C,C,C,C
0,19.2,19.3,19.3,19.3,19.3,19.3,19.4,19.4,20.5
10,19.2,19.4,19.3,19.3,19.3,19.3,19.4,19.5,24.7
20,19.3,19.4,19.4,19.4,19.4,19.4,19.5,20.5,31.3
30,19.4,19.5,19.5,19.5,19.5,19.5,19.8,22.3,36
40,19.6,19.6,19.5,19.6,19.6,19.6,20.3,24.6,41.8
50,19.7,19.7,19.6,19.7,19.7,19.9,21.2,27.5,45.3
60,19.7,19.8,19.7,19.7,19.8,20.1,22.2,30.1,47.6
70,19.8,19.8,19.8,19.8,20,20.8,23.2,32.5,51.1
80,19.8,19.9,19.9,20,20.5,21.4,24.5,35.5,52.2
90,20.1,20,20.1,20.2,20.9,22.1,25.8,37.5,53.6
100,20.4,20.3,20.2,20.3,21.3,22.8,26.9,39.6,55.7
110,20.3,20.4,20.4,20.4,21.5,23.4,27.9,42.3,55.5
120,20.4,20.4,20.4,20.7,21.9,24.1,29.1,44.5,56.5
130,20.5,20.6,20.6,20.9,22.4,24.7,30.3,46.3,56.9
140,20.6,20.7,20.7,21.3,22.7,25.5,31.5,48.4,57.1
150,20.7,20.8,20.9,21.5,23.2,26.2,32.6,49.6,57.7
160,20.9,20.9,21.1,21.9,23.7,27,33.7,52.5,57.8
170,21,21.1,21.3,22.2,24.2,27.7,34.8,53.3,58
180,21.2,21.2,21.5,22.4,24.7,28.5,35.8,53.9,57.6
190,21.4,21.4,21.8,22.8,25.2,29.3,36.9,54.4,57.5
200,21.4,21.6,22.1,23.1,25.8,30.4,38.5,55,57.4
210,21.7,21.7,22.3,23.5,26.4,31.4,39.4,55.3,57.3
220,21.8,21.9,22.6,24,27.2,32,40.3,56.1,57.2
230,21.9,22.2,22.9,24.5,27.8,32.9,41.1,56.4,57.1
240,22.1,22.5,23.3,24.8,28.3,33.2,42.2,56.6,57.2
250,22.3,22.7,23.6,25.3,28.7,33.8,43,56.8,57.4
260,22.5,22.9,24,25.6,29.2,34.6,44.2,57.3,57.2
270,22.6,23.1,24.3,26.1,29.7,35.3,45.1,56.9,57.5
280,22.8,23.4,24.5,26.5,30.3,36.1,45.8,57,57.5
290,23,23.6,24.8,26.9,31,36.6,47.1,57,57.5
300,23.2,23.9,25.1,27.3,31.5,37.3,48.3,57.2,57.4
310,23.4,24.1,25.4,27.7,32,38.2,49.2,57.7,57.5
320,23.5,24.3,25.7,28,32.4,38.8,50.1,57.8,133.6
330,23.7,24.5,26,28.4,32.9,39.5,50.7,58.1,177.9
340,23.9,24.8,26.3,28.8,33.5,40.1,51.8,57.8,156.6
350,24.1,25,26.6,29.1,34.1,40.9,52.4,58.4,169.9
360,24.3,25.2,26.9,29.6,34.6,41.4,53.5,57.8,197.8
370,24.5,25.5,27.2,30,35.1,42.2,54,57.7,228.4
380,24.7,25.7,27.5,30.3,35.7,42.6,53.6,58.3,239.1
390,24.9,26,27.8,30.8,36.2,43.1,54.1,58.3,283
400,25.1,26.3,28.1,31.3,36.6,43.8,55.8,58.2,234.2
410,25.3,26.5,28.5,31.6,37.2,44.5,55.6,58.4,204.2
420,25.6,26.8,28.8,32,37.7,44.8,56.2,59.2,233.8
430,25.8,27.1,29.2,32.4,38.2,45.2,56.7,59.4,224.7
440,26,27.4,29.5,32.8,38.6,45.7,57.4,59.4,323.6
450,26.3,27.6,29.8,33.2,39,46.3,57.3,59.3,315.8
460,26.5,27.9,30.1,33.5,39.5,46.6,57.4,59.6,283
470,26.7,28.1,30.5,34,40,47.4,57.8,59.8,245
480,26.9,28.4,30.8,34.4,40.4,47.8,58.1,59.8,282.8
490,27.2,28.7,31.2,34.6,40.8,48.5,58,59.9,375
500,27.4,29,31.5,35,41.2,49,58.2,59.4,488.3
510,27.7,29.3,31.8,35.3,41.6,49.6,58,59.2,359.2
520,27.9,29.5,32.1,35.8,42.1,50.1,58,59.3,317.7
530,28.2,29.8,32.4,36.1,42.6,50.2,58.3,58.9,352.7
540,28.4,30.1,32.7,36.5,42.9,50.7,58.4,58.6,492.7
550,28.6,30.3,33,36.9,43.4,51.1,58.5,59,338.6
560,28.8,30.6,33.3,37.2,43.9,51.2,58.8,58.1,512
570,29.1,30.9,33.6,37.6,44.2,52.2,58.5,58.6,345.7
580,29.3,31.2,34,37.9,44.8,53.3,58.7,58.7,302.8
590,29.6,31.5,34.3,38.3,45.2,53.2,58.9,57.8,603.2
600,29.8,31.8,34.6,38.7,45.5,53.6,59,58.8,334
610,30.1,32.1,34.9,39.2,46,53.7,59.3,58.9,281.8
620,30.3,32.4,35.3,39.5,46.3,54.5,59.4,77.4,320.7
630,30.5,32.6,35.6,39.8,46.8,55.2,59.4,119.5,294.6
640,30.8,32.9,36,40.2,47.1,55.2,59.9,182.4,454.2
650,31,33.2,36.4,40.5,47.3,55.2,59.5,270,516.7
660,31.3,33.4,36.6,40.9,47.7,55.4,59.5,191.7,388.9
670,31.5,33.9,37,41.3,47.9,55.8,59.4,300.4,562.8
680,31.8,34.2,37.3,41.5,48.3,55.9,59.5,292.8,484.1
690,32.1,34.4,37.5,41.8,48.7,57.3,59.3,197.8,368.4
700,32.4,34.7,37.8,42.2,49.1,57.4,59.5,303.2,514
710,32.6,35,38.2,42.4,49.3,57.8,59.7,450.6,656.1
720,32.9,35.2,38.5,42.8,49.8,58.3,59.5,579.4,641.2
730,33.2,35.5,38.7,43,50.1,58.2,59.4,418.2,645.4
740,33.4,35.8,39,43.3,50.6,58.4,59.6,427.1,610.7
750,33.7,36,39.3,43.7,51.1,58.4,60,422.6,558.6
760,33.9,36.2,39.6,44,51.3,58.9,60.1,619.1,688.5
770,34.2,36.5,39.8,44.4,51.9,58.7,60.1,379.5,485
780,34.4,36.7,40.1,44.6,52.2,58.9,60.1,445.2,595
790,34.7,37,40.5,45.1,52.8,58.7,60.1,815.2,826.1
800,34.9,37.2,40.7,45.5,52.8,59.2,60.2,533.7,612.3
810,35.2,37.6,41.2,45.7,53.4,59.4,60.7,598.4,711.2
820,35.4,37.8,41.4,46.1,53.5,59.5,60.8,819.9,843.2
830,35.7,38.1,41.7,46.6,54,59.4,61.1,895,900.1
840,35.9,38.5,42,46.9,54.6,59.2,60.7,643.6,678.4
850,36.3,38.9,42.4,47.2,54.6,59.3,60.7,996.3,1080.5
860,36.6,39.1,42.7,47.5,55,59.3,60.6,968.4,992.6
870,36.8,39.4,43,47.8,55.3,59.6,60.9,704.7,797.6
