Time,T05,T10,T15,T20,T25,T30,T35,T40,T45
s,C,C,C,C,C,C,C,C,C
0,19.5,19.7,19.7,19.7,19.5,19.5,19.7,19.7,19.5
10,19.5,19.8,19.7,19.7,19.6,19.6,19.9,20.1,36.5
20,19.7,19.9,19.9,19.9,19.8,19.9,20.3,21.1,60.4
30,19.8,20.1,20,20.1,20,20.2,20.8,23.8,67.4
40,19.9,20.2,20.2,20.2,20.1,20.6,21.7,27.3,69.7
50,20.2,20.3,20.3,20.4,20.4,21.2,23.1,31.1,71.7
60,20.1,20.4,20.4,20.5,20.7,22.1,25,35.6,73.5
70,20.3,20.5,20.6,20.8,21.1,23.4,27.2,39.7,74.9
80,20.4,20.8,20.8,21.2,21.7,24.7,29.4,43.7,76.7
90,20.5,21,21,21.6,22.4,26.2,31.7,47.2,77.8
100,20.8,21.3,21.4,22.1,23.2,27.8,34.1,50.5,78.7
110,21,21.5,21.7,22.7,24,29.4,36.2,53.5,79.5
120,21.2,21.9,22.1,23.2,24.8,31,38.3,56,80
130,21.4,22.3,22.5,23.9,25.8,32.6,40.4,58.7,81
140,21.6,22.7,23,24.6,26.8,34.3,42.6,61.5,81.7
150,21.9,23.1,23.4,25.3,27.8,35.9,44.5,63.7,82.5
160,22.2,23.5,23.9,26,28.8,37.4,46.4,65.9,82.7
170,22.5,24,24.5,26.8,29.8,39,48.2,67.9,83.4
180,22.8,24.5,25.1,27.7,30.9,40.6,50,70.1,83.6
190,23.2,25,25.6,28.5,31.9,42,51.7,72.5,84.1
200,23.5,25.6,26.2,29.2,33,43.5,53.3,74.2,84.2
210,23.9,26.1,26.8,30.1,34,44.9,54.9,75.7,84
220,24.3,26.7,27.5,30.9,35.1,46.3,56.3,77.4,98.4
230,24.7,27.3,28.1,31.8,36.1,47.6,57.8,79.8,109.5
240,25.1,27.9,28.8,32.7,37.2,48.9,59.2,81.3,108.9
250,25.6,28.5,29.5,33.6,38.2,50.2,60.7,82.9,112
260,26,29.2,30.2,34.4,39.2,51.4,62,85,110.2
270,26.5,29.8,30.9,35.3,40.3,52.7,63.4,87.3,109.7
280,26.9,30.5,31.6,36.2,41.3,53.9,64.7,88.2,111.7
290,27.4,31.1,32.3,37,42.3,55,65.9,89.2,112.7
300,27.9,31.8,33,37.9,43.2,56.2,67.2,90.1,111.6
310,28.5,32.5,33.8,38.8,44.3,57.4,68.5,90.6,112.2
320,29,33.2,34.5,39.7,45.3,58.6,69.9,91.5,110.9
330,29.5,33.9,35.2,40.6,46.2,59.7,71.1,91.4,113.3
340,30.1,34.6,36,41.4,47.2,60.8,72.4,91.7,114.1
350,30.6,35.3,36.7,42.3,48.2,62,73.7,91.7,112.9
360,31.3,36.1,37.5,43.2,49.2,63.1,75.1,89.4,111.3
370,31.8,36.8,38.2,44.1,50.1,64.2,76.3,88.6,111.9
380,32.4,37.5,39,44.9,51,65.3,77.5,88.6,113
390,32.9,38.2,39.7,45.7,51.9,66.2,78.6,88.5,114.4
400,33.5,38.9,40.4,46.5,52.8,67.3,79.8,88.6,112.4
410,34.1,39.5,41.1,47.3,53.6,68.2,81,88.5,113.7
420,34.6,40.2,41.8,48.1,54.5,69.1,82.3,93.1,112.3
430,35.2,40.9,42.6,48.9,55.3,70,83.3,98,114.5
440,35.8,41.5,43.2,49.6,56.1,70.8,84.3,100,118.7
450,36.3,42.2,43.9,50.4,56.9,71.6,85.7,100.3,118.3
460,37,42.9,44.6,51.2,57.7,72.7,87.3,100.8,113.8
